line	tokens	uncertain
D1	R h 4+ Ze t 4+ m T o 4+ .v. d w- h m 2 7 B p	3,6,10,12,13,19
D2	B p ff s w q o d m T B ff 7 3 d f 4 o U q 1 b	3,5,6,7,8,10,12,14,15,16,17,19,20,22
D	R h 4+ Ze t 4+ m T o 4+ .v. d w- h m 2 7 B p ff s w q o d m T B ff 7 3 d f 4 o U q 1 b	3,6,10,12,13,19,20,22,23,24,25,27,29,31,32,33,34,36,37,39
E1	o o 4 7 o d 13 A M o s c Ze oo t ff h f t	1,2,5,9,10,16
E2	f t D B Ze t ff 7 h T B B ff o U 8 t q 1 c B	3,4,5,7,9,11,12,13,16,18,19,21
E	o o 4 7 o d 13 A M o s c Ze oo t ff h f t D B Ze t ff 7 h T B B ff o U 8 t q 1 c B	1,2,5,9,10,16,20,22,24,26,28,29,30,33,35,36,38
F1	D ff d D2 t L 7 o U .v. Ze 51 E .v. s D2 o h t U 24	1,3,4,9,11,12,15,16,20,21
F2	q 14 c p o d BOX2 t f E h c p U oo t d Ze d ff	1,2,4,5,6,11,13,14,17,18,19,20
F	D ff d D2 t L 7 o U .v. Ze 51 E .v. s D2 o h t U 24 14 c p o d BOX2 t f E h c p U oo t d Ze d ff	1,3,4,9,11,12,15,16,20,21,22,24,25,26,31,33,34,37,38,39,40
G	?frac-1te ?triple-bar U L oo	1,2,3,4,5
