line	signs_A	signs_B	agree	columns	share
hstam_4_h_1411_0023_L14	35	37	26	37	0.703
hstam_4_h_1411_0023_L15	45	45	38	45	0.844
hstam_4_h_1411_0023_L16	42	42	38	42	0.905
hstam_4_h_1411_0023_L17	40	40	35	40	0.875
hstam_4_h_1411_0023_L18	43	43	36	43	0.837
hstam_4_h_1411_0023_L19	40	41	32	41	0.780
hstam_4_h_1411_0023_L20	38	38	34	38	0.895
hstam_4_h_1411_0023_L21	39	39	34	39	0.872
hstam_4_h_1411_0023_L22	42	41	40	42	0.952
hstam_4_h_1411_0023_L23	41	40	36	41	0.878
hstam_4_h_1411_0023_L24	41	41	35	41	0.854
hstam_4_h_1411_0023_L25	39	38	33	39	0.846
hstam_4_h_1411_0023_L26	38	38	34	38	0.895
hstam_4_h_1411_0023_L27	39	39	36	39	0.923
hstam_4_h_1411_0023_L28	40	40	36	40	0.900
hstam_4_h_1411_0023_L29	43	43	37	43	0.860
hstam_4_h_1411_0023_L30	39	37	32	39	0.821
hstam_4_h_1411_0023_L31	42	42	40	42	0.952
hstam_4_h_1411_0023_L32	41	42	39	42	0.929
hstam_4_h_1411_0023_L33	32	32	29	32	0.906
hstam_4_h_1411_0023_L34	33	36	21	36	0.583
hstam_4_h_1411_0023_L35	39	40	30	40	0.750
hstam_4_h_1411_0023_L36	40	42	31	42	0.738
hstam_4_h_1411_0023_L37	40	39	32	40	0.800
hstam_4_h_1411_0023_L38	37	39	27	39	0.692
hstam_4_h_1411_0023_L39	37	37	30	37	0.811
hstam_4_h_1411_0023_L40	39	37	26	39	0.667
hstam_4_h_1411_0023_L41	29	28	20	29	0.690
hstam_4_h_1411_0023_L42	36	36	23	36	0.639
hstam_4_h_1411_0023_L43	38	38	24	38	0.632
hstam_4_h_1411_0023_L44	36	35	31	36	0.861
hstam_4_h_1411_0023_L45	37	37	32	37	0.865
hstam_4_h_1411_0023_L46	27	27	18	27	0.667
hstam_4_h_1411_0023_L47	32	31	27	32	0.844
hstam_4_h_1411_0023_L48	38	38	35	38	0.921
hstam_4_h_1411_0023_L49	38	37	33	38	0.868
hstam_4_h_1411_0023_L50	39	38	35	39	0.897
hstam_4_h_1411_0023_L51	36	35	29	37	0.784
hstam_4_h_1411_0023_L52	40	40	33	40	0.825
