value	meaning	n	agree	others
10	h	39	33	l:2,r:2,i:1,k:1
107	r	1	1	
11	p	9	6	b:1,r:1,s:1
12	r	90	85	l:1,m:1,n:1,o:1,v:1
13	q	14	11	d:1,l:1,m:1
14	n	58	53	m:2,a:1,e:1,s:1
15	o	140	128	c:3,e:3,p:3,u:2,a:1
16	f	12	11	h:1
17	a	85	78	n:2,o:2,d:1,e:1,f:1
18	m	73	49	o:15,a:2,r:2,s:2,n:1,p:1,q:1
19	e	89	84	a:3,i:1,m:1
2	d	79	56	e:12,a:2,o:2,f:2,g:1,h:1,i:1,l:1,r:1
20	l	33	30	d:1,o:1,t:1
21	b	21	20	h:1
22	i	15	12	a:1,e:1,s:1
23	a	20	16	o:2,d:1,e:1
24	e	18	13	h:3,a:1,t:1
25	o	22	21	u:1
26	u	64	58	o:3,d:1,i:1,l:1
28	d	2	1	i:1
3	t	61	55	i:2,s:2,d:1,e:1
310	i	1	1	
38	i	1	1	
4	s	116	100	l:4,a:2,e:2,m:2,c:1,d:1,g:1,h:1,o:1,q:1
400	n	1	1	
5	c	55	48	h:2,e:1,n:1,o:1,r:1,s:1
52	r	9	9	
55	p	40	33	n:3,o:3,k:1
56	e	1	1	
58	m	2	2	
6	p	13	6	c:3,g:1,h:1,k:1,o:1
7	e	105	88	r:8,u:3,d:2,h:2,m:1,s:1
8	i	82	75	j:5,l:1,n:1
9	r	4	2	i:1,o:1
a	t	24	21	l:2,d:1
b	g	4	2	p:2
c	u	33	22	g:8,o:1,p:1,q:1
d	o	15	14	g:1
e	g	14	11	u:3
f	s	25	19	r:2,z:2,a:1,e:1
g	i	12	6	a:2,r:2,j:1,s:1
h	m	10	8	l:2
m	n	31	29	r:1,w:1
p	h	1	1	
q	r	1	1	
x	d	20	20	
y	a	69	53	e:3,h:2,o:2,r:2,s:2,x:2,c:1,l:1,t:1
z	e	9	3	r:3,g:1,k:1,o:1
