cipher_line	idx	raw	kind	value	repair	plain_chunk	status
m0280/Carta 13	0	@7	code	7		e	agrees
m0280/Carta 13	1	@4	code	4		s	agrees
m0280/Carta 13	2	@a	code	a		t	agrees
m0280/Carta 13	3	@7	code	7		e	agrees
m0280/Carta 13	4	@4	code	4		s	agrees
m0280/Carta 13	5	@18	code	18		m	agrees
m0280/Carta 13	6	@m	code	m		n	agrees
m0280/Carta 13	7	@8	code	8		i	agrees
m0280/Carta 13	8	@4	code	4		s	agrees
m0280/Carta 13	9	@a	code	a		t	agrees
m0280/Carta 13	10	@52	code	52		r	agrees
m0280/Carta 13	11	@15	code	15		o	agrees
m0280/Carta 13	12	@4	code	4		s	agrees
m0280/Carta 13	13	@7	code	7		e	agrees
m0280/Carta 13	14	@4	code	4		s	agrees
m0280/Carta 13	15	@a	code	a		t	agrees
m0280/Carta 13	16	@y	code	y			null-or-unaligned
m0280/Carta 13	17	@18	code	18		o	conflict:m
m0280/Carta 13	18	tais	clear			tais	clear
m0280/Carta 13	19	que	clear				clear
m0280/Carta 13	20	@13	code	13		q	agrees
m0280/Carta 13	21	@c	code	c		q	conflict:u
m0280/Carta 13	22	@7	code	7		m	conflict:e
m0280/Carta 13	23	@18	code	18		s	conflict:m
m0280/Carta 13	24	mais	clear			mais	clear
m0280/Carta 13	25	@15	code	15		o	agrees
m0280/Carta 13	26	@4	code	4		s	agrees
m0280/Carta 13	27	@5	code	5		c	agrees
m0280/Carta 13	28	@15	code	15		o	agrees
m0280/Carta 13	29	@m	code	m		n	agrees
m0280/Carta 13	30	@c	code	c		v	agrees
m0280/Carta 13	31	@7	code	7		e	agrees
m0280/Carta 13	32	@m	code	m		n	agrees
m0280/Carta 13	33	@5	code	5		c	agrees
m0280/Carta 13	34	@7	code	7		e	agrees
m0280/Carta 13	35	@18	code	18		m	agrees
m0280/Carta 13	36	@y	code	y		a	agrees
m0280/Carta 13	37	@8	code	8		i	agrees
m0280/Carta 13	38	@4	code	4		s	agrees
m0280/Carta 13	39	@15	code	15		o	agrees
m0280/Carta 13	40	@4	code	4		s	agrees
m0280/Carta 13	41	@55	code	55		p	agrees
m0280/Carta 13	42	@2	code	2		e	conflict:d
m0280/Carta 13	43	@y	code	y		r	conflict:a
m0280/Carta 13	44	@2	code	2		d	agrees
m0280/Carta 13	45	@7	code	7		e	agrees
m0280/Carta 13	46	Aobitinação	clear			aobstinao	clear
m0280/Carta 13	47	@10	code	10		h	agrees
m0280/Carta 13	48	@7	code	7			null-or-unaligned
m0280/Carta 13	49	@4	code	4		s	agrees
m0280/Carta 13	50	@7	code	7		e	agrees
m0280/Carta 13	51	@18	code	18		m	agrees
m0280/Carta 13	52	@y	code	y		l	conflict:a
m0280/Carta 13	53	@8	code	8		i	agrees
m0280/Carta 13	54	@12	code	12		m	conflict:r
