page	line	pos	sign
m0113	1	1	99
m0113	1	2	629
m0113	1	3	737
m0113	1	4	20
m0113	1	5	428
m0113	2	1	903
m0113	2	2	342
m0113	2	3	456
m0113	2	4	103
m0113	2	5	870
m0113	3	1	1099
m0113	3	2	1124
m0113	3	3	981
m0113	3	4	342
m0113	3	5	456
m0113	4	1	133
m0113	4	2	397
m0113	4	3	892
m0113	4	4	60
m0113	4	5	419
m0113	4	6	617
m0113	5	1	419
m0113	5	2	135
m0113	5	3	151
m0113	5	4	25
m0113	5	5	204
m0113	5	6	20
m0113	6	1	1087
m0113	6	2	617
m0113	6	3	419
m0113	6	4	115
m0113	6	5	402
m0113	7	1	984
m0113	7	2	988
m0113	7	3	1068
m0113	8	1	11
m0113	8	2	204
m0113	8	3	673
m0113	8	4	206
m0113	8	5	708
m0113	9	1	103
m0113	9	2	988
m0113	9	3	1087
m0113	9	4	617
m0113	9	5	419
m0113	10	1	115
m0113	10	2	402
m0113	10	3	980
m0113	10	4	988
m0113	10	5	1068
m0113	10	6	374
m0113	11	1	60
m0113	11	2	988
m0113	11	3	508
m0113	11	4	243
m0113	11	5	268
m0113	11	6	110
m0113	12	1	1138
m0113	12	2	419
m0113	12	3	419
m0113	12	4	550
m0113	12	5	1194
m0113	12	6	708
m0114	1	1	618
m0114	1	2	323
m0114	1	3	428
m0114	1	4	2111
m0114	1	5	742
m0114	2	1	1032
m0114	2	2	836
m0114	2	3	407
m0114	2	4	538
m0114	2	5	310
m0114	3	1	12
m0114	3	2	25
m0114	3	3	419
m0114	3	4	419
m0114	3	5	926
m0114	3	6	923
m0114	4	1	1212
m0114	4	2	1087
m0114	4	3	550
m0114	4	4	508
m0114	4	5	140
