# NX-MOR3 mechanical decode of this worker's own ciphertext_rederiv.tsv through
# ciphers/rah-morillo-1817/key_5186.tsv (grade H). '?' = code absent from the key.
group 1: romerito   (codes: 51.18.50.7.51.56.33.18)
group 2: paso   (codes: 24.+.27.18)
group 3: el   (codes: 7.8)
group 4: f?   (codes: 5.28)
group 5: por   (codes: 24.18.51)
group 6: barinrtas   (codes: 6.+.51.56.16.51.33.+.27)
group 7: con   (codes: 3.18.16)
group 8: so?o   (codes: 27.18.22.18)
group 9: tres   (codes: 33.51.7.27)
group 10: oficiales   (codes: 18.5.56.3.56.+.8.7.27)
group 11: dijo   (codes: 4.56.30.18)
group 12: benia   (codes: 6.7.16.56.+)
group 13: de   (codes: 4.7)
group 14: jua?ana   (codes: 30.BOX.+.22.+.16.+)
group 15: buscando   (codes: 6.BOX.27.3.+.16.4.18)
group 16: a   (codes: +)
group 17: boli?ar   (codes: 6.18.8.56.26.+.51)
group 18: sr?uro   (codes: 27.51.10.BOX.51.18)
group 19: para   (codes: 24.+.51.+)
group 20: tru   (codes: 33.51.BOX)
group 21: ?i?o   (codes: 28.56.22.18)
