line	position	sign	why
05811_p1_L14	23	85	structural: 185 is not a valid key.tsv code
05811_p1_L14	3	9	structural: 0 is not a valid key.tsv code
05811_p1_L15	18	12	matches p5 parallel-copy alignment
05811_p1_L16	19	127	matches p5 parallel-copy alignment
05811_p1_L17	16	37	matches p5 parallel-copy alignment
05811_p1_L17	19	82	matches p5 parallel-copy alignment
05811_p1_L21	12	31	structural: 311 is not a valid key.tsv code
05811_p1_L23	14	89	structural: 384 is not a valid key.tsv code
05811_p2_L05	12	28	matches p5 parallel-copy alignment
05811_p2_L05	5	98	matches p5 parallel-copy alignment
05811_p2_L05	8	38	matches p5 parallel-copy alignment
05811_p2_L07	9	109	matches p5 parallel-copy alignment
05811_p2_L11	19	31	matches p5 parallel-copy alignment
05811_p2_L14	3	37	matches p5 parallel-copy alignment
05811_p5_L05	1	76	matches p1+p2 parallel-copy alignment
05811_p5_L05	17	63	matches p1+p2 parallel-copy alignment
05811_p5_L05	20	71	matches p1+p2 parallel-copy alignment
05811_p5_L06	15	64	matches p1+p2 parallel-copy alignment
05811_p5_L06	21	82	matches p1+p2 parallel-copy alignment
05811_p5_L11	11	9	matches p1+p2 parallel-copy alignment
05811_p5_L12	12	62	matches p1+p2 parallel-copy alignment
05811_p5_L12	20	81	matches p1+p2 parallel-copy alignment
05811_p5_L14	10	9	structural: 0 is not a valid key.tsv code
05811_p5_L14	12	37	matches p1+p2 parallel-copy alignment
05811_p5_L16	8	39	structural: 839 is not a valid key.tsv code
05811_p5_L19	9	89	matches p1+p2 parallel-copy alignment
05811_p5_L22	15	92	structural: 02 is not a valid key.tsv code
05811_p5_L24	9	27	matches p1+p2 parallel-copy alignment
05811_p5_L25	13	37	matches p1+p2 parallel-copy alignment
05811_p5_L26	18	38	matches p1+p2 parallel-copy alignment
05811_p5_L26	4	37	matches p1+p2 parallel-copy alignment
05811_p5_L28	21	113	matches p1+p2 parallel-copy alignment
05811_p5_L29	14	37	matches p1+p2 parallel-copy alignment
05811_p5_L29	6	98	matches p1+p2 parallel-copy alignment
05811_p5_L31	5	109	matches p1+p2 parallel-copy alignment
05811_p5_L32	14	117	matches p1+p2 parallel-copy alignment
05811_p5_L33	10	37	matches p1+p2 parallel-copy alignment
05811_p5_L33	23	12	matches p1+p2 parallel-copy alignment
05811_p5_L34	15	37	matches p1+p2 parallel-copy alignment
05811_p5_L36	12	37	matches p1+p2 parallel-copy alignment
05811_p5_L36	3	37	matches p1+p2 parallel-copy alignment
