page	line	col	A	B	decision	note
05811_p1	05811_p1_L01	1	=Messieurs	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	2	=mes	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	3	=freres	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	4	=Suis	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	5	=ma	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	6	=derniere	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	7	=du	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	8	xe	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	9	=jour	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	10	=de	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	11	=ce	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	12	=mois	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L01	13	=dont	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L04	1	=bien		GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L04	13	44	111	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L04	18	51	81	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L06	3	9		GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L08	10	26	20	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L09	3	37	33	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L09	13	81	84	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L09	18	=Je	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L09	19	=vous	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L12	8	63	65	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L14	3	9	0	STRUCTURAL	chosen 9
05811_p1	05811_p1_L14	5	81	82	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L14	18	81	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L14	19	66	85	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L14	20	2	62	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L14	22	1	-	GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L14	23	85	185	STRUCTURAL	chosen 85
05811_p1	05811_p1_L15	3	14	104	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L15	18	12	19	CROSS-PAGE	chosen 12 (other doc reads 12)
05811_p1	05811_p1_L16	19	127	167	CROSS-PAGE	chosen 127 (other doc reads 127)
05811_p1	05811_p1_L17	12	31	32	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L17	16	37	57	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p1	05811_p1_L17	19	82	81	CROSS-PAGE	chosen 82 (other doc reads 82)
05811_p1	05811_p1_L18	11	113	123	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L18	18	37		GAP	needs image, not attempted (resolution blocker)
05811_p1	05811_p1_L20	3	79	75	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L21	4	4	104	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L21	12	31	311	STRUCTURAL	chosen 31
05811_p1	05811_p1_L23	14	89	384	STRUCTURAL	chosen 89
05811_p1	05811_p1_L26	6	72	71	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L28	12	109	119	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L30	3	24	28	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L30	7	23	83	M	no structural or cross-page signal; needs image (blocker)
05811_p1	05811_p1_L30	10	5	6	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L03	9	30	70	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L03	11	83	85	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L04	16	61	82	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L05	5	98	82	CROSS-PAGE	chosen 98 (other doc reads 98)
05811_p2	05811_p2_L05	8	38	28	CROSS-PAGE	chosen 38 (other doc reads 38)
05811_p2	05811_p2_L05	12	28	25	CROSS-PAGE	chosen 28 (other doc reads 28)
05811_p2	05811_p2_L06	3	94	54	M	no structural or cross-page signal; needs image (blocker)
