page	pass	from_line	to_line	why
05811_p5	B	05811_p5_L10	05811_p5_L09	B split A L09 tail (135 137 85) onto its own line; B numbers one line later from here (W1, by the aligned signs)
05811_p5	B	05811_p5_L11	05811_p5_L10	same offset
05811_p5	B	05811_p5_L12	05811_p5_L11	same offset
05811_p5	B	05811_p5_L13	05811_p5_L12	same offset
05811_p5	B	05811_p5_L14	05811_p5_L13	same offset
05811_p5	B	05811_p5_L15	05811_p5_L14	same offset
05811_p5	B	05811_p5_L16	05811_p5_L15	same offset
05811_p5	B	05811_p5_L17	05811_p5_L16	same offset
05811_p5	B	05811_p5_L18	05811_p5_L17	same offset
05811_p5	B	05811_p5_L19	05811_p5_L18	same offset
05811_p5	B	05811_p5_L20	05811_p5_L19	same offset
05811_p5	B	05811_p5_L21	05811_p5_L20	same offset
05811_p5	B	05811_p5_L22	05811_p5_L21	same offset
05811_p5	B	05811_p5_L23	05811_p5_L22	same offset
05811_p5	B	05811_p5_L24	05811_p5_L23	same offset
05811_p5	B	05811_p5_L25	05811_p5_L24	same offset
05811_p5	B	05811_p5_L26	05811_p5_L25	same offset
05811_p5	B	05811_p5_L27	05811_p5_L26	same offset
05811_p5	B	05811_p5_L28	05811_p5_L27	same offset
05811_p5	B	05811_p5_L29	05811_p5_L28	same offset
05811_p5	B	05811_p5_L30	05811_p5_L29	same offset
05811_p5	B	05811_p5_L31	05811_p5_L30	same offset
05811_p5	B	05811_p5_L32	05811_p5_L31	same offset
05811_p5	B	05811_p5_L33	05811_p5_L32	same offset
05811_p5	B	05811_p5_L34	05811_p5_L33	same offset
05811_p5	B	05811_p5_L35	05811_p5_L34	same offset
05811_p5	B	05811_p5_L36	05811_p5_L35	same offset
05811_p5	B	05811_p5_L37	05811_p5_L36	same offset
