line	pos	token	kind	gloss_above	confidence
1	1	P.	clear		high
1	2	S.	clear		high
1	3	In	clear		high
1	4	?	null?		low
1	5	203	ref	Literis	low
1	6	is	clear		high
1	7	Scripta	clear		high
1	8	grato	clear		high
1	9	animo	clear		high
1	10	tam	clear		high
2	1	42	code	Celsissimus Princeps	high
2	2	14	code		high
2	3	49	code		high
2	4	21	code		high
2	5	46	code		high
2	6	21	code		high
2	7	21	code		high
2	8	46	code		high
2	9	50	code		high
2	10	12	code		high
2	11	21.	code		high
2	12	25	code		high
2	13	23	code		high
2	14	46	code		high
2	15	51	code		high
2	16	=	null?		high
3	1	42	code		high
3	2	14	code		high
3	3	25	code		high
3	4	21,	code		high
3	5	/	null?		high
3	6	24	code	qui	high
3	7	uij	clear		low
3	8	Rissimam	clear		low
3	9	Dnaonem	clear		low
4	1	debita	clear		high
4	2	veneratur	clear		high
4	3	salutatione	clear		high
4	4	quam	clear		high
4	5	14	code	ego	medium
4	6	41	code		medium
4	7	13,	code		medium
5	1	et	clear		high
5	2	17	code	alii	high
5	3	49	code		high
5	4	46	code		high
5	5	46,	code		high
5	6	quibus	clear		high
5	7	42	code	convenit	high
5	8	13	code		high
5	9	51	code		high
5	10	12	code		high
5	11	e	clear		low
5	12	51	code		high
5	13	46	code		high
5	14	20,	code		high
6	1	17	code		high
6	2	m	null?		low
6	3	25	code		high
6	4	49	code	amplexi	high
6	5	e	clear		low
6	6	19	code		high
6	7	46	code		high
6	8	sumus.	clear		high
6	9	Et	clear		high
6	10	sicut	clear		high
6	11	hactenus	clear		high
7	1	21	code	synce[ra]	medium
7	2	y	null?		low
7	3	51	code		high
7	4	42	code		high
7	5	e	clear		low
7	6	23	code		high
7	7	e	clear		low
7	8	in	clear		high
7	9	omnibus	clear		high
7	10	25	code	procepimus	high
7	11	23	code		high
7	12	13	code		high
7	13	42	code		high
7	14	e.	clear		low
7	15	=	null?		high
8	1	21	code		high
8	2	46	code		high
8	3	50	code		high
8	4	us;	clear		low
8	5	ita	clear		high
8	6	et	clear		high
8	7	nunc	clear		high
8	8	secundum	clear		high
8	9	23	code	rectam	high
8	10	14	code		high
8	11	=	null?		high
9	1	42	code		high
9	2	20	code		high
9	3	17	code		high
9	4	50	code		high
9	5	42	code	Christianam	high
9	6	44	code		high
9	7	23	code		high
9	8	46	code		high
9	9	21	code		high
9	10	20	code		high
9	11	46	code		high
9	12	17	code		high
9	13	51	code		high
9	14	17	code		high
9	15	50	code		high
10	1	42	code	conscientiam	high
10	2	13	code		high
10	3	51	code		high
10	4	21	code		high
10	5	42	code		high
10	6	46	code		high
10	7	en	clear		low
10	8	20	code		high
10	9	46	code		high
10	10	17	code		high
10	11	50,	code		high
10	12	25	code	procedimus	high
10	13	23	code		high
10	14	13	code		high
10	15	42	code		high
10	16	e:	clear		low
11	1	43	code		high
11	2	46	code		high
11	3	50	code		high
11	4	12	code		high
11	5	21	code		high
11	6	et	clear		high
11	7	25	code	et procedemus	high
11	8	23	code		high
11	9	13	code		high
11	10	42	code		high
11	11	14	code		high
11	12	43	code		high
11	13	14	code		high
11	14	ms.	clear		low
12	1	quamvis	clear		high
12	2	aliqui	clear		high
12	3	42	code	Christiani	high
12	4	44	code		high
12	5	23	code		high
12	6	46	code		high
12	7	21	code		high
12	8	20	code		high
12	9	46	code		high
12	10	17	code		high
12	11	nj.	clear		low
13	1	non	clear		high
13	2	ita	clear		high
13	3	se	clear		high
13	4	41	code	gerent et nobiscum	high
13	5	14	code		high
13	6	23	code		high
13	7	17	code		high
13	8	51	code		high
13	9	20	code		high
13	10	et	clear		high
13	11	51	code		high
13	12	13	code		high
13	13	29	code		high
13	14	46:	code		high
14	1	21	code		high
14	2	42	code		high
14	3	u	null?		low
14	4	50	code		high
14	5	25	code	procedant	high
14	6	23	code		high
14	7	13	code		high
14	8	42	code		high
14	9	14	code		high
14	10	43	code		high
14	11	ant,	clear		low
14	12	uti	clear		high
14	13	appro.	clear		low
15	1	50	code	miserant	high
15	2	46	code		high
15	3	21	code		high
15	4	14	code		high
15	5	23	code		high
15	6	17	code		high
15	7	51	code		high
15	8	20.	code		high
15	9	et	clear		high
15	10	multis	clear		high
15	11	modis	clear		high
16	1	51	code	Nos sollicitaverant	high
16	2	13	code		high
16	3	21	code		high
16	4	21	code		high
16	5	13	code		high
16	6	49	code		high
16	7	46	code		high
16	8	42	code		high
16	9	46	code		high
16	10	20	code		high
16	11	17	code		high
16	12	12	code		high
16	13	14	code		high
16	14	rant.	clear		medium
17	1	Sed	clear		high
17	2	hoc	clear		high
17	3	remitti	clear		high
17	4	50	code	mus	high
17	5	12	code		high
17	6	21	code		high
17	7	ad	clear		high
17	8	divinam	clear		high
17	9	Justi-	clear		high
18	1	tiam,	clear		high
18	2	et	clear		high
18	3	providentiam,	clear		high
18	4	quae	clear		high
18	5	omnia	clear		high
18	6	scit	clear		high
18	7	et	clear		high
19	1	videt.	clear		high
19	2	13	code	Ch.t	low
19	3	44:	code		medium
19	4	Dne	clear		high
19	5	mi	clear		high
19	6	Rissime	clear		medium
19	7	Pater	clear		high
19	8	si	clear		high
19	9	17	code	audiret	high
19	10	12	code		high
19	11	43	code		high
19	12	46:	code		high
20	1	20	null?		low
20	2	et,	null?		low
20	3	quanta	clear		high
20	4	et	clear		high
20	5	qualia,	clear		high
20	6	ac	clear		high
20	7	quibus	clear		high
20	8	modis	clear		high
