plain_line	plain_raw	cipher_line	cipher_raw
65:1		65:1	S. Cp 400 203 is Scripta grato animo, tam
65:2	Celsissimus Principi	65:2	42 14 49 21 46 21 21 46 50 12 21, 25 23 46 51 =
65:3	qui	65:3	42 14 25 21, 24 tam Draconem
65:4	ego	65:4	debita veneratione salutatione quam 24 4 113,
65:5	alii confecit	65:5	et 17 49 46 46, quibus 42 13 5 11 2 e 51 46 20,
65:6	amplexi	65:6	17 25 49 10 46 sumus. Et sicut Racemus
65:7	Synceri	65:7	21 9 51 42 23 in omnibus
65:8	rectam	65:8	21 46 50 nos; ita et nunc secundum 23 14 =
65:9	Christiana	65:9	42 20 17 50 42 4 4 23 46 21 20 46 17 51 17 50
65:10	conscientiam procedimus	65:10	42 13 51 21 42 46 20 46 17 30, 25 23 13 42 =
65:11	et procedemus	65:11	43 46 50 12 21 et 25 23 13 42 14 43 14 mus.
65:12	Christiani	65:12	quamvis aliqui 42 44 23 46 21 20 46 17 ni
65:13	gerent	65:13	non ita se 41 14 23 17 51 20 et 51 13 29 46:
65:14	procedant	65:14	21 42 u 50 25 23 13 42 14 4 43 ant, uti affectu
65:15	miserant	65:15	50 46 21 14 23 17 51 20. et multis modis
65:16	Nos toleraverant	65:16	51 13 21 21 13 49 46 42 46 20 17 12 14 rant.
65:17	mus	65:17	sed hoc remitti 50 12 21 ad
65:18		65:18	divinam Justitiam, et providentiam, quas omnia fuit et
65:19		65:19	13 44. Dne mi Charissime Pater
65:20	audiret	65:20	fi. 17 12 43 46:
