plain_line	plain_raw	cipher_line	cipher_raw
65:1	Literis	65:1	P. S. In ? 203 is Scripta grato animo tam
65:2	Celsissimus Princeps	65:2	42 14 49 21 46 21 21 46 50 12 21. 25 23 46 51 =
65:3	qui	65:3	42 14 25 21, / 24 uij Rissimam Dnaonem
65:4	ego	65:4	debita veneratur salutatione quam 14 41 13,
65:5	alii convenit	65:5	et 17 49 46 46, quibus 42 13 51 12 e 51 46 20,
65:6	amplexi	65:6	17 m 25 49 e 19 46 sumus. Et sicut hactenus
65:7	synce[ra] procepimus	65:7	21 y 51 42 e 23 e in omnibus 25 23 13 42 e.=
65:8	rectam	65:8	21 46 50 us; ita et nunc secundum 23 14 =
65:9	Christianam	65:9	42 20 17 50 42 44 23 46 21 20 46 17 51 17 50
65:10	conscientiam procedimus	65:10	42 13 51 21 42 46 en 20 46 17 50, 25 23 13 42 e:
65:11	et procedemus	65:11	43 46 50 12 21 et 25 23 13 42 14 43 14 ms.
65:12	Christiani	65:12	quamvis aliqui 42 44 23 46 21 20 46 17 nj.
65:13	gerent et nobiscum	65:13	non ita se 41 14 23 17 51 20 et 51 13 29 46:
65:14	procedant	65:14	21 42 u 50 25 23 13 42 14 43 ant, uti appro.
65:15	miserant	65:15	50 46 21 14 23 17 51 20. et multis modis
65:16	Nos sollicitaverant	65:16	51 13 21 21 13 49 46 42 46 20 17 12 14 rant.
65:17	mus	65:17	Sed hoc remitti 50 12 21 ad divinam Justi-
65:18		65:18	tiam, et providentiam, quae omnia fuit et
65:19	Ch.t audiret	65:19	videt. 13 44: Dne mi Rissime Pater si 17 12 43 46:
65:20		65:20	[20 et, struck] quanta et qualia, ac quibus modis
