page	line	pos	sign_desc
# The only stretch of briefnr 1069's cipher (KHAG B12,6, p2-p4) read with a confirmed sign->letter mapping
# so far -- 10 signs on p2, line 1 (OX-WVH, 25 Sept 2026, from the tight crop crop_grumbachs.png). This is a
# small fragment, not "the whole cipher exemplaar": p2 has roughly 23 more line-pairs, p3 about 24, p4 about
# 13, all unread -- see NOTES.md OX-WV69 section. Positions are sequential within this fragment only, not an
# absolute count from the start of the line (the line begins with 1-2 more, uncertain, letters before this
# fragment's first sign -- see reconcile_p2line1.md).
2	1	1	capital-H-with-crossbar
2	1	2	backward-C-loop
2	1	3	bold-dagger-crossbar
2	1	4	double-hump-w-shape
2	1	5	small-o-with-hooked-tail
2	1	6	yogh-3-shape
2	1	7	capital-X-cross
2	1	8	h-with-horizontal-bar
2	1	9	pi-like-capital-Π
2	1	10	capital-R
2	1	11	wide-T-crossbar
2	1	12	single-vertical-minim
2	1	13	closed-triangle
2	1	14	hook-loop-figure8
