line	segment	group_index	tokens
f277r_L1	1	1	[PLAIN:"180 ?am?-derge no 8"]
f277r_L1	2	1	[PLAIN:"m' offerte al agro"]
f277r_L1	3	1	[loop-3] F+[bar-loop] o [eps]
f277r_L1	3	2	[box] [theta] x p
f277r_L1	3	3	N x o o [omega]
f277r_L1	4	1	~ [omega] u v D
f277r_L1	4	2	x [aster] x 3 [aster] x
f277r_L1	4	3	o o
f277r_L1	4	4	[gamma] 3 X o o
f277r_L2	1	1	[theta] [theta] N
f277r_L2	1	2	m [rev-l] 3 [tribar]
f277r_L2	1	3	[s-hook] n c y p o d
f277r_L2	2	1	~ d 5 8
f277r_L2	2	2	[dbar] [aster] x 3 [hash] 4 x
f277r_L2	2	3	[spike] [dbltilde] [tally3]
f277r_L2	3	1	~ ?
f277r_L2	3	2	m [gamma] l [omega]+[underline]
f277r_L2	3	3	H [aster]
f277r_L2	3	4	Q 3 [delta] 8
f277r_L2	3	5	o u 3 8 ~
f277r_L2	4	1	~ 3 [eps] [gamma] x u v H+[underline]
f277r_L2	4	2	[dbar] [aster] c D
f277r_L2	4	3	q x ~
f277r_L3	1	1	[loop-3] D
f277r_L3	1	2	[eps] [aster] [theta] x s n I v
f277r_L3	1	3	Q g 3 ~
f277r_L3	2	1	~ g 3+[tick-above]
f277r_L3	2	2	[aster] G g 3 M x
f277r_L3	2	3	[delta] u n x x ~
f277r_L3	3	1	~ x g D
f277r_L3	3	2	4 v [omega]+[underline] g w o [spike] g ~
f277r_L3	4	1	~ g [infin]
f277r_L3	4	2	[delta] [aster]
f277r_L3	4	3	[gamma] n c g
f277r_L3	4	4	[lambda] n u x 3
f277r_L4	1	1	D g [pi2] [eps] m
f277r_L4	1	2	4 x [infin]
f277r_L4	1	3	L I [tribar] r
f277r_L4	1	4	[hash] ~
f277r_L4	2	1	~ [hash] m ,
f277r_L4	2	2	[PLAIN:"fett fort agayenft"] ~
f277r_L4	3	1	[PLAIN:"~?? yor no?ltos"]
f277r_L4	3	2	G d [aster] [eps]
f277r_L4	3	3	u ~
f277r_L4	4	1	~ u [theta] w x
f277r_L4	4	2	[aster]
f277r_L4	4	3	m g [delta] [omega]+[underline]
f277r_L4	4	4	g D
f277r_L5	1	1	o [aster] d+[bar-above] 3 Q w n
f277r_L5	1	2	[pi2]+[bar-above] d x p ?
f277r_L5	2	1	~ [amp] 3 [eps] 4
f277r_L5	2	2	[dbltilde] u n [aster]
f277r_L5	2	3	Z x
f277r_L5	2	4	3 [aster] D [dbar]
f277r_L5	3	1	~ [dbar] v [infin]
f277r_L5	3	2	[delta] Q
f277r_L5	3	3	x 8 s 4
f277r_L5	3	4	[theta] [eps] x n [lambda] ~
f277r_L5	4	1	~ [lambda] [theta] x H 3 [eps] n
f277r_L5	4	2	[tribar] [aster] x r
f277r_L5	4	3	[aster] [eps] c [dbar] [delta] r ~
f277r_L6	1	1	[pi-sag] C N 4 8 D x D [dbltilde]
f277r_L6	1	2	l [eps] [infin]
f277r_L6	1	3	[omega]+[underline] ~
f277r_L6	2	1	~ [omega]+[underline] N 3 h n y [aster] n q
f277r_L6	2	2	m [aster] m u n x [aster] ~
f277r_L6	3	1	~ x [aster] 8
f277r_L6	3	2	o o [tribar] [pi2]+[x-above] x
f277r_L6	3	3	3 [eps] n
f277r_L6	3	4	D g [tallyII] ~
f277r_L6	4	1	~ [tallyII] [aster] [eps] [omega]+[underline]
f277r_L6	4	2	[delta] [aster]
f277r_L6	4	3	[theta] z 4 r [tribar]
f277r_L6	4	4	[gamma] 8 N
f277r_L7	1	1	x u [aster] l x
f277r_L7	1	2	[eps] r [omega]+[underline] [gamma] g w
f277r_L7	1	3	m ~
f277r_L7	2	1	~ m [eps] p n x x 4
f277r_L7	2	2	c x m o w n
f277r_L7	2	3	[aster] n ~
f277r_L7	3	1	~ [dbar] a , x q o [theta]+[tick-above] x [eps]
f277r_L7	3	2	[delta] [gamma] n x x m ~
f277r_L7	4	1	~ m u [theta] [eps] o r
f277r_L7	4	2	m g d [lambda]
f277r_L7	4	3	o+[tick-above] ~
f277r_L8	1	1	[wavy-m] x 5 c x H
f277r_L8	1	2	m [aster] I [eps] o r x ~
f277r_L8	2	1	~ x r [eps] d Q
f277r_L8	2	2	q y [delta] S l ~
f277r_L8	3	1	[PLAIN:"Sall reght not"] ~
f277r_L8	4	1	~ [PLAIN:"spoken of my p"] ~
f277r_B1	1	1	~ [PLAIN:"?d. to be sent wt yo"] ~
f277r_B1	2	1	~ o+[underline] o+[dot-in] c o+[bar-above]
f277r_B1	2	2	[hash] [delta] u o
f277r_B2	1	1	[eps] 4 r o H n x b y
f277r_B2	1	2	[delta] 8 f
f277r_B2	1	3	c x 4 ~
f277r_B2	2	1	~ x 4 [aster] [eps]
f277r_B2	2	2	o 5 n
f277r_B2	2	3	P o d n m x ~
f277r_B2	3	1	~ x o x [lambda] x
f277r_B2	3	2	Q 8
f277r_B2	3	3	C H
f277r_B2	3	4	[eps] v O 3 ~
f277r_B2	4	1	~ 3
f277r_B2	4	2	[hash] [delta] d x
f277r_B2	4	3	[dbltilde] w [aster] P 8 x
f277r_B3	1	1	[aster] [eps] o [delta] r
f277r_B3	1	2	[grid]
f277r_B3	1	3	n 5 w
f277r_B3	1	4	o b y
f277r_B3	1	5	~
f277r_B3	2	1	[PLAIN:"?e?t ??? not that before"] ~
f277r_C1	1	1	M u x [pi2] [aster] [eps] [eps]
f277r_C1	1	2	[theta] r
f277r_C1	1	3	y 3
f277r_C1	1	4	F
f277r_C1	1	5	[PLAIN:"br?wn"] ~
f277r_C1	2	1	~ [PLAIN:"reght ??????????"] ~
f277r_C2	1	1	[struck] [PLAIN:"signified my p?rp?st"] ~
f277r_C2	2	1	~ [aster] 5 4 [theta] u D q
f277r_C2	2	2	[spike] 3 [aster]
f277r_C2	2	3	m x o x [eps] ~
f277r_C2	3	1	~ [aster] [eps]
f277r_C2	3	2	[delta] [hash] [eps] 8 x o n
