line	pos	group	plain
f226r_C1	1	55	que
f226r_C1	2	18	ie
f226r_C1	3	_84	com
f226r_C1	4	>	m
f226r_C1	5	35	u
f226r_C2	1	40	ni
f226r_C2	2	54	ca
f226r_C2	3	Z	s
f226r_C2	4	65	se
f226r_C2	5	64	sa
f226r_C2	6	_88	de
f226r_C2	7	48	pe
f226r_C2	8	Z	s
f226r_C2	9	d	c
f226r_C2	10	13	he
f226r_C2	11	w	al
f226r_C2	12	_27	areyne
f226v_C01	1	_94	et
f226v_C01	2	9_	e
f226v_C01	3	y_	n
f226v_C01	4	68	su
f226v_C01	5	~	i
f226v_C01	6	v	t
f226v_C01	7	70	te
f226v_C01	8	55	que
f226v_C01	9	18	ie
f226v_C01	10	28	luy
f226v_C01	11	_99	fi
f226v_C01	12	Z	s
f226v_C01	13	65	se
f226v_C02	1	2#	s
f226v_C02	2	_81	au
f226v_C02	3	77	o
f226v_C02	4	~	i
f226v_C02	5	v	0
f226v_C02	6	X	r
f226v_C02	7	65	se
f226v_C02	8	Z	s
f226v_C02	9	~	i
f226v_C02	10	y_	n
f226v_C02	11	70	te
f226v_C02	12	p	nt
f226v_C02	13	82	o
f226v_C02	14	Z	s
f226v_C03	1	w	a
f226v_C03	2	Z	s
f226v_C03	3	65	se
f226v_C03	4	9	z
f226v_C03	5	72	to
f226v_C03	6	Z	s
f226v_C03	7	v	t
f226v_C03	8	60	re
f226v_C03	9	Z	s
f226v_C03	10	50	po
f226v_C03	11	y	n
f226v_C04	1	L	d
f226v_C04	2	60	re
f226v_C04	3	_71	au
f226v_C04	4	9+	x
f226v_C04	5	33	mi
f226v_C04	6	40	ni
f226v_C04	7	Z	s
f226v_C04	8	v	t
f226v_C04	9	60	re
f226v_C04	10	Z	s
f226v_C04	11	_88	de
f226v_C04	12	36	Mr
f226v_C04	13	_88	de
f226v_C05	1	31	ma
f226v_C05	2	y_	n
f226v_C05	3	72	to
f226v_C05	4	rr	u
f226v_C05	5	9_	e
f226v_C05	6	54	qua
f226v_C05	7	y_	n
f226v_C05	8	L	d
f226v_C05	9	22	il
f226v_C05	10	9	z
f226v_C05	11	60	re
f226v_C05	12	41	no
f226v_C05	13	rr	u
f226v_C05	14	75	ue
f226v_C06	1	ff	l
f226v_C06	2	24	le
f226v_C06	3	62	ro
f226v_C06	4	~	i
f226v_C06	5	9_	e
f226v_C06	6	y_	n
f226v_C06	7	v	t
f226v_C06	8	29	leur
f226v_C06	9	Z	s
f226v_C06	10	~	i
f226v_C06	11	y_	n
f226v_C06	12	Z	s
f226v_C07	1	69	ta
f226v_C07	2	y_	n
f226v_C07	3	_82	ce
f226v_C07	4	Z	s
f226v_C08	1	69	so
f226v_C08	2	rr	u
f226v_C08	3	y	b
f226v_C08	4	25	li
f226v_C08	5	9_	e
f226v_C08	6	X	r
f226v_C08	7	_88	de
f226v_C08	8	_82	ce
f226v_C08	9	ff	l
f226v_C08	10	24	le
f226v_C09	1	23	la
f226v_C09	2	_94	et
f226v_C09	3	w	a
f226v_C09	4	~	i
f226v_C09	5	y_	n
f226v_C09	6	66	sy
f226v_C09	7	24	le
f226v_C09	8	71	ti
f226v_C09	9	v	t
f226v_C09	10	60	re
f226v_C09	11	103	0
