line	position	group	confidence
f226r_C1	1	_35	medium
f226r_C1	2	18	medium
f226r_C1	3	_84	medium
f226r_C1	4	v	low
f226r_C1	5	35	medium
f226r_C2	1	_40	medium
f226r_C2	2	_54	medium
f226r_C2	3	63	low
f226r_C2	4	64	medium
f226r_C2	5	_88	medium
f226r_C2	6	_48	medium
f226r_C2	7	Z	medium
f226r_C2	8	d	medium
f226r_C2	9	13	medium
f226r_C2	10	n	low
f226r_C2	11	_27	medium
f226v_C01	1	_94	medium
f226v_C01	2	9	medium
f226v_C01	3	y	medium
f226v_C01	4	68	medium
f226v_C01	5	L	low
f226v_C01	6	v	low
f226v_C01	7	70	medium
f226v_C01	8	55	medium
f226v_C01	9	18	medium
f226v_C01	10	28	medium
f226v_C01	11	_99	medium
f226v_C01	12	Z	medium
f226v_C01	13	65	medium
f226v_C02	1	2#	low
f226v_C02	2	81	medium
f226v_C02	3	99	medium
f226v_C02	4	L	low
f226v_C02	5	X	low
f226v_C02	6	65	medium
f226v_C02	7	Z	medium
f226v_C02	8	y	medium
f226v_C02	9	70	medium
f226v_C02	10	p	low
f226v_C02	11	82	medium
f226v_C02	12	Z	medium
f226v_C03	1	w	medium
f226v_C03	2	Z	medium
f226v_C03	3	_64	medium
f226v_C03	4	9	medium
f226v_C03	5	72	medium
f226v_C03	6	Z	medium
f226v_C03	7	v	low
f226v_C03	8	60	medium
f226v_C03	9	Z	medium
f226v_C03	10	50	medium
f226v_C03	11	y	medium
f226v_C04	1	L	low
f226v_C04	2	60	medium
f226v_C04	3	_71	medium
f226v_C04	4	91	medium
f226v_C04	5	33	medium
f226v_C04	6	_40	medium
f226v_C04	7	Z	medium
f226v_C04	8	v	low
f226v_C04	9	60	medium
f226v_C04	10	Z	medium
f226v_C04	11	_88	medium
f226v_C04	12	36	medium
f226v_C04	13	_88	medium
f226v_C05	1	31	medium
f226v_C05	2	y	medium
f226v_C05	3	72	medium
f226v_C05	4	rr	medium
f226v_C05	5	9	medium
f226v_C05	6	_54	medium
f226v_C05	7	y	medium
f226v_C05	8	L	low
f226v_C05	9	22	medium
f226v_C05	10	9	medium
f226v_C05	11	60	medium
f226v_C05	12	_41	medium
f226v_C05	13	rr	medium
f226v_C05	14	75	medium
f226v_C06	1	ff	medium
f226v_C06	2	24	medium
f226v_C06	3	62	medium
f226v_C06	4	v	low
f226v_C06	5	9	medium
f226v_C06	6	y	medium
f226v_C06	7	v	low
f226v_C06	8	29	medium
f226v_C06	9	Z	medium
f226v_C06	10	v	low
f226v_C06	11	y	medium
f226v_C06	12	Z	medium
f226v_C07	1	69	medium
f226v_C07	2	y	medium
f226v_C07	3	82	medium
f226v_C07	4	Z	medium
f226v_C08	1	69	medium
f226v_C08	2	rr	medium
f226v_C08	3	y	medium
f226v_C08	4	25	medium
f226v_C08	5	9	medium
f226v_C08	6	X	low
f226v_C08	7	_88	medium
f226v_C08	8	82	medium
f226v_C08	9	ff	medium
f226v_C08	10	24	medium
