line	position	group	confidence
f226r_L1	clear		low
f226r_L2	clear	La lettre dont Vre Mate m'a honorée en	high
f226r_L3	clear	Datte du xe du passé, ne me fust rendue que le	high
f226r_L4	clear	Jour d'hier xbme du present. Je tiens a grace le	high
f226r_L5	clear	reproche et le Commandement que Vre Mate me	high
f226r_L6	clear	fait la raison de ma retenue n'a pas peu luy desplaire	high
f226r_L7	clear	puis que c'est par respect. V: Mate Je trouve	high
f226r_L8	clear	aussy obeye par la prompte responce que je	high
f226r_L9	clear	fais a sa lettre mais peut estre n'ay je pas suivy	high
f226r_L10	clear	son sens, qui pouvoit estre	high
f226r_L10	clear	que le communicasse	medium
f226r_L10	1	35	high
f226r_L10	2	18	high
f226r_L10	3	_84	high
f226r_L10	4	>	low
f226r_L10	5	35	high
f226r_L10	clear	sa deffesche a la Reyne	high
f226r_L10	6	40	high
f226r_L10	7	54	high
f226r_L10	8	Z	medium
f226r_L10	9	65	high
f226r_L10	10	64	high
f226r_L10	11	_88	high
f226r_L10	12	48	high
f226r_L10	13	Z	medium
f226r_L10	14	d	medium
f226r_L10	15	13	high
f226r_L10	16	w	medium
f226r_L10	17	_27	high
f226v_L1	clear		low
f226v_L2	clear		low
f226v_L3	clear		low
f226v_L4	clear	et en suitte	high
f226v_L4	clear	que il luy fisse	high
f226v_L5	1	94	high
f226v_L5	2	9	high
f226v_L5	3	y	medium
f226v_L5	4	68	high
f226v_L5	5	v	low
f226v_L5	6	c	low
f226v_L5	7	70	high
f226v_L5	8	55	low
f226v_L5	9	18	high
f226v_L5	10	28	high
f226v_L5	11	99	high
f226v_L5	12	Z	medium
f226v_L5	13	63	high
f226v_L5	clear	sceux	medium
f226v_L5	clear	les intentions	high
f226v_L5	14	2#	medium
f226v_L5	15	81	high
f226v_L5	16	77	high
f226v_L5	17	c	low
f226v_L5	18	X	medium
f226v_L5	19	65	high
f226v_L5	20	Z	medium
f226v_L5	21	c	low
f226v_L5	22	y	medium
f226v_L5	23	70	high
f226v_L5	24	p	medium
f226v_L5	25	82	high
f226v_L5	26	Z	medium
f226v_L6	clear	le mien a esté qu'en la plus part des affaires du	high
f226v_L7	clear	monde le souverain Conseil est de gaigner temps	high
f226v_L7	1	Z	medium
f226v_L8	clear	affez	medium
f226v_L8	clear	soft	low
f226v_L8	clear	respondre	medium
f226v_L8	clear	et que ce seroit	high
f226v_L8	1	un	medium
f226v_L8	2	Z	medium
f226v_L8	3	63	medium
f226v_L8	4	9	high
f226v_L8	5	72	high
f226v_L8	6	Z	medium
f226v_L8	7	v	low
f226v_L8	8	60	high
f226v_L8	9	Z	medium
f226v_L8	10	50	high
f226v_L8	11	y	medium
f226v_L9	clear	aux	medium
f226v_L9	clear	Ministres	high
f226v_L9	clear	des	low
f226v_L9	clear	de	low
f226v_L9	1	L	low
f226v_L9	2	60	high
f226v_L9	3	71	high
f226v_L9	4	gt	medium
f226v_L9	5	33	high
f226v_L9	6	40	high
f226v_L9	7	Z	medium
f226v_L9	8	v	low
f226v_L9	9	60	high
f226v_L9	10	Z	medium
f226v_L9	11	88	high
f226v_L9	12	36	medium
f226v_L9	13	88	high
f226v_L10	clear	Mantoue	high
f226v_L10	clear	quand	high
f226v_L10	1	31	high
f226v_L10	2	y	medium
f226v_L10	3	72	high
f226v_L10	4	rr	medium
f226v_L10	5	9	high
f226v_L10	6	54	high
f226v_L10	7	y	medium
f226v_L10	8	L	low
f226v_L10	9	22	high
f226v_L10	10	9	high
f226v_L10	11	60	high
f226v_L10	12	41	high
f226v_L10	13	rr	medium
f226v_L10	14	75	medium
f226v_L11	clear	renouuelleroient	high
f226v_L11	clear	leurs	medium
f226v_L11	1	ff	medium
f226v_L11	2	24	high
f226v_L11	3	62	high
f226v_L11	4	c	low
f226v_L11	5	9	high
f226v_L11	6	y	medium
f226v_L11	7	v	low
f226v_L11	8	29	high
f226v_L11	9	Z	medium
f226v_L11	10	c	low
f226v_L11	11	y	medium
f226v_L11	12	Z	medium
f226v_L12	clear	instances	medium
f226v_L12	1	69	high
f226v_L12	2	y	medium
f226v_L12	3	82	high
f226v_L12	4	Z	medium
f226v_L12	clear	et peut estre quarante	high
f226v_L13	clear	presentement diverses choses a poursuivre ilz	high
f226v_L14	clear	pourront	high
f226v_L14	clear	soubliez	medium
f226v_L14	clear	de celle la	medium
f226v_L14	1	69	high
f226v_L14	2	rr	medium
f226v_L14	3	y	medium
f226v_L14	4	23	high
f226v_L14	5	9	high
f226v_L14	6	X	medium
f226v_L14	7	88	high
f226v_L14	8	82	high
f226v_L14	9	ff	medium
f226v_L14	10	24	high
f226v_L15	clear	et	medium
f226v_L15	clear	ainsy	medium
f226v_L15	clear	le titre	medium
f226v_L15	1	23	high
f226v_L15	2	94	high
f226v_L15	3	w	medium
f226v_L15	4	c	low
f226v_L15	5	y	medium
f226v_L15	6	66	high
f226v_L15	7	24	high
f226v_L15	8	71	high
f226v_L15	9	v	low
f226v_L15	10	60	high
f226v_L15	11	103	high
f226v_L16	clear	Du gouvernement	high
f226v_L16	clear	de Nivernois	medium
