line	position	group	confidence
f226r_L1	clear	[no legible ink — round archival/library stamp only, no letter content]	low
f226r_L2	clear	La lettre dont Vre Mate m'a honoree en	high
f226r_L3	clear	datte du Xe du passé, ne me fust rendue que le	high
f226r_L4	clear	Jour d'hier xbme du present. Je tiens a grace le	high
f226r_L5	clear	reproche et le Commandement que Vre Mate me	high
f226r_L6	clear	fait la raison de ma retenue n'a pas peu luy desplaire	high
f226r_L7	clear	puis que c'est par respect. V:Mate Je trouve	high
f226r_L8	clear	aussy obeye par la prompte response que je	high
f226r_L9	clear	fais a sa lettre mais peut estre n'ay je pas suivy	high
f226r_L10	clear	Son sens, qui pouvoit estre que ie communicasse ... sa depesche a la Reyne.	medium
f226r_L10	1	_35	medium
f226r_L10	2	18	medium
f226r_L10	3	_84	medium
f226r_L10	4	v	low
f226r_L10	5	35	medium
f226r_L10	6	_40	medium
f226r_L10	7	_54	medium
f226r_L10	8	63	low
f226r_L10	9	64	medium
f226r_L10	10	_88	medium
f226r_L10	11	_48	medium
f226r_L10	12	Z	medium
f226r_L10	13	d	medium
f226r_L10	14	13	medium
f226r_L10	15	n	low
f226r_L10	16	_27	medium
f226v_L1	clear	[blank — top margin, no ink]	high
f226v_L2	clear	[blank — top margin, no ink]	high
f226v_L3	clear	[blank — top margin, no ink]	high
f226v_L4	clear	et en suitte ... que ie luy fisse	high
f226v_L4	1	_94	medium
f226v_L4	2	9	medium
f226v_L4	3	y	medium
f226v_L4	4	68	medium
f226v_L4	5	L	low
f226v_L4	6	v	low
f226v_L4	7	70	medium
f226v_L4	8	55	medium
f226v_L4	9	18	medium
f226v_L4	10	28	medium
f226v_L4	11	_99	medium
f226v_L4	12	Z	medium
f226v_L4	13	65	medium
f226v_L5	clear	sauviz ... les intentions	medium
f226v_L5	1	2#	low
f226v_L5	2	81	medium
f226v_L5	3	99	medium
f226v_L5	4	L	low
f226v_L5	5	X	low
f226v_L5	6	65	medium
f226v_L5	7	Z	medium
f226v_L5	8	y	medium
f226v_L5	9	70	medium
f226v_L5	10	p	low
f226v_L5	11	82	medium
f226v_L5	12	Z	medium
f226v_L6	clear	le mien aesté qu'en la plus part des affaires du	high
f226v_L7	clear	monde le souverain Conseil est de gaigner tempz.	high
