line	position	group	confidence
f226r_C1	1	35	high
f226r_C1	2	18	high
f226r_C1	3	_84	high
f226r_C1	4	>	low
f226r_C1	5	35	high
f226r_C2	1	40	high
f226r_C2	2	54	high
f226r_C2	3	Z	medium
f226r_C2	4	65	high
f226r_C2	5	64	high
f226r_C2	6	_88	high
f226r_C2	7	48	high
f226r_C2	8	Z	medium
f226r_C2	9	d	medium
f226r_C2	10	13	high
f226r_C2	11	w	medium
f226r_C2	12	_27	high
f226v_C01	1	94	high
f226v_C01	2	9	high
f226v_C01	3	y	medium
f226v_C01	4	68	high
f226v_C01	5	v	low
f226v_C01	6	c	low
f226v_C01	7	70	high
f226v_C01	8	55	low
f226v_C01	9	18	high
f226v_C01	10	28	high
f226v_C01	11	99	high
f226v_C01	12	Z	medium
f226v_C01	13	63	high
f226v_C02	1	2#	medium
f226v_C02	2	81	high
f226v_C02	3	77	high
f226v_C02	4	c	low
f226v_C02	5	X	medium
f226v_C02	6	65	high
f226v_C02	7	Z	medium
f226v_C02	8	c	low
f226v_C02	9	y	medium
f226v_C02	10	70	high
f226v_C02	11	p	medium
f226v_C02	12	82	high
f226v_C02	13	Z	medium
f226v_C03	1	un	medium
f226v_C03	2	Z	medium
f226v_C03	3	63	medium
f226v_C03	4	9	high
f226v_C03	5	72	high
f226v_C03	6	Z	medium
f226v_C03	7	v	low
f226v_C03	8	60	high
f226v_C03	9	Z	medium
f226v_C03	10	50	high
f226v_C03	11	y	medium
f226v_C04	1	L	low
f226v_C04	2	60	high
f226v_C04	3	71	high
f226v_C04	4	gt	medium
f226v_C04	5	33	high
f226v_C04	6	40	high
f226v_C04	7	Z	medium
f226v_C04	8	v	low
f226v_C04	9	60	high
f226v_C04	10	Z	medium
f226v_C04	11	88	high
f226v_C04	12	36	medium
f226v_C04	13	88	high
f226v_C05	1	31	high
f226v_C05	2	y	medium
f226v_C05	3	72	high
f226v_C05	4	rr	medium
f226v_C05	5	9	high
f226v_C05	6	54	high
f226v_C05	7	y	medium
f226v_C05	8	L	low
f226v_C05	9	22	high
f226v_C05	10	9	high
f226v_C05	11	60	high
f226v_C05	12	41	high
f226v_C05	13	rr	medium
f226v_C05	14	75	medium
f226v_C06	1	ff	medium
f226v_C06	2	24	high
f226v_C06	3	62	high
f226v_C06	4	c	low
f226v_C06	5	9	high
f226v_C06	6	y	medium
f226v_C06	7	v	low
f226v_C06	8	29	high
f226v_C06	9	Z	medium
f226v_C06	10	c	low
f226v_C06	11	y	medium
f226v_C06	12	Z	medium
f226v_C07	1	69	high
f226v_C07	2	y	medium
f226v_C07	3	82	high
f226v_C07	4	Z	medium
f226v_C08	1	69	high
f226v_C08	2	rr	medium
f226v_C08	3	y	medium
f226v_C08	4	23	high
f226v_C08	5	9	high
f226v_C08	6	X	medium
f226v_C08	7	88	high
f226v_C08	8	82	high
f226v_C08	9	ff	medium
f226v_C08	10	24	high
f226v_C09	1	23	high
f226v_C09	2	94	high
f226v_C09	3	w	medium
f226v_C09	4	c	low
f226v_C09	5	y	medium
f226v_C09	6	66	high
f226v_C09	7	24	high
f226v_C09	8	71	high
f226v_C09	9	v	low
f226v_C09	10	60	high
f226v_C09	11	103	high
f226v_C10	1	91	high
f226v_C10	2	9	high
f226v_C10	3	rr	medium
f226v_C10	4	75	low
f226v_C10	5	X	medium
f226v_C10	6	39	high
f226v_C10	7	81	high
f226v_C10	8	88	high
f226v_C10	9	40	high
f226v_C10	10	73	high
f226v_C10	11	X	medium
f226v_C10	12	41	high
f226v_C11	1	Z	medium
f226v_C11	2	65	medium
f226v_C11	3	v	low
f226v_C11	4	62	high
f226v_C11	5	rr	medium
f226v_C11	6	75	low
f226v_C11	7	59	low
f226v_C11	8	100	high
f226v_C11	9	X	medium
f226v_C11	10	71	high
f226v_C11	11	m	medium
f226v_C12	1	99	high
f226v_C12	2	9	high
f226v_C12	3	91	high
f226v_C12	4	39	high
f226v_C12	5	50	high
f226v_C12	6	Z	medium
f226v_C12	7	65	high
f226v_C12	8	2#	medium
f226v_C12	9	66	high
f226v_C12	10	q	low
f226v_C12	11	y	medium
f226v_C12	12	102	high
f226v_C13	1	31	high
f226v_C13	2	v	low
f226v_C13	3	y	medium
f226v_C13	4	70	high
f226v_C13	5	42	medium
f226v_C13	6	9	high
f226v_C13	7	88	high
f226v_C13	8	51	high
f226v_C13	9	v	low
f226v_C13	10	Z	medium
f226v_C14	1	67	high
f226v_C14	2	y	medium
f226v_C14	3	n	medium
f226v_C14	4	y	medium
f226v_C14	5	65	high
f226v_C14	6	y	medium
f226v_C14	7	82	high
f226v_C14	8	91	high
f226v_C14	9	62	high
f226v_C14	10	h	medium
f226v_C14	11	71	high
f226v_C14	12	32	high
f227r_C01	1	54	high
f227r_C01	2	y	medium
f227r_C01	3	v	low
f227r_C01	4	71	high
f227r_C01	5	b	medium
f227r_C01	6	62	high
f227r_C02	1	9	high
f227r_C02	2	y	medium
f227r_C02	3	91	high
f227r_C02	4	73	high
f227r_C02	5	rr	medium
f227r_C02	6	X	medium
f227r_C02	7	92	high
