ia	lettresducardina02maza	Cheruel, Lettres du cardinal Mazarin t.2 (1644-1647)
ia	pologne01farggoog	Farges, Recueil des instructions, Pologne t.1 (vol.4), 1888
ia	pologne00farggoog	Farges, Recueil des instructions, Pologne t.2 (vol.5), 1888
ia	negociationssecr03lecl	Negociations secretes Munster t.3 (1646)
ia	negociationssecr02lecl	Negociations secretes Munster t.2
ia	lettresdepierre00noyegoog	Des Noyers, Lettres (1859)
ia	lettresindites00cond	Lettres inedites a Marie-Louise de Gonzague (1920)
ia	mmoiresinditsde01barrgoog	Memoires inedits de Brienne le jeune t.1 (1828)
openalex	Marie-Louise de Gonzague Nevers gouvernement Nivernais 1646
openalex	Brienne reine de Pologne 1646
crossref	Marie-Louise de Gonzague reine de Pologne correspondance
