line	col	A	B	flagged	crop
05801_p1_L01	5	=recue	=receu	A	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	8	=derniers	=datees	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	12	=le	-		ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	13	=xvi	-	A	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	14	=e	xvi	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	17	=	=[cut/illegible: page tear]	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	19	=xx	xx	A	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	26	=ycelles	=lesqlles	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	30	132	152	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	33	-	71	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	35	49	89	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	38	139	134	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	48	67	-	A	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	49	97	47	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L01	55	9	4	AB	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L01.jpg
05801_p1_L02	1	-	126	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	2	-	142	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	3	-	62	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	4	-	16	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	5	-	103	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	6	-	77	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	7	-	27	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	8	-	132	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	9	-	195	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	10	-	59	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
05801_p1_L02	11	-	39	B	ciphers/lodewijk-van-nassau-1573-74/images_wv2/crops_comp/05801_p1_L02.jpg
