line	pos	sign	conf	src_pos
1618_spec2	1	s	H	1
1618_spec2	2	u	H	2
1618_spec2	3	p	H	3
1618_spec2	4	/		
1618_spec2	5	y	H	4
1618_spec2	6	u	H	5
1618_spec2	7	z	M	6
1618_spec2	8	d	H	7
1618_spec2	9	/		
1618_spec2	10	z	H	8
1618_spec2	11	d	H	9
1618_spec2	12	b	H	10
1618_spec2	13	/		
1618_spec2	14	u	H	11
1618_spec2	15	z	H	12
1618_spec2	16	m	H	13
1618_spec4	1	w	H	1
1618_spec4	2	u	H	2
1618_spec4	3	z	M	3
1618_spec4	4	m	M	4
1618_spec4	5	u	H	5
1618_spec4	6	p	H	6
1618_spec4	7	/		
1618_spec4	8	n	H	7
1618_spec4	9	q	H	8
1618_spec4	10	m	H	9
1618_spec6	1	s	H	1
1618_spec6	2	u	H	2
1618_spec6	3	p	H	3
1618_spec6	4	/		
1618_spec6	5	q	M	4
1618_spec6	6	t	H	5
1618_spec6	7	p	H	6
1618_spec6	8	q	H	7
1618_spec6	9	y	H	8
1618_spec6	10	q	M	9
1618_spec6	11	n	H	10
1618_spec8	1	c	H	1
1618_spec8	2	u	H	2
1618_spec8	3	z	M	3
1618_spec8	4	m	H	4
1618_spec8	5	/		
1618_spec8	6	x	H	5
1618_spec8	7	u	H	6
1618_spec8	8	o	H	7
1618_spec8	9	b	M	8
