sign	value	grade	source	note
s	h	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
h	s	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
a	i	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
i	a	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
l	k	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
k	l	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
u	n	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
n	u	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
t	o	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
o	t	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
e	p	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
p	e	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
m	q	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
q	m	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
b	r	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
r	b	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
c	w	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
w	c	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
d	x	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
x	d	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
f	y	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
y	f	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
g	z	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, top row over bottom row
z	g	H	1614 leaf, key_leaf_1614.tsv	reciprocal pair, bottom row over top row
