line	pos	sign	conf
1614_note1	1	C	H
1614_note1	2	a	H
1614_note1	3	n	H
1614_note1	4	d	H
1614_note1	5	e	H
1614_note1	6	d	H
1614_note1	7	e	H
1614_note1	8	s	H
1614_note1	9	c	H
1614_note1	10	r	H
1614_note1	11	i	H
1614_note1	12	p	H
1614_note1	13	t	H
1614_note1	14	i	H
1614_note1	15	o	H
1614_note1	16	n	H
1614_note1	17	e	H
1614_note1	18	m	H
1614_note1	19	o	H
1614_note1	20	l	H
1614_note1	21	i	H
1614_note1	22	m	H
1614_note1	23	:	M
1614_note2	1	c	H
1614_note2	2	o	M
1614_note2	3	m	H
1614_note2	4	u	H
1614_note2	5	n	H
1614_note2	6	i	H
1614_note2	7	c	H
1614_note2	8	a	H
1614_note2	9	v	H
1614_note2	10	i	H
1614_note2	11	t	H
1614_note2	12	P	H
1614_note2	13	a	H
1614_note2	14	r	H
1614_note2	15	e	H
1614_note2	16	n	H
1614_note2	17	s	H
1614_note2	18	b	H
1614_note2	19	.	H
1614_note2	20	m	H
1614_note2	21	.	H
1614_note3	1	d	H
1614_note3	2	n	M
1614_note3	3	o	H
1614_note3	4	D	H
1614_note3	5	.	H
1614_note3	6	C	H
1614_note3	7	a	H
1614_note3	8	m	H
1614_note3	9	e	H
1614_note3	10	r	H
1614_note3	11	a	H
1614_note3	12	r	H
1614_note3	13	i	H
1614_note3	14	o	H
1614_note3	15	N	H
1614_note3	16	o	H
1614_note3	17	r	H
1614_note3	18	i	H
1614_note3	19	b	H
1614_note3	20	g	M
1614_note3	21	.	H
1614_c1	1	A	H
1614_c1	2	w	H
1614_c1	3	s	H
1614_c1	4	f	H
1614_c1	5	i	H
1614_c1	6	r	H
1614_c1	7	u	H
1614_c1	8	a	H
1614_c1	9	o	H
1614_c1	10	z	M
1614_c1	11	p	H
1614_c1	12	c	H
1614_c1	13	a	H
1614_c1	14	h	H
1614_c1	15	o	H
1614_c1	16	x	H
1614_c1	17	z	H
1614_c1	18	h	H
1614_c2	1	a	H
1614_c2	2	s	H
1614_c2	3	b	H
1614_c2	4	q	H
1614_c2	5	p	H
1614_c2	6	a	H
1614_c2	7	u	H
1614_c2	8	U	H
1614_c2	9	i	H
1614_c2	10	w	H
1614_c2	11	s	H
1614_c2	12	o	H
1614_c2	13	r	H
1614_c2	14	i	H
1614_c2	15	b	H
1614_c2	16	c	H
1614_c2	17	t	H
1614_c2	18	k	L
1614_c2	19	o	H
1614_c3	1	c	H
1614_c3	2	p	H
1614_c3	3	b	H
1614_c3	4	x	H
1614_c3	5	p	H
1614_c3	6	u	H
1614_c3	7	r	H
1614_c3	8	p	H
1614_c3	9	a	H
1614_c3	10	x	H
1614_c3	11	p	H
1614_c3	12	b	H
1614_c3	13	x	H
1614_c3	14	a	H
1614_c3	15	s	H
1614_c3	16	k	M
1614_c3	17	a	H
1614_c3	18	u	L
1614_c4	1	n	H
1614_c4	2	a	H
1614_c4	3	p	H
1614_c4	4	a	H
1614_c4	5	z	M
1614_c4	6	k	H
1614_c4	7	n	H
1614_c4	8	w	H
1614_c4	9	l	H
1614_c4	10	x	H
1614_c4	11	i	H
1614_c4	12	b	H
1614_c4	13	g	H
1614_c4	14	n	H
1614_c4	15	.	H
1614_key_top	1	s	H
1614_key_top	2	a	H
1614_key_top	3	l	H
1614_key_top	4	u	H
1614_key_top	5	t	H
1614_key_top	6	e	M
1614_key_top	7	m	H
1614_key_top	8	b	H
1614_key_top	9	c	H
1614_key_top	10	d	H
1614_key_top	11	f	H
1614_key_top	12	g	H
1614_key_bot	1	h	M
1614_key_bot	2	i	H
1614_key_bot	3	k	H
1614_key_bot	4	n	H
1614_key_bot	5	o	H
1614_key_bot	6	p	H
