line	pos	sign	value	grade
1618_spec2	1	s	d	H
1618_spec2	2	u	e	H
1618_spec2	3	p	r	H
1618_spec2	5	y	h	H
1618_spec2	6	u	e	H
1618_spec2	7	z	i	M
1618_spec2	8	d	s	H
1618_spec2	10	z	i	H
1618_spec2	11	d	s	H
1618_spec2	12	b	t	H
1618_spec2	14	u	e	H
1618_spec2	15	z	i	H
1618_spec2	16	m	n	H
1618_spec4	1	w	f	H
1618_spec4	2	u	e	H
1618_spec4	3	z	i	M
1618_spec4	4	m	n	M
1618_spec4	5	u	e	H
1618_spec4	6	p	r	H
1618_spec4	8	n	m	H
1618_spec4	9	q	a	H
1618_spec4	10	m	n	H
1618_spec6	1	s	d	H
1618_spec6	2	u	e	H
1618_spec6	3	p	r	H
1618_spec6	5	q	a	M
1618_spec6	6	t	b	H
1618_spec6	7	p	r	H
1618_spec6	8	q	a	H
1618_spec6	9	y	h	H
1618_spec6	10	q	a	M
1618_spec6	11	n	m	H
1618_spec8	1	c	k	H
1618_spec8	2	u	e	H
1618_spec8	3	z	i	M
1618_spec8	4	m	n	H
1618_spec8	6	x	g	H
1618_spec8	7	u	e	H
1618_spec8	8	o	l	H
1618_spec8	9	b	t	M
