# Spanish clear lines of RAH 9/6958 nº 117/2-3 as written; generated by build_align.py
line	spanish
p302_P01	Hoy 15 Noviembre
p302_P02	Ruega al Sr. D. Luis Gonzalez Bra-
p302_P03	bo, haga llegar a manos de S. M. la Reina, la
p302_P04	carta que en forma de nota se estampa a conti-
p302_P05	nuacion, en lo cual dispensara un señalado obse-
p302_P06	quio a su particular y buen amigo = El
p302_P07	Conde de la Cañada-
p302_P08	Señora:
p302_P09	Tengo el mas alto honor en felicitar
p302_P10	muy cordialmente a V. M. en el dia de
p302_P11	su santo; reiterando que el en que pueda
p302_P12	hacerlo en este pais y sentada V. M. en el
p302_P13	trono de San Fernando sera el mas feliz
p302_P14	de mi vida.
p302_P15	Me permito indicar respetuosa-
p302_P16	mente a V. M. que gana por momentos
p302_P17	la idea de la justisima restauracion y
p302_P18	que nadie me aventaja en deseos de ser
p302_P19	uno de los primeros que se jueguen su vida
p302_P20	por llevarla a feliz termino-
p302_P21	Señora
p303_P01	Va-
p303_P02	A. L. R. P. de V. V. M. M. y
p303_P03	Real familia con el mas profun-
p303_P04	do respeto y veneracion
