# rah-canada-1869 cipher lines as read by the aligner (R8) from the page images; generated by build_align.py.
# sign: glyphs/atlas.md codes; / = word break, . , = punctuation (not tokens)
line	idx	sign	conf
p302_c01	0	[g04]	
p302_c01	1	9	
p302_c01	2	[g07]	
p302_c01	3	/	
p302_c01	4	[g10]	
p302_c01	5	[g11]	
p302_c01	6	/	
p302_c01	7	3	
p302_c01	8	9	
p302_c01	9	5	
p302_c01	10	7	
p302_c01	11	[plus]	
p302_c01	12	0	
p302_c01	13	[g06]	
p302_c01	14	[dot]	
p302_c01	15	[plus]	
p302_c02	0	[dot]	
p302_c02	1	[cross]	
p302_c02	2	[plus]	
p302_c02	3	[g02]	
p302_c02	4	[loopn]	
p302_c02	5	/	
p302_c02	6	[loopn]	
p302_c02	7	[circledot]	
p302_c02	8	.	
p302_c02	9	/	
p302_c02	10	[g01]	
p302_c02	11	[plus]	
p302_c02	12	4	
p302_c02	13	9	
p302_c02	14	[dot]	
p302_c02	15	/	
p302_c02	16	[bigloop]	
p302_c02	17	9	
p302_c02	18	3	
p302_c02	19	/	
p302_c02	20	[circledot]	
p302_c02	21	[cross]	
p302_c02	22	7	
p302_c02	23	[g01]	
p302_c02	24	/	
p302_c02	25	[g02]	
p302_c02	26	9	
p302_c02	27	3	
p302_c02	28	[loopm]	
p302_c02	29	[loopn]	
p302_c03	0	[circledot]	
p302_c03	1	[plus]	
p302_c03	2	[loopm]	
p302_c03	3	/	
p302_c03	4	[g06]	
p302_c03	5	[dot]	
p302_c03	6	[loopn]	
p302_c03	7	[g06]	
p302_c03	8	9	
p302_c03	9	,	
p302_c03	10	/	
p302_c03	11	[g04]	
p302_c03	12	[loopn]	
p302_c03	13	[g02]	
p302_c03	14	[loopn]	
p302_c03	15	/	
p302_c03	16	[circledot]	
p302_c03	17	[circledot]	
p302_c03	18	[plus]	
p302_c03	19	[g02]	
p302_c03	20	[loopn]	
p302_c03	21	[dot]	
p302_c03	22	/	
p302_c03	23	[loopn]	
p302_c03	24	/	
p302_c03	25	0	
p302_c03	26	[loopn]	
p302_c03	27	3	
p302_c03	28	9	
p302_c03	29	[g01]	
p302_c03	30	/	
p302_c03	31	[bigloop]	
p302_c03	32	[plus]	
p302_c03	33	/	
p302_c03	34	[g01]	
p302_c03	35	[cross]	
p302_c03	36	/	
p302_c03	37	0	
p302_c03	38	[loopn]	
p302_c04	0	[g02]	
p302_c04	1	[plus]	
p302_c04	2	[g01]	
p302_c04	3	6	
p302_c04	4	[loopn]	
p302_c04	5	[bigloop]	
p302_c04	6	/	
p302_c04	7	[circledot]	
p302_c04	8	[loopn]	
p302_c04	9	/	
p302_c04	10	[dot]	
p302_c04	11	[plus]	
p302_c04	12	7	
p302_c04	13	3	
p302_c04	14	[loopn]	
p302_c04	15	,	
p302_c04	16	/	
p302_c04	17	[circledot]	
p302_c04	18	[loopn]	
p302_c04	19	/	
p302_c04	20	[dash]	
p302_c04	21	[loopn]	
p302_c04	22	[dot]	
p302_c04	23	6	
p302_c04	24	[loopn]	
p302_c04	25	/	
p302_c04	26	[g03]	
p302_c04	27	[cross]	
p302_c04	28	[plus]	
p302_c04	29	/	
p302_c04	30	[plus]	
p302_c04	31	3	
p302_c04	32	/	
p302_c04	33	[equals]	
p302_c04	34	9	
p302_c04	35	[dot]	
p302_c05	0	0	
p302_c05	1	[loopn]	
p302_c05	2	,	
p302_c05	3	/	
p302_c05	4	[bigloop]	
p302_c05	5	[plus]	
p302_c05	6	/	
p302_c05	7	3	
p302_c05	8	9	
p302_c05	9	6	
p302_c05	10	[loopn]	
p302_c05	11	.	
p302_c05	12	/	
p302_c05	13	[g01]	
p302_c05	14	[g09]	
p302_c05	15	/	
p302_c05	16	[plus]	
p302_c05	17	[g01]	
p302_c05	18	6	
p302_c05	19	[loopn]	
p302_c05	20	0	
p302_c05	21	[g05]	
p302_c05	22	[loopn]	
p302_c05	23	/	
p302_c05	24	[loopn]	
p302_c05	25	/	
p302_c05	26	[dash]	
p302_c05	27	9	
p302_c05	28	3	
p302_c05	29	6	
p302_c05	30	7	
p302_c05	31	3	
p302_c05	32	[cross]	
p302_c05	33	[loopn]	
p302_c05	34	[dash]	
p302_c05	35	7	
p302_c05	36	9	
p302_c05	37	3	
p302_c06	0	[plus]	
p302_c06	1	3	
p302_c06	2	/	
p302_c06	3	[circledot]	
p302_c06	4	9	
p302_c06	5	/	
p302_c06	6	[dash]	
p302_c06	7	[cross]	
p302_c06	8	[loopn]	
p302_c06	9	[circledot]	
p302_c06	10	/	
p302_c06	11	[bigloop]	
p302_c06	12	7	
p302_c06	13	[g01]	
p302_c06	14	[g05]	
p302_c06	15	[plus]	
p302_c06	16	3	
p302_c06	17	[g01]	
p302_c06	18	[loopn]	
p302_c06	19	[dot]	
p302_c06	20	[loopn]	
p302_c06	21	/	
p302_c06	22	[cross]	
p302_c06	23	3	
p302_c06	24	/	
p302_c06	25	[g08]	
p302_c06	26	[plus]	
