# passA.tsv - blind transcription pass A, rah-canada-1869 (RAH 9/6958, Leg. XIX no. 117/2-3)
# Cipher lines only (clear Spanish lines skipped per brief). Symbols per glyphs/atlas.md.
# No new [gNN] labels were needed; all non-digit marks matched an existing atlas label.
# Two standalone cipher-only lines with no adjacent clear-text pair (no clear line directly
# above/below on the page) are included as their own line values: p302_c8 (after "Conde de
# la Cañada-") and p302_c16 (short line "07 57[loopn][loopn]" sharing its image crop, p302_L31,
# with the start of the next clear line "Me permito...").
# Cursive descender-loop shapes read as digit 9 (distinct from the atlas's short end-loop
# [loopn]) are transcribed literally as "9"; a shape resembling a cursive capital H is read
# as [bigloop] per the atlas's own description of that label.
line	pos	token
p302_c1	1	19+
p302_c1	2	1[hook]
p302_c1	3	39[loopn]7+07.+
p302_c2	1	[dot]+,[loopn]
p302_c2	2	[loopn]0.[cross]+49.
p302_c2	3	[loopn]93
p302_c2	4	[circledot]+7[cross],[loopn]93[loopm][loopn]
p302_c3	1	[circledot]+[loopm]
p302_c3	2	7.[loopn]39,
p302_c3	3	1[loopn][loopn][loopn]
p302_c3	4	00+[loopn][loopn].[loopn]
p302_c3	5	0[loopn]39[cross]
p302_c3	6	[loopn]+[cross]+[cross]0[loopn]
p302_c4	1	[loopn]+[cross]16[loopn][loopn]
p302_c4	2	0[loopn]+73[loopn],
p302_c4	3	0[loopn][dash][loopn].6[loopn]
p302_c4	4	[circledot]++[cross]+3[equals]9.
p302_c5	1	0[loopn],
p302_c5	2	[loopn]+
p302_c5	3	396[loopn].
p302_c5	4	++16[loopn]09[loopn]
p302_c5	5	[loopn][dash]93673[cross][loopn][dash]793
p302_c6	1	+3
p302_c6	2	[circledot]9[dash]+[loopn]0
p302_c6	3	[loopn]7[cross]19+3[cross][loopn].[loopn]
p302_c6	4	+3
p302_c6	5	4+4[loopn]0[loopn][loopn]9
p302_c7	1	97[cross]++[circledot][cross]79
p302_c7	2	[loopn]
p302_c7	3	[cross]+[cross]
p302_c7	4	9[loopn].67[dash]+0[loopn].
p302_c7	5	++7++3[loopn]0729
p302_c8	1	+[circledot][dash]93
p302_c8	2	[loopn]+
p302_c8	3	[loopn]+0[loopn]
p302_c8	4	[dash][loopn]4[loopn][loopn]
p302_c9	1	[cross]++49.[loopn]
p302_c10	1	6+339+0
p302_c10	2	0[loopn][cross][loopn]069
p302_c10	3	1939.
p302_c10	4	+3
p302_c10	5	[equals]+07[dash]76[loopn].
p302_c11	1	[circledot]++
p302_c11	2	[dash]9.[loopn]7[loopn]00+36+
p302_c11	3	[loopn]
p302_c11	4	[loopn]++16.[loopn]0[loopn][loopn]+16[loopn][loopn]
p302_c12	1	+3+[circledot]
p302_c12	2	[loopn]7[loopn]
p302_c12	3	[loopn]+[cross]1[cross].[cross][loopn]369.
p302_c12	4	+76+1[loopn]3[loopn]9
p302_c12	5	[circledot][cross]++[circledot].
p302_c13	1	+3
p302_c13	2	[circledot]++
p302_c13	3	9++[loopn]
p302_c13	4	1[loopn][dash]+.09
p302_c13	5	+3+[cross]16+
p302_c13	6	9[loopn]7[cross]
p302_c13	7	[cross]+3
p302_c14	1	6[loopn][loopn][loopn]
p302_c14	2	[equals]++16.[loopn]
p302_c14	3	0[loopn]+16[loopn][loopn]
p302_c14	4	+3+0
p302_c14	5	6.929[loopn]+
p302_c15	1	[cross][loopn]3
p302_c15	2	[equals]+.3[loopn][loopn]9[cross]+.[loopn]
p302_c15	3	+0
p302_c15	4	0[loopn][cross][equals]+07[loopm]
p302_c15	5	[loopn]+
p302_c16	1	07
p302_c16	2	57[loopn][loopn]
p302_c17	1	[circledot]+9+.0769
p302_c17	2	73[loopn]7[dash][loopn].0+19+6[cross]9[cross][loopn]0+36+
p302_c17	3	[loopn]
p302_c18	1	[equals]++16.[loopn]
p302_c18	2	0[loopn]+16[loopn][loopn]
p302_c18	3	[circledot]++
p302_c18	4	9[loopn]9[loopn]
p302_c18	5	99.090+369[cross]
p302_c19	1	0[loopn]
p302_c19	2	7[loopn]+
p302_c19	3	[loopn]+0[loopn]
p302_c19	4	2[cross][cross]16767
p302_c19	5	0[loopn]
p302_c19	6	.+16[loopn][cross].[loopn][dash]793
p302_c20	1	+[circledot]
p302_c20	2	[cross]+
p302_c20	3	9[loopn][loopn]7+
p302_c20	4	0+
p302_c20	5	[loopn]36[loopn][loopn]2[loopn]
p302_c20	6	+3
p302_c20	7	[loopn]+[cross]19[cross]
p302_c20	8	3+
p302_c21	1	[cross]+.+39
p302_c21	2	[loopn]+09[cross]
p302_c21	3	9.70+.9[cross]
p302_c21	4	[circledot][cross]+
p302_c21	5	[cross]+2[cross]+3[cross]+3
p303_c1	1	[cross]+[cross]
p303_c1	2	57[loopn][loopn]
p303_c1	3	99.
p303_c1	4	[circledot]0+[loopn][loopn].0[loopn]
p303_c1	5	[loopn][equals]+07[loopm]
p303_c1	6	6+.0729
p303_c2	1	[cross]++49.[loopn]
p303_c3	1	[loopn]09[cross]
p303_c3	2	.+[loopn]0++[cross]
p303_c3	3	97+[cross]
p303_c3	4	[loopn]+
p303_c3	5	[equals][cross]+[cross]16.[loopn][cross]
p303_c4	1	0[loopn][loopn]++16[loopn][loopn]+[cross]14
p303_c4	2	[dot]+[loopn][circledot][equals][loopn]0707[loopn][dash]93+[circledot]
p303_c5	1	0[loopn][cross]
p303_c5	2	9.9[equals][cross]2[loopn]9
p303_c5	3	[dot]+[cross]19+69.[bigloop]
p303_c5	4	[loopn]+2+.[loopn][dash]793
