line	col	A	B	flagged	crop
p302_c1	1	19+	19[cross]		
p302_c1	2	1[hook]	1[loopn]		
p302_c1	3	39[loopn]7+07.+	[bigloop]957[cross]09.[cross]		
p302_c2	1	-	[dot][cross]+,[bigloop][loopn]		
p302_c2	2	-	[loopn][circle].		
p302_c2	3	[dot]+,[loopn]	[hook]49.		
p302_c2	4	[loopn]0.[cross]+49.	193		
p302_c2	5	[loopn]93	[circledot]+7[hook]		
p302_c2	6	[circledot]+7[cross],[loopn]93[loopm][loopn]	[loopn]93[loopm][loopn]		
p302_c3	2	7.[loopn]39,	-		
p302_c3	3	1[loopn][loopn][loopn]	7.[loopn]79.		
p302_c3	4	00+[loopn][loopn].[loopn]	1[loopn][bigloop][loopn][circledot]0+[bigloop][loopn].		
p302_c3	5	0[loopn]39[cross]	[circle][loopn]39[hook]		
p302_c3	6	[loopn]+[cross]+[cross]0[loopn]	1+[hook][cross][circle][loopn]		
p302_c4	1	-	[bigloop]+[hook]16[loopn][bigloop]		
p302_c4	2	-	[circledot][loopn]		
p302_c4	3	[loopn]+[cross]16[loopn][loopn]	.+7[bigloop][loopn],		
p302_c4	4	0[loopn]+73[loopn],	[circledot][loopn]		
p302_c4	5	0[loopn][dash][loopn].6[loopn]	-[loopn].6[loopn]		
p302_c4	6	[circledot]++[cross]+3[equals]9.	[circledot][cross]++[bigloop]=9.		
p302_c5	1	0[loopn],	-		
p302_c5	2	[loopn]+	[circle][loopn],		
p302_c5	3	396[loopn].	1+396[loopn].		
p302_c5	4	++16[loopn]09[loopn]	[hook]++[hook]16[loopn]0[loopn]		
p302_c5	5	[loopn][dash]93673[cross][loopn][dash]793	[loopn]-93673[cross][loopn]-19[circle]		
p302_c6	2	[circledot]9[dash]+[loopn]0	09-[cross][loopn]0		
p302_c6	3	[loopn]7[cross]19+3[cross][loopn].[loopn]	[bigloop]7[hook]19+3[hook]1.[loopn]		
p302_c6	5	4+4[loopn]0[loopn][loopn]9	4+4[loopn]0[loopn][bigloop]9		
p302_c7	1	97[cross]++[circledot][cross]79	-		
p302_c7	2	[loopn]	97[hook]+0[circledot][cross]79		
p302_c7	3	[cross]+[cross]	[loopn][hook][cross]		
p302_c7	4	9[loopn].67[dash]+0[loopn].	9[loopn].67-[cross]0[loopn].		
p302_c7	5	++7++3[loopn]0729	[hook]1[cross]+3[loopn]0719		
p302_c8	1	+[circledot][dash]93	-		
p302_c8	2	[loopn]+	-		
p302_c8	3	[loopn]+0[loopn]	+0-93[loopn]+		
p302_c8	4	[dash][loopn]4[loopn][loopn]	1+0[circle]-[loopn]4[loopn][loopn]		
p302_c9	1	[cross]++49.[loopn]	[hook]49.[loopn]		
p302_c10	1	-	6+319		
p302_c10	2	-	+0		
p302_c10	3	6+339+0	[circle][loopn][hook]1		
p302_c10	4	0[loopn][cross][loopn]069	[loopn]069		
p302_c10	5	1939.	1919.		
p302_c10	7	[equals]+07[dash]76[loopn].	[equals]+07-76[loopn].		
p302_c11	1	[circledot]++	-		
p302_c11	2	[dash]9.[loopn]7[loopn]00+36+	[circledot]+[cross]		
p302_c11	3	[loopn]	-9.19[loopn]00+96+		
p302_c11	4	[loopn]++16.[loopn]0[loopn][loopn]+16[loopn][loopn]	[loopn][cross]++16.[loopn]0[loopn][circle][loopn]16[loopn][loopn]		
p302_c12	1	+3+[circledot]	-		
p302_c12	2	[loopn]7[loopn]	-		
p302_c12	3	[loopn]+[cross]1[cross].[cross][loopn]369.	+3+0		
p302_c12	4	+76+1[loopn]3[loopn]9	1[loopn]1+-1[cross],-1[loopn]69.		
p302_c12	5	[circledot][cross]++[circledot].	+76+.[loopn]3[loopn]9[circledot]+++0		
p302_c13	1	+3	-		
p302_c13	2	[circledot]++	-		
p302_c13	3	9++[loopn]	-		
p302_c13	4	1[loopn][dash]+.09	-+3[circledot]++[loopn]1		
p302_c13	5	+3+[cross]16+	1-+.09		
p302_c13	6	9[loopn]7[cross]	+3+-16+		
p302_c13	7	[cross]+3	1[loopn]7-[loopn]1+3		
p302_c14	2	[equals]++16.[loopn]	[cross]++-16.[loopn]		
p302_c14	3	0[loopn]+16[loopn][loopn]	0[loopn][loopn]-16[loopn][loopn]		
p302_c15	1	[cross][loopn]3	-1[loopn]3		
p302_c15	2	[equals]+.3[loopn][loopn]9[cross]+.[loopn]	=+.3[loopn]3[loopn]9-1+.[loopn]		
p302_c15	4	-	0[loopn]-1		
p302_c15	5	0[loopn][cross][equals]+07[loopm]	=+0[hook][loopm]		
p302_c15	7	-	07		
p302_c15	8	-	57[bigloop][loopn]		
p302_c16	1	-	+9+.0769		
p302_c16	2	07	73[loopn]7-[loopn].		
p302_c16	3	57[loopn][loopn]	+[hook]19+6[cross]9-1[loopn]0+96+		
p302_c17	1	-	[cross]++-16.[loopn]		
p302_c17	2	-	0[loopn][circle]-1[cross]-16[loopn][loopn]		
p302_c17	3	[circledot]+9+.0769	[circledot]+7		
p302_c17	4	73[loopn]7[dash][loopn].0+19+6[cross]9[cross][loopn]0+36+	[loopn]-[loopn]-		
p302_c17	5	[loopn]	99.090+369-1		
p302_c18	1	[equals]++16.[loopn]	0[loopn]		
p302_c18	2	0[loopn]+16[loopn][loopn]	1[loopn]+[loopn]		
p302_c18	3	[circledot]++	1+0[loopn]		
p302_c18	4	9[loopn]9[loopn]	2[cross]-16767 0[loopn]		
p302_c18	5	99.090+369[cross]	.+-16[loopn][cross].[loopn]-1979		
p302_c19	1	-	+1		
p302_c19	2	-	[circledot][cross]+		
p302_c19	3	0[loopn]	9[loopn][loopn]7+		
p302_c19	4	7[loopn]+	0+		
p302_c19	5	[loopn]+0[loopn]	-[loopn]5+96-2[loopn]		
p302_c19	6	2[cross][cross]16767	+9		
p302_c19	7	0[loopn]	[loopn]+-1+9-1		
p302_c19	8	.+16[loopn][cross].[loopn][dash]793	[loopn]+		
p302_c20	1	+[circledot]	-		
p302_c20	2	[cross]+	-		
p302_c20	3	9[loopn][loopn]7+	-1+.+9[loopn]		
p302_c20	4	0+	[loopn]+		
p302_c20	5	[loopn]36[loopn][loopn]2[loopn]	09-1		
p302_c20	6	+3	9.10+.9-1		
p302_c20	7	[loopn]+[cross]19[cross]	[circledot]++		
p302_c20	8	3+	-1+2[cross]+[loopn][cross]+9		
p302_c21	1	[cross]+.+39	-		
p302_c21	2	[loopn]+09[cross]	-		
p302_c21	3	9.70+.9[cross]	-		
p302_c21	4	[circledot][cross]+	-		
p302_c21	5	[cross]+2[cross]+3[cross]+3	-		
p303_c1	1	[cross]+[cross]	[hook]1		
p303_c1	3	99.	99.00+[loopn].0[loopn]		
p303_c1	4	[circledot]0+[loopn][loopn].0[loopn]	[loopn]		
p303_c1	5	[loopn][equals]+07[loopm]	=+07[loopm]		
p303_c1	6	6+.0729	6[loopn]+.0729		
p303_c2	1	[cross]++49.[loopn]	[hook]49.[loopn]		
p303_c3	1	[loopn]09[cross]	[loopn]09-1		
p303_c3	2	.+[loopn]0++[cross]	.+[loopn]0++-1		
p303_c3	3	97+[cross]	97+-1		
p303_c3	4	[loopn]+	1+		
p303_c3	5	[equals][cross]+[cross]16.[loopn][cross]	5[cross]+-16.[loopn]-1		
p303_c4	1	-	0[loopn]1+-16[loopn]1+-1		
p303_c4	2	-	++.+[loopn]0		
p303_c4	3	0[loopn][loopn]++16[loopn][loopn]+[cross]14	=[loopn]0707[loopn]		
p303_c4	4	[dot]+[loopn][circledot][equals][loopn]0707[loopn][dash]93+[circledot]	-93+0		
p303_c5	1	0[loopn][cross]	-		
p303_c5	2	9.9[equals][cross]2[loopn]9	0[loopn]-1		
p303_c5	3	[dot]+[cross]19+69.[bigloop]	9.9=[cross]2[loopn]9.+-19+69.		
p303_c5	4	[loopn]+2+.[loopn][dash]793	++5+2+.[loopn]-793		
