query	variant	status	total_items	volume_id	title	author	year	snippet	phrase_in_snippet	logged_url
"nota del Conde de la Cañada"	base	200	1	TbUZAAAAMAAJ	Catalogo de los manuscritos relativos a los antiguos Jesuítas de Chile	Biblioteca Nacional (Chile)	1891	... Nota del Conde de la Cañada participando queda en- terado del estado en que se hallan los expedientes pendientes de las Temporalidades de Chile . Madrid , 21 de agosto . 1793. Vol . 67 , p . 73 , pág . 89 , hoj . 1 . 1412 - - - Nota del&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22nota+del+Conde+de+la+Ca%C3%B1ada%22&maxResults=20&key=REDACTED&country=US
"nota del Conde de la Cañada"	full	200	1	TbUZAAAAMAAJ	Catalogo de los manuscritos relativos a los antiguos Jesuítas de Chile	Biblioteca Nacional (Chile)	1891	... Nota del Conde de la Cañada participando queda en- terado del estado en que se hallan los expedientes pendientes de las Temporalidades de Chile . Madrid , 21 de agosto . 1793. Vol . 67 , p . 73 , pág . 89 , hoj . 1 . 1412 - - - Nota del&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22nota+del+Conde+de+la+Ca%C3%B1ada%22&maxResults=20&key=REDACTED&country=US&filter=full
"Conde de la Cañada" "González Bravo" 1869	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22Conde+de+la+Ca%C3%B1ada%22+%22Gonz%C3%A1lez+Bravo%22+1869&maxResults=20&key=REDACTED&country=US
"la justísima restauración" Isabel	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22la+just%C3%ADsima+restauraci%C3%B3n%22+Isabel&maxResults=20&key=REDACTED&country=US
"gana por momentos la idea"	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22gana+por+momentos+la+idea%22&maxResults=20&key=REDACTED&country=US
"sentada V. M. en el trono de San Fernando"	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22sentada+V.+M.+en+el+trono+de+San+Fernando%22&maxResults=20&key=REDACTED&country=US
"me aventaja en deseos"	base	200	4	nD3hZbSKPwAC	La Campana del terror, ó, Las vísperas sicilianas	Garci-Sanchez del Pinar	1857	... me aventaja en deseos de hacer que se los respeten . Mucho antes que llegaseis à Ca- taluña , desde el mismo dia que supimos la desastrosa muerte de Manfredo y de Conradino , me hice el propósito de cruzar mis armas con las del&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22me+aventaja+en+deseos%22&maxResults=20&key=REDACTED&country=US
"me aventaja en deseos"	base	200	4	eBoBAVf722MC	Diario de las sesiones de Cortes		1889	... me aventaja en deseos , y creo tener dere- cho á que todo el mundo lo piense así . Esta es una cuestion difícil , porque hay de por medio tratados internacionales , cuyo texto S. S. seguramente ha leí- do y tiene en la memoria ; y&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22me+aventaja+en+deseos%22&maxResults=20&key=REDACTED&country=US
"me aventaja en deseos"	base	200	4	Yj5IAQAAMAAJ	Diario de las sesiones ...	Spain. Cortes. Congreso de los Diputados	1876	... me aventaja en deseos de hacer que cesen las persecuciones por opiniones políti- cas , porque sé por repetidas experiencias cuán desagra . dables son , y estoy conforme por lo mismo con lo ex- puesto por el Sr Diputado . El Sr. Conde de&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22me+aventaja+en+deseos%22&maxResults=20&key=REDACTED&country=US
"me aventaja en deseos"	base	200	4	KsE3AQAAMAAJ	Diario de las Sesiones de Cortes, Congreso de los Diputados	Spain. Cortes. Congreso de los Diputados	1844	... me aventaja en deseos de hacer que cesen las persecuciones por opiniones politicas , porque sé por repetidas experiencias cuan desagradables son , y estoy confor- me por lo mismo con lo expuesto por el Sr. Diputado . El Sr. conde de las&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22me+aventaja+en+deseos%22&maxResults=20&key=REDACTED&country=US
"me aventaja en deseos"	full	200	2	nD3hZbSKPwAC	La Campana del terror, ó, Las vísperas sicilianas	Garci-Sanchez del Pinar	1857	... me aventaja en deseos de hacer que se los respeten . Mucho antes que llegaseis à Ca- taluña , desde el mismo dia que supimos la desastrosa muerte de Manfredo y de Conradino , me hice el propósito de cruzar mis armas con las del&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22me+aventaja+en+deseos%22&maxResults=20&key=REDACTED&country=US&filter=full
"me aventaja en deseos"	full	200	2	KsE3AQAAMAAJ	Diario de las Sesiones de Cortes, Congreso de los Diputados	Spain. Cortes. Congreso de los Diputados	1844	... me aventaja en deseos de hacer que cesen las persecuciones por opiniones politicas , porque sé por repetidas experiencias cuan desagradables son , y estoy confor- me por lo mismo con lo expuesto por el Sr. Diputado . El Sr. conde de las&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22me+aventaja+en+deseos%22&maxResults=20&key=REDACTED&country=US&filter=full
"tal y como ha sido recibida" González Bravo	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22tal+y+como+ha+sido+recibida%22+Gonz%C3%A1lez+Bravo&maxResults=20&key=REDACTED&country=US
