# plaintext letter each cipher sign is aligned to (abbreviations expanded as enciphered); generated by build_align.py
line	pos	value
p302_c01	0	h
p302_c01	1	o
p302_c01	2	y
p302_c01	4	1
p302_c01	5	5
p302_c01	7	n
p302_c01	8	o
p302_c01	9	v
p302_c01	10	i
p302_c01	11	e
p302_c01	12	m
p302_c01	13	b
p302_c01	14	r
p302_c01	15	e
p302_c02	0	r
p302_c02	1	u
p302_c02	2	e
p302_c02	3	g
p302_c02	4	a
p302_c02	6	a
p302_c02	7	l
p302_c02	10	s
p302_c02	11	e
p302_c02	12	ñ
p302_c02	13	o
p302_c02	14	r
p302_c02	16	d
p302_c02	17	o
p302_c02	18	n
p302_c02	20	l
p302_c02	21	u
p302_c02	22	i
p302_c02	23	s
p302_c02	25	g
p302_c02	26	o
p302_c02	27	n
p302_c02	28	z
p302_c02	29	a
p302_c03	0	l
p302_c03	1	e
p302_c03	2	z
p302_c03	4	b
p302_c03	5	r
p302_c03	6	a
p302_c03	7	v
p302_c03	8	o
p302_c03	11	h
p302_c03	12	a
p302_c03	13	g
p302_c03	14	a
p302_c03	16	l
p302_c03	17	l
p302_c03	18	e
p302_c03	19	g
p302_c03	20	a
p302_c03	21	r
p302_c03	23	a
p302_c03	25	m
p302_c03	26	a
p302_c03	27	n
p302_c03	28	o
p302_c03	29	s
p302_c03	31	d
p302_c03	32	e
p302_c03	34	s
p302_c03	35	u
p302_c03	37	m
p302_c03	38	a
p302_c04	0	g
p302_c04	1	e
p302_c04	2	s
p302_c04	3	t
p302_c04	4	a
p302_c04	5	d
p302_c04	7	l
p302_c04	8	a
p302_c04	10	r
p302_c04	11	e
p302_c04	12	i
p302_c04	13	n
p302_c04	14	a
p302_c04	17	l
p302_c04	18	a
p302_c04	20	c
p302_c04	21	a
p302_c04	22	r
p302_c04	23	t
p302_c04	24	a
p302_c04	26	q
p302_c04	27	u
p302_c04	28	e
p302_c04	30	e
p302_c04	31	n
p302_c04	33	f
p302_c04	34	o
p302_c04	35	r
p302_c05	0	m
p302_c05	1	a
p302_c05	4	d
p302_c05	5	e
p302_c05	7	n
p302_c05	8	o
p302_c05	9	t
p302_c05	10	a
p302_c05	13	s
p302_c05	14	e
p302_c05	16	e
p302_c05	17	s
p302_c05	18	t
p302_c05	19	a
p302_c05	20	m
p302_c05	21	p
p302_c05	22	a
p302_c05	24	a
p302_c05	26	c
p302_c05	27	o
p302_c05	28	n
p302_c05	29	t
p302_c05	30	i
p302_c05	31	n
p302_c05	32	u
p302_c05	33	a
p302_c05	34	c
p302_c05	35	i
p302_c05	36	o
p302_c05	37	n
p302_c06	0	e
p302_c06	1	n
p302_c06	3	l
p302_c06	4	o
p302_c06	6	c
p302_c06	7	u
p302_c06	8	a
p302_c06	9	l
p302_c06	11	d
p302_c06	12	i
p302_c06	13	s
p302_c06	14	p
p302_c06	15	e
p302_c06	16	n
p302_c06	17	s
p302_c06	18	a
p302_c06	19	r
p302_c06	20	a
p302_c06	22	u
p302_c06	23	n
p302_c06	25	s
p302_c06	26	e
p302_c06	27	ñ
p302_c06	28	a
p302_c06	29	l
p302_c06	30	a
p302_c06	31	d
p302_c06	32	o
p302_c07	0	o
p302_c07	1	b
p302_c07	2	s
p302_c07	3	e
p302_c07	4	q
p302_c07	5	u
p302_c07	6	i
p302_c07	7	o
p302_c07	9	a
p302_c07	11	s
p302_c07	12	u
p302_c07	14	p
p302_c07	15	a
p302_c07	16	r
p302_c07	17	t
p302_c07	18	i
p302_c07	19	c
p302_c07	20	u
p302_c07	21	l
p302_c07	22	a
p302_c07	23	r
p302_c07	25	y
p302_c07	27	b
p302_c07	28	u
p302_c07	29	e
p302_c07	30	n
p302_c07	32	a
p302_c07	33	m
p302_c07	34	i
p302_c07	35	g
p302_c07	36	o
p302_c08	0	e
p302_c08	1	l
p302_c08	3	c
p302_c08	4	o
p302_c08	5	n
p302_c08	6	d
p302_c08	7	e
p302_c08	9	d
p302_c08	10	e
p302_c08	12	l
p302_c08	13	a
p302_c08	15	c
p302_c08	16	a
p302_c08	17	ñ
p302_c08	18	a
p302_c08	19	d
p302_c08	20	a
p302_c09	0	s
p302_c09	1	e
p302_c09	2	ñ
p302_c09	3	o
p302_c09	4	r
p302_c09	5	a
p302_c10	0	t
p302_c10	1	e
p302_c10	2	n
p302_c10	3	g
p302_c10	4	o
p302_c10	6	e
p302_c10	7	l
p302_c10	9	m
p302_c10	10	a
p302_c10	11	s
p302_c10	13	a
p302_c10	14	l
p302_c10	15	t
p302_c10	16	o
p302_c10	18	h
p302_c10	19	o
p302_c10	20	n
p302_c10	21	o
p302_c10	22	r
p302_c10	24	e
p302_c10	25	n
p302_c10	27	f
p302_c10	28	e
p302_c10	29	l
p302_c10	30	i
p302_c10	31	c
p302_c10	32	i
p302_c10	33	t
p302_c10	34	a
p302_c10	35	r
p302_c11	0	m
p302_c11	1	u
p302_c11	2	y
p302_c11	4	c
p302_c11	5	o
p302_c11	6	r
p302_c11	7	d
p302_c11	8	i
p302_c11	9	a
p302_c11	10	l
p302_c11	11	m
p302_c11	12	e
p302_c11	13	n
p302_c11	14	t
p302_c11	15	e
p302_c11	17	a
p302_c11	19	v
p302_c11	20	u
p302_c11	21	e
p302_c11	22	s
p302_c11	23	t
p302_c11	24	r
p302_c11	25	a
p302_c11	27	m
p302_c11	28	a
p302_c11	29	g
p302_c11	30	e
p302_c11	31	s
p302_c11	32	t
p302_c11	33	a
p302_c11	34	d
p302_c12	0	e
p302_c12	1	n
p302_c12	3	e
p302_c12	4	l
p302_c12	6	d
p302_c12	7	i
p302_c12	8	a
p302_c12	10	d
p302_c12	11	e
p302_c12	13	s
p302_c12	14	u
p302_c12	17	s
p302_c12	18	a
p302_c12	19	n
p302_c12	20	t
p302_c12	21	o
p302_c12	24	r
p302_c12	25	e
p302_c12	26	i
p302_c12	27	t
p302_c12	28	e
p302_c12	29	r
p302_c12	30	a
p302_c12	31	n
p302_c12	32	d
p302_c12	33	o
p302_c12	35	q
p302_c12	36	u
p302_c12	37	e
p302_c12	39	e
p302_c12	40	l
p302_c13	0	e
p302_c13	1	n
p302_c13	3	q
p302_c13	4	u
p302_c13	5	e
p302_c13	7	p
p302_c13	8	u
p302_c13	9	e
p302_c13	10	d
p302_c13	11	a
p302_c13	13	h
p302_c13	14	a
p302_c13	15	c
p302_c13	16	e
p302_c13	17	r
p302_c13	18	l
p302_c13	19	o
p302_c13	21	e
p302_c13	22	n
p302_c13	24	e
p302_c13	25	s
p302_c13	26	t
p302_c13	27	e
p302_c13	29	p
p302_c13	30	a
p302_c13	31	i
p302_c13	32	s
p302_c13	34	y
p302_c13	36	s
p302_c13	37	e
p302_c13	38	n
p302_c14	0	t
p302_c14	1	a
p302_c14	2	d
p302_c14	3	a
p302_c14	5	v
p302_c14	6	u
p302_c14	7	e
p302_c14	8	s
p302_c14	9	t
p302_c14	10	r
p302_c14	11	a
p302_c14	13	m
p302_c14	14	a
p302_c14	15	g
p302_c14	16	e
p302_c14	17	s
p302_c14	18	t
p302_c14	19	a
p302_c14	20	d
p302_c14	22	e
p302_c14	23	n
p302_c14	25	e
p302_c14	26	l
p302_c14	28	t
p302_c14	29	r
p302_c14	30	o
p302_c14	31	n
p302_c14	32	o
p302_c14	34	d
p302_c14	35	e
p302_c15	0	s
p302_c15	1	a
p302_c15	2	n
p302_c15	4	f
p302_c15	5	e
p302_c15	6	r
p302_c15	7	n
p302_c15	8	a
p302_c15	9	n
p302_c15	10	d
p302_c15	11	o
p302_c15	13	s
p302_c15	14	e
p302_c15	15	r
p302_c15	16	a
p302_c15	18	e
p302_c15	19	l
p302_c15	21	m
p302_c15	22	a
p302_c15	23	s
p302_c15	25	f
p302_c15	26	e
p302_c15	27	l
p302_c15	28	i
p302_c15	29	z
p302_c15	31	d
p302_c15	32	e
p302_c16	0	m
p302_c16	1	i
p302_c16	3	v
p302_c16	4	i
p302_c16	5	d
p302_c16	6	a
p302_c17	0	m
p302_c17	1	e
p302_c17	3	p
p302_c17	4	e
p302_c17	5	r
p302_c17	6	m
p302_c17	7	i
p302_c17	8	t
p302_c17	9	o
p302_c17	11	i
p302_c17	12	n
p302_c17	13	d
p302_c17	14	i
p302_c17	15	c
p302_c17	16	a
p302_c17	17	r
p302_c17	19	r
p302_c17	20	e
p302_c17	21	s
p302_c17	22	p
p302_c17	23	e
p302_c17	24	t
p302_c17	25	u
p302_c17	26	o
p302_c17	27	s
p302_c17	28	a
p302_c17	29	m
p302_c17	30	e
p302_c17	31	n
p302_c17	32	t
p302_c17	33	e
p302_c17	35	a
p302_c18	0	v
p302_c18	1	u
p302_c18	2	e
p302_c18	3	s
p302_c18	4	t
p302_c18	5	r
p302_c18	6	a
p302_c18	8	m
p302_c18	9	a
p302_c18	10	g
p302_c18	11	e
p302_c18	12	s
p302_c18	13	t
p302_c18	14	a
p302_c18	15	d
p302_c18	17	q
p302_c18	18	u
p302_c18	19	e
p302_c18	21	g
p302_c18	22	a
p302_c18	23	n
p302_c18	24	a
p302_c18	26	p
p302_c18	27	o
p302_c18	28	r
p302_c18	30	m
p302_c18	31	o
p302_c18	32	m
p302_c18	33	e
p302_c18	34	n
p302_c18	35	t
p302_c18	36	o
p302_c18	37	s
p302_c19	0	l
p302_c19	1	a
p302_c19	3	i
p302_c19	4	d
p302_c19	5	e
p302_c19	6	a
p302_c19	8	d
p302_c19	9	e
p302_c19	11	l
p302_c19	12	a
p302_c19	14	j
p302_c19	15	u
p302_c19	16	s
p302_c19	17	t
p302_c19	18	i
p302_c19	19	s
p302_c19	20	i
p302_c19	21	m
p302_c19	22	a
p302_c19	24	r
p302_c19	25	e
p302_c19	26	s
p302_c19	27	t
p302_c19	28	a
p302_c19	29	u
p302_c19	30	r
p302_c19	31	a
p302_c19	32	c
p302_c19	33	i
p302_c19	34	o
p302_c19	35	n
p302_c20	0	y
p302_c20	2	q
p302_c20	3	u
p302_c20	4	e
p302_c20	6	n
p302_c20	7	a
p302_c20	8	d
p302_c20	9	i
p302_c20	10	e
p302_c20	12	m
p302_c20	13	e
p302_c20	15	a
p302_c20	16	v
p302_c20	17	e
p302_c20	18	n
p302_c20	19	t
p302_c20	20	a
p302_c20	21	j
p302_c20	22	a
p302_c20	24	e
p302_c20	25	n
p302_c20	27	d
p302_c20	28	e
p302_c20	29	s
p302_c20	30	e
p302_c20	31	o
p302_c20	32	s
p302_c20	34	d
p302_c20	35	e
p302_c21	0	s
p302_c21	1	e
p302_c21	2	r
p302_c21	4	u
p302_c21	5	n
p302_c21	6	o
p302_c21	8	d
p302_c21	9	e
p302_c21	11	l
p302_c21	12	o
p302_c21	13	s
p302_c21	15	p
p302_c21	16	r
p302_c21	17	i
p302_c21	18	m
p302_c21	19	e
p302_c21	20	r
p302_c21	21	o
p302_c21	22	s
p302_c21	24	q
p302_c21	25	u
p302_c21	26	e
p302_c21	28	s
p302_c21	29	e
p302_c21	31	j
p302_c21	32	u
p302_c21	33	e
p302_c21	34	g
p302_c21	35	u
p302_c21	36	e
p302_c21	37	n
p303_c22	0	s
p303_c22	1	u
p303_c22	3	v
p303_c22	4	i
p303_c22	5	d
p303_c22	6	a
p303_c22	8	p
p303_c22	9	o
p303_c22	10	r
p303_c22	12	l
p303_c22	13	l
p303_c22	14	e
p303_c22	15	v
p303_c22	16	a
p303_c22	17	r
p303_c22	18	l
p303_c22	19	a
p303_c22	21	a
p303_c22	23	f
p303_c22	24	e
p303_c22	25	l
p303_c22	26	i
p303_c22	27	z
p303_c22	29	t
p303_c22	30	e
p303_c22	31	r
p303_c22	32	m
p303_c22	33	i
p303_c22	34	n
