line	col	A	B	flagged	crop
mssDE68_p1_L01	3	1066	1006	B	
mssDE68_p1_L02	9	291	391		
mssDE68_p1_L02	12	89	-	A	
mssDE68_p2_L01	3	246	346		
mssDE68_p2_L01	8	291	391		
mssDE68_p2_L02	5	241	341	B	
mssDE68_p2_L02	7	291	391		
mssDE68_p2_L03	1	20	90		
mssDE68_p2_L05	9	125	1125		
mssDE68_p2_L05	11	20	90		
mssDE68_p2_L06	5	534	594		
mssDE68_p2_L09	4	241	941		
mssDE68_p2_L09	6	291	391		
mssDE68_p2_L09	10	991	-		
mssDE37_p1_L04	7	832	892		
mssDE37_p1_L06	5	991	931		
mssDE37_p1_L06	8	1103	1105	B	
mssDE37_p2_L01	2	241	941	B	
mssDE37_p2_L03	4	381	981		
mssDE37_p2_L04	8	339	939		
mssDE37_p2_L04	9	832	852		
mssDE37_p2_L07	9	1127	1157	B	
mssDE55_p1_L06	8	72	12		
mssDE55_p1_L08	8	446	444		
mssDE55_p1_L09	3	715	713	B	
mssDE55_p2_L01	5	40	440		
mssDE55_p2_L01	9	953	959		
mssDE55_p2_L03	10	326	336		
mssDE55_p2_L11	9	187	1187		
