line	signs_A	signs_B	agree	columns	share
mssDE68_p1_L01	12	12	11	12	0.917
mssDE68_p1_L02	12	11	10	12	0.833
mssDE68_p1_L03	10	10	10	10	1.000
mssDE68_p1_L04	11	11	11	11	1.000
mssDE68_p1_L05	11	11	11	11	1.000
mssDE68_p2_L01	10	10	8	10	0.800
mssDE68_p2_L02	11	11	9	11	0.818
mssDE68_p2_L03	10	10	9	10	0.900
mssDE68_p2_L04	11	11	11	11	1.000
mssDE68_p2_L05	11	11	9	11	0.818
mssDE68_p2_L06	9	9	8	9	0.889
mssDE68_p2_L07	3	3	3	3	1.000
mssDE68_p2_L08	11	11	11	11	1.000
mssDE68_p2_L09	11	10	8	11	0.727
mssDE68_p3_L01	10	10	10	10	1.000
mssDE68_p3_L02	10	10	10	10	1.000
mssDE68_p3_L03	10	10	10	10	1.000
mssDE68_p3_L04	4	4	4	4	1.000
mssDE37_p1_L01	9	9	9	9	1.000
mssDE37_p1_L02	10	10	10	10	1.000
mssDE37_p1_L03	10	10	10	10	1.000
mssDE37_p1_L04	10	10	9	10	0.900
mssDE37_p1_L05	10	10	10	10	1.000
mssDE37_p1_L06	9	9	7	9	0.778
mssDE37_p2_L01	10	10	9	10	0.900
mssDE37_p2_L02	10	10	10	10	1.000
mssDE37_p2_L03	9	9	8	9	0.889
mssDE37_p2_L04	10	10	8	10	0.800
mssDE37_p2_L05	9	9	9	9	1.000
mssDE37_p2_L06	10	10	10	10	1.000
mssDE37_p2_L07	10	10	9	10	0.900
mssDE37_p2_L08	3	3	3	3	1.000
mssDE55_p1_L01	2	2	2	2	1.000
mssDE55_p1_L02	10	10	10	10	1.000
mssDE55_p1_L03	9	9	9	9	1.000
mssDE55_p1_L04	10	10	10	10	1.000
mssDE55_p1_L05	10	10	10	10	1.000
mssDE55_p1_L06	9	9	8	9	0.889
mssDE55_p1_L07	10	10	10	10	1.000
mssDE55_p1_L08	9	9	8	9	0.889
mssDE55_p1_L09	10	10	9	10	0.900
mssDE55_p1_L10	9	9	9	9	1.000
mssDE55_p1_L11	9	9	9	9	1.000
mssDE55_p1_L12	10	10	10	10	1.000
mssDE55_p1_L13	10	10	10	10	1.000
mssDE55_p2_L01	10	10	8	10	0.800
mssDE55_p2_L02	10	10	10	10	1.000
mssDE55_p2_L03	10	10	9	10	0.900
mssDE55_p2_L04	10	10	10	10	1.000
mssDE55_p2_L05	11	11	11	11	1.000
mssDE55_p2_L06	10	10	10	10	1.000
mssDE55_p2_L07	10	10	10	10	1.000
mssDE55_p2_L08	11	11	11	11	1.000
mssDE55_p2_L09	9	9	9	9	1.000
mssDE55_p2_L10	10	10	10	10	1.000
mssDE55_p2_L11	9	9	8	9	0.889
