string	fixed_rule_output	a_fixed_name6	b_freeops_name6	b_freeops_name7	c_family_name7	d_family_name6	d_name6_labels
AEN+8K8M8^NAM	ARTHURLA	True	True	True	True	True	ANGELA;ARTHUR	# the real Z13
IJV+8V8Z8^FUH		False	False	False	True	False	
VEH+8U8X8^FEC	VJTURDUE	False	False	False	True	False	
RGX+8J8A8^NEV		False	False	False	True	True	DARREN;GERALD
TAI+8E8C8^ZZZ		False	False	False	True	False	
IOX+8N8E8^ZIL		False	False	False	True	False	
HPY+8R8S8^NVL	HOSTFVLV	False	False	False	True	False	
NUK+8U8D8^LTZ	NLOOWAST	False	False	False	True	False	
UIW+8O8R8^TXE		False	False	False	True	False	
OVX+8O8R8^FJG		False	False	False	True	False	
FQL+8I8L8^OIT		False	False	False	True	False	
IME+8S8P8^RHS		False	False	False	True	True	NELSON
HGW+8L8E8^CNU	HOJOKNHN	False	False	False	True	True	HORACE
UOM+8A8X8^NBH		False	False	False	True	False	
EPZ+8W8O8^UIF		False	False	False	True	False	
XNX+8I8Y8^ZLG	XGNSEIFL	False	False	False	True	False	
WUL+8Q8W8^VEW		False	False	False	True	False	
THX+8P8G8^TBS		False	False	False	True	False	
WSB+8L8S8^XSK		False	False	False	True	False	
FJG+8F8Z8^VRD	FULYTFJR	False	False	False	True	True	ARNOLD;MARVIN
HFC+8N8U8^TRZ		False	False	False	True	False	
RWB+8O8K8^UCQ		False	False	False	True	False	
AEJ+8D8N8^JIS	ARTIESPI	False	False	False	True	False	
TWC+8P8Q8^LBA		False	False	False	True	True	STELLA
KKE+8P8R8^RQP		False	False	False	True	False	
HVG+8J8Z8^BMQ	HONYTFKM	False	False	False	True	False	
WFX+8E8I8^NVG		False	False	False	True	False	
INS+8H8L8^YHS		False	False	False	True	True	EILEEN
JNG+8U8L8^NBK	JPNYTFLB	False	False	False	True	False	
MOC+8C8Y8^BTA	MZADRUKT	False	False	False	True	False	
UYJ+8G8O8^PRM		False	False	False	True	True	HATTIE
KBJ+8Q8N8^EEB		False	False	False	True	False	
DLF+8G8J8^JTM	DYXTYGPT	False	False	False	True	False	
JBL+8E8D8^LPO	JPMPQPSP	False	False	False	True	False	
SSN+8B8L8^RJE		False	False	False	True	True	HATTIE
ZBK+8F8R8^XEA	ZFMOWAGE	False	False	False	True	True	CARTER
HVE+8C8P8^LCL	HONIJMSC	False	False	False	True	False	
IZG+8B8W8^HVH		False	False	False	True	True	MARVIN
QZY+8O8G8^SMT		False	False	False	True	False	
BRB+8D8T8^ERY		False	False	False	True	True	EDWARD
ZLR+8M8J8^ERJ		False	False	False	True	True	OLIVER
ICL+8B8A8^FXA		False	False	False	True	False	
DQW+8I8C8^KZU	DYEOKNAZ	False	False	False	True	False	
NFT+8V8W8^WJY		False	False	False	True	True	ANDREW;NATHAN
BDD+8J8M8^MPM	BKGRUHZP	False	False	False	True	False	
IEZ+8E8O8^JAQ		False	False	False	True	True	GEORGE;WALLACE
ARI+8I8K8^HHL	ARYESXOH	False	False	False	True	True	ALICIA;TRAVIS
NFY+8Z8P8^NIE	NLHTFVLI	False	False	False	False	False	
OSR+8O8G8^YMW		False	False	False	True	False	
PGA+8S8B8^PQF		False	False	False	True	False	
