line	pos	token	conf	note
r01	1	[PLAIN:Baron]	h	
r01	2	[PLAIN:de]	h	
r01	3	[PLAIN:Mercy]	h	
r01	4	[PLAIN:mi]	h	
r01	5	[PLAIN:Sumiller]	h	
r01	6	[PLAIN:de]	h	
r01	7	[PLAIN:Cortina]	h	
r01	8	[PLAIN:deseo]	h	
r01	9	[PLAIN:tener]	h	
r01	10	[PLAIN:Resolucion]	h	
r01	11	[PLAIN:de]	h	
r01	12	[PLAIN:la]	h	
r01	13	[PLAIN:nego-]	h	line-end hyphen, completes on r02
r02	1	[PLAIN:ciacion]	h	
r02	2	[PLAIN:que]	h	
r02	3	[PLAIN:fuisteis]	h	
r02	4	[PLAIN:por]	h	
r02	5	[PLAIN:lo]	h	
r02	6	[PLAIN:que]	h	
r02	7	[PLAIN:conviene]	h	
r02	8	[PLAIN:saver]	h	
r02	9	[PLAIN:lo]	h	
r02	10	[PLAIN:que]	h	
r02	11	[PLAIN:se]	h	
r02	12	[PLAIN:puede]	h	
r02	13	[PLAIN:esperar]	h	
r02	14	[PLAIN:della]	h	
r02	15	[PLAIN:Respeto]	h	
r02	16	[PLAIN:de]	h	
r02	17	[PLAIN:las]	h	
r02	18	[PLAIN:1648.]	h	marginal note at right margin, underlined, not part of the running sentence
r03	1	[PLAIN:operaciones]	h	
r03	2	[PLAIN:que]	h	
r03	3	[PLAIN:se]	h	
r03	4	[PLAIN:deven]	h	
r03	5	[PLAIN:saver:]	h	
r03	6	[PLAIN:24]	m	plain (non-code) numeral, item/section marker, followed by a dash
r04	1	34	h	
r04	2	28	h	dot before this token in the source (separator, not part of value)
r04	3	10	h	dot-separated from 28 in source
r04	4	32	h	
r04	5	16	h	
r04	6	29	h	
r04	7	6	h	dot-separated from 29 in source
r04	8	19	h	
r04	9	18	h	
r04	10	6	h	dot-separated from 18 in source
r04	11	7	m	could be the digit 7 (matches its shape elsewhere) or a distinct flourish/mark; see NOTES.md
r04	12	34	h	dot-separated from the mark/7 in source
r04	13	6	h	
r04	14	34	h	
r04	15	5	h	dot-separated from 34 in source
r04	16	30	h	
r04	17	17	m	pass B read this as 47 instead of 17
r04	18	6	h	dot-separated from 17 in source
r04	19	19	h	
r04	20	32	h	
r04	21	14	h	
r04	22	34	h	
r04	23	30	h	
r05	1	3	m	"dot-separated from 17 in source; could be a single value ""3"" or the dot could bind differently"
r05	2	17	h	
r05	3	22	h	
r05	4	32	h	
r05	5	10	h	
r05	6	[PLAIN:y]	h	
r05	7	[PLAIN:asi]	h	
r05	8	[PLAIN:Holgare]	m	"could be ""Rogare""; opening letterform ambiguous"
r05	9	[PLAIN:me]	h	
r05	10	[PLAIN:digais]	h	
r05	11	[PLAIN:lo]	h	
r05	12	[PLAIN:que]	h	
r05	13	[PLAIN:en]	h	
r05	14	[PLAIN:esta]	h	
r05	15	[PLAIN:razon]	h	
r05	16	[PLAIN:saueis]	m	"u/v equivalence period spelling; could render ""saveis"""
r05	17	[PLAIN:entendido.]	h	
r06	1	16	h	
r06	2	18	h	
r06	3	28	h	
r06	4	17	h	
r06	5	16	h	
r06	6	8	h	dot-separated from following 9 in source
r06	7	9	h	
r06	8	27	h	
r06	9	18	h	
r06	10	6	h	dot-separated from 18 in source
r06	11	34	h	
r06	12	16	h	period after this token in source (sentence-internal, dropped)
r06	13	18	h	
r06	14	19	h	
r06	15	24	h	
r06	16	18	h	
r06	17	8	h	"dot-separated cluster ""18.8.5"""
r06	18	5	h	
r06	19	19	h	
r06	20	27	h	
r06	21	6	h	
r06	22	19	h	
r07	1	13	h	
r07	2	16	h	
r07	3	19	h	
r07	4	28	h	
r07	5	[MARK:box]	m	distinct boxed symbol (not the single-stroke 7-flourish used elsewhere); corroborated by pass B
r07	6	[PLAIN:y]	m	"read as digit 9 in first pass; pass B independently read this as the word ""y"" before ""porque""; adopted"
r07	7	[PLAIN:porque]	h	
r07	8	[PLAIN:qualquiera]	h	
r07	9	[PLAIN:ora]	h	
r07	10	[PLAIN:de]	h	
r07	11	[PLAIN:tardanca]	m	"reads ""tardança"" or ""tardanla""; cedilla/flourish under the c uncertain"
r07	12	[PLAIN:en]	h	
r07	13	[PLAIN:la]	h	
r07	14	[PLAIN:coyuntura]	h	
r07	15	[PLAIN:presente]	h	
r08	1	[PLAIN:es]	h	
r08	2	[PLAIN:de]	h	
r08	3	[PLAIN:summo]	h	
r08	4	[PLAIN:per]	m	"could be ""por"""
r08	5	[PLAIN:juicio]	h	
r08	6	[PLAIN:procuraveis]	h	
r08	7	[PLAIN:sacar]	h	
r08	8	[PLAIN:Respuesta]	h	
r08	9	[PLAIN:Cathegorica]	h	
r08	10	[PLAIN:en]	h	
r08	11	[PLAIN:la]	h	
r08	12	[PLAIN:materia.]	h	
r08	13	13	h	code resumes at line end
r09	1	4	h	
r09	2	8	h	
r09	3	19	h	
r09	4	33	h	
r09	5	28	h	
r09	6	[MARK:box]	m	same distinct boxed symbol as r07 pos5; corroborated by pass B
r09	7	25	h	
r09	8	18	h	
r09	9	32	h	
r09	10	22	h	
r09	11	10	h	
r09	12	14	h	
r09	13	2	h	
r09	14	32	h	
r09	15	8	h	
r09	16	23	h	
r09	17	6	h	
r09	18	3	h	
r09	19	10	h	
r09	20	5	h	
r09	21	10	m	"could be ""1o"" (ordinal) rather than a code; low confidence"
r09	22	4	h	
r09	23	8	h	
r10	1	18	h	
r10	2	32	h	
r10	3	2	h	
r10	4	6	h	
r10	5	31	h	
r10	6	32	h	
r10	7	20	h	
r10	8	25	h	
r10	9	30	h	
r10	10	19	h	
r10	11	16	h	
r10	12	18	h	
r10	13	2	h	
r10	14	8	h	
r10	15	28	h	
r10	16	34	h	
r10	17	13	h	
r10	18	6	h	dot-separated from 19 in source
r10	19	19	h	
r11	1	3	h	
r11	2	10	h	
r11	3	30	h	
r11	4	2	h	dot-separated from 6 in source
r11	5	6	h	
r11	6	[PLAIN:Con]	h	
r11	7	[PLAIN:fundamento]	h	
r11	8	[PLAIN:lo]	h	
r11	9	[PLAIN:que]	h	
r11	10	[PLAIN:nos]	h	
r11	11	[PLAIN:podemos]	h	
r11	12	[PLAIN:prometer]	h	
r11	13	[PLAIN:y]	h	
r11	14	[PLAIN:Caso]	h	
r11	15	[PLAIN:de]	h	
r11	16	[PLAIN:no]	h	
r11	17	[PLAIN:estar]	h	
r12	1	[PLAIN:en]	h	
r12	2	[PLAIN:estado]	h	
r12	3	[PLAIN:y]	h	
r12	4	[PLAIN:que]	h	
r12	5	[PLAIN:es]	h	
r12	6	[PLAIN:necesario]	h	
r12	7	[PLAIN:esperar]	h	
r12	8	[PLAIN:algun]	h	
r12	9	[PLAIN:tiempo]	h	
r12	10	[PLAIN:para]	h	
r12	11	[PLAIN:poder]	h	
r12	12	[PLAIN:dezir]	h	
r12	13	[PLAIN:determinada]	h	
r13	1	[PLAIN:mente]	h	
r13	2	[PLAIN:el]	m	"could be a flourished abbreviation, not plain ""el"""
r13	3	[PLAIN:que]	h	
r13	4	[PLAIN:tiene]	h	
r13	5	[PLAIN:esta]	h	
r13	6	[PLAIN:negociacion]	h	
r13	7	[PLAIN:y]	h	
r13	8	[PLAIN:lo]	h	
r13	9	[PLAIN:que]	h	
r13	10	[PLAIN:se]	h	
r13	11	[PLAIN:puede]	h	
r13	12	[PLAIN:confiar]	h	
r13	13	[PLAIN:della.]	h	
r13	14	3	h	
r13	15	17	h	
r13	16	6	h	
r14	1	10	h	
r14	2	5	h	
r14	3	19	h	dot after this token in source (sentence-internal, dropped)
r14	4	21	h	
r14	5	6	h	
r14	6	34	h	dot-separated from 19 in source
r14	7	19	h	
r14	8	28	h	
r14	9	33	h	
r14	10	27	h	
r14	11	19	h	
r14	12	6	h	
r14	13	10	h	
r14	14	8	h	
r14	15	18	h	
r14	16	5	h	
