line	col	A	B	flagged	crop
BLA179_p6_L01	1	737	-	A	
BLA179_p6_L01	2	278	-		
BLA179_p6_L01	3	947	-		
BLA179_p6_L01	4	826	-		
BLA179_p6_L01	5	272	-	A	
BLA179_p6_L01	6	68	-		
BLA179_p6_L02	1	210	-		
BLA179_p6_L02	2	18	-		
BLA179_p6_L02	3	766	-		
BLA179_p6_L02	4	101	-		
BLA179_p6_L02	5	816	-		
BLA179_p6_L02	6	383	-		
BLA179_p6_L02	7	888	-		
BLA179_p6_L02	8	1042	-		
BLA179_p6_L02	9	278	-		
BLA179_p6_L02	10	660	-		
BLA179_p6_L02	11	1007	-	A	
BLA179_p6_L03	1	1016	-		
BLA179_p6_L03	2	926	-		
BLA179_p6_L03	3	661	-		
BLA179_p6_L03	4	1006	-		
BLA179_p6_L03	5	659	-	A	
BLA179_p6_L03	6	26	-		
BLA179_p6_L03	7	1099	-		
BLA179_p6_L03	8	1039	-		
BLA179_p6_L03	9	926	-		
BLA179_p6_L03	10	661	-		
BLA179_p6_L03	11	1213	-		
BLA179_p6_L04	1	278	-		
BLA179_p6_L04	2	691	-	A	
BLA179_p6_L04	3	941	-	A	
BLA179_p6_L04	4	1013	-	A	
BLA184_p1_L01	1	1150	-		
BLA184_p1_L01	2	1259	-		
BLA184_p1_L02	1	1240	-		
BLA184_p1_L02	2	1243	-		
BLA184_p1_L03	1	1243	-		
BLA184_p1_L03	2	1240	-		
BLA184_p1_L04	1	1250	-		
BLA185_p5_L01	1	580	-		
BLA185_p5_L01	2	754	-		
BLA185_p5_L01	3	26	-		
BLA185_p5_L01	4	841	-		
BLA185_p5_L01	5	1137	-		
BLA185_p5_L01	6	941	-		
BLA185_p5_L01	7	100	-		
BLA185_p5_L01	8	1041	-		
BLA185_p5_L01	9	275	-		
BLA185_p5_L01	10	737	-		
BLA185_p5_L02	1	647	-		
BLA185_p5_L02	2	756	-		
BLA185_p5_L02	3	937	-		
BLA185_p5_L02	4	661	-		
BLA185_p5_L02	5	1129	-		
BLA185_p5_L02	6	271	-		
BLA185_p5_L02	7	67	-		
BLA185_p5_L02	8	136	-		
BLA185_p5_L02	9	282	-		
BLA185_p5_L02	10	111	-		
BLA185_p5_L03	1	1013	-		
BLA185_p5_L03	2	756	-		
