line	signs_A	signs_B	agree	columns	share
BLA179_p6_L01	6	0	0	6	0.000
BLA179_p6_L02	11	0	0	11	0.000
BLA179_p6_L03	11	0	0	11	0.000
BLA179_p6_L04	4	0	0	4	0.000
BLA184_p1_L01	2	0	0	2	0.000
BLA184_p1_L02	2	0	0	2	0.000
BLA184_p1_L03	2	0	0	2	0.000
BLA184_p1_L04	1	0	0	1	0.000
BLA185_p5_L01	10	0	0	10	0.000
BLA185_p5_L02	10	0	0	10	0.000
BLA185_p5_L03	9	0	0	9	0.000
BLA185_p5_L04	7	0	0	7	0.000
BLA185_p5_L05	5	0	0	5	0.000
BLA185_p5_L06	10	0	0	10	0.000
BLA185_p5_L07	10	0	0	10	0.000
BLA185_p5_L08	10	0	0	10	0.000
BLA185_p5_L09	9	0	0	9	0.000
BLA185_p5_L10	9	0	0	9	0.000
BLA185_p5_L11	9	0	0	9	0.000
BLA185_p5_L12	7	0	0	7	0.000
BLA186_p1_L01	11	11	10	11	0.909
BLA186_p3_L01	13	13	13	13	1.000
BLA187_p3_L01	8	8	8	8	1.000
BLA187_p3_L02	8	8	6	8	0.750
BLA187_p3_L03	8	8	6	8	0.750
BLA187_p3_L04	8	8	8	8	1.000
BLA187_p3_L05	8	8	7	8	0.875
BLA187_p3_L06	9	9	9	9	1.000
BLA187_p3_L07	8	8	6	8	0.750
BLA187_p3_L08	8	8	8	8	1.000
BLA187_p3_L09	8	8	8	8	1.000
BLA187_p3_L10	8	8	6	8	0.750
BLA187_p3_L11	3	3	3	3	1.000
BLA188_p2_L01	2	2	1	2	0.500
BLA188_p2_L02	2	2	2	2	1.000
BLA188_p2_L03	2	2	2	2	1.000
BLA188_p2_L04	2	2	2	2	1.000
BLA188_p2_L05	2	2	2	2	1.000
BLA188_p2_L06	2	2	2	2	1.000
BLA188_p2_L07	2	2	1	2	0.500
BLA188_p2_L08	2	2	2	2	1.000
BLA188_p2_L09	2	2	1	2	0.500
BLA188_p2_L10	2	2	1	2	0.500
BLA188_p2_L11	2	2	1	2	0.500
BLA188_p2_L12	2	2	2	2	1.000
BLA188_p2_L13	2	2	1	2	0.500
BLA188_p2_L14	2	2	2	2	1.000
BLA188_p2_L15	2	2	2	2	1.000
BLA188_p2_L16	2	2	1	2	0.500
BLA188_p2_L17	2	2	1	2	0.500
BLA188_p2_L18	2	2	2	2	1.000
BLA188_p3_L01	8	8	5	8	0.625
BLA188_p3_L02	8	8	7	8	0.875
BLA188_p3_L03	9	9	9	9	1.000
BLA188_p3_L04	9	9	8	9	0.889
BLA188_p3_L05	9	9	9	9	1.000
BLA188_p3_L06	9	9	9	9	1.000
BLA188_p3_L07	10	10	8	10	0.800
BLA188_p3_L08	10	10	10	10	1.000
BLA188_p3_L09	1	9	0	9	0.000
BLA188_p3_L10	8	9	2	9	0.222
BLA188_p3_L11	9	9	0	9	0.000
BLA188_p3_L12	9	9	0	9	0.000
BLA188_p3_L13	9	10	0	10	0.000
BLA188_p3_L14	9	10	0	10	0.000
BLA188_p3_L15	10	9	1	10	0.100
BLA188_p3_L16	9	10	0	10	0.000
BLA188_p3_L17	10	9	0	10	0.000
BLA188_p3_L18	9	9	0	9	0.000
BLA188_p3_L19	9	0	0	9	0.000
BLA190_p7_L01	11	11	11	11	1.000
BLA190_p7_L02	11	11	11	11	1.000
BLA190_p7_L03	10	10	10	10	1.000
BLA190_p7_L04	12	12	11	12	0.917
BLA190_p7_L05	12	12	11	12	0.917
BLA190_p7_L06	12	12	12	12	1.000
BLA190_p7_L07	10	10	10	10	1.000
BLA190_p7_L08	11	11	11	11	1.000
BLA190_p7_L09	11	11	11	11	1.000
BLA190_p7_L10	11	11	10	11	0.909
BLA190_p7_L11	10	10	9	10	0.900
BLA190_p7_L12	11	11	11	11	1.000
BLA190_p7_L13	10	10	9	10	0.900
BLA190_p7_L14	5	5	5	5	1.000
BLA188_p4_L01	9	0	0	9	0.000
BLA188_p4_L02	9	0	0	9	0.000
BLA188_p4_L03	8	0	0	8	0.000
BLA188_p4_L04	9	0	0	9	0.000
BLA188_p4_L05	9	0	0	9	0.000
