# KEY-DESIGN-CAL.tsv -- tools/design_prior.py --calibrate, leave-folder-out, duplicates of the true key dropped, 200 shuffled draws per pair. DESIGN CLASS (operative): true class in the top two for 25 of 29 rankable pairs (chance 14.7 of 29); shuffled-input false-positive rate 0.070 (mean share of draws called plausible for any class); true class wrongly excluded in 2 of 29. FINE FAMILY (advisory, fails the top-two bar): 15 of 29 (chance 9.7); fp 0.086; wrongly excluded 7. Frequency statistics do not separate homophonic, nomenclator and syllabary tables from each other.
tier	key_path	ciphertext_path	n_tokens	true_class	class_rank	class_verdict	class_ranking	true_family	family_rank	family_ranking	note
verified	ciphers/fr2980-gramont/key.tsv	ciphers/fr2980-gramont/ciphertext.txt	568	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.25; letter-for-letter=1.00; code=1.20; mixed (partial table)=1.24	homophonic	2	syllabary=0.28; homophonic=0.34; nomenclator=0.44; alphabet substitution=1.00; code numbers=1.20; mixed=1.24	
verified	ciphers/fr2980-gramont/key_extension_f30.tsv	ciphers/fr2980-gramont/ciphertext_f30.tsv	1969	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.24; letter-for-letter=0.64; mixed (partial table)=1.04; code=2.06	homophonic	2	nomenclator=0.25; homophonic=0.36; syllabary=0.37; alphabet substitution=0.64; mixed=1.04; code numbers=2.06	
verified	ciphers/fr20140-danzay-1557/key.tsv	ciphers/fr20140-danzay-1557/ciphertext.txt	638	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.21; letter-for-letter=0.92; mixed (partial table)=1.12; code=1.25	homophonic	2	syllabary=0.24; homophonic=0.28; nomenclator=0.40; alphabet substitution=0.92; mixed=1.12; code numbers=1.25	
verified	ciphers/fr20140-danzay-1557/key.tsv	ciphers/fr20140-danzay-1557/ciphertext_f36.tsv	67	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.14; mixed (partial table)=0.48; code=0.52; letter-for-letter=0.87	homophonic	1	homophonic=0.15; syllabary=0.24; nomenclator=0.27; mixed=0.48; code numbers=0.52; alphabet substitution=0.87	
verified	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4610.tsv	1545	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.19; letter-for-letter=1.81; code=1.93; mixed (partial table)=2.30	homophonic	2	nomenclator=0.19; homophonic=0.83; syllabary=1.00; alphabet substitution=1.81; code numbers=1.93; mixed=2.30	
verified	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4611.tsv	1393	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.27; code=1.82; letter-for-letter=1.85; mixed (partial table)=2.43	homophonic	2	nomenclator=0.27; homophonic=1.01; syllabary=1.09; code numbers=1.82; alphabet substitution=1.85; mixed=2.43	
verified	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4612.tsv	813	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.47; code=1.51; letter-for-letter=1.55; mixed (partial table)=2.11	homophonic	3	nomenclator=0.47; syllabary=0.72; homophonic=0.82; code numbers=1.51; alphabet substitution=1.55; mixed=2.11	
verified	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4616.tsv	261	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.30; letter-for-letter=1.05; code=1.17; mixed (partial table)=1.39	homophonic	1	homophonic=0.38; nomenclator=0.40; syllabary=0.54; alphabet substitution=1.05; code numbers=1.17; mixed=1.39	
verified	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_5797.tsv	73	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.24; mixed (partial table)=1.57; code=1.58; letter-for-letter=1.64	homophonic	3	syllabary=0.24; nomenclator=0.92; homophonic=1.18; mixed=1.57; code numbers=1.58; alphabet substitution=1.64	
verified	ciphers/august-van-saksen-1561-64/key_53.tsv	ciphers/august-van-saksen-1561-64/ciphertext_53.tsv	364	letter-for-letter	1	plausible	letter-for-letter=0.15; multi-sign (homophonic/nomenclator/syllabary)=0.44; mixed (partial table)=0.57; code=1.74	alphabet substitution	1	alphabet substitution=0.15; mixed=0.57; nomenclator=0.59; homophonic=0.75; syllabary=0.81; code numbers=1.74	
verified	ciphers/august-van-saksen-1561-64/key_74.tsv	ciphers/august-van-saksen-1561-64/ciphertext_57.tsv	300	multi-sign (homophonic/nomenclator/syllabary)	2	not above null	letter-for-letter=0.32; multi-sign (homophonic/nomenclator/syllabary)=0.53; mixed (partial table)=0.72; code=1.36	nomenclator	3	alphabet substitution=0.32; syllabary=0.67; nomenclator=0.70; mixed=0.72; homophonic=0.76; code numbers=1.36	
verified	ciphers/august-van-saksen-1561-64/key_98.tsv	ciphers/august-van-saksen-1561-64/ciphertext_126.tsv	240	multi-sign (homophonic/nomenclator/syllabary)	2	excluded	letter-for-letter=0.10; multi-sign (homophonic/nomenclator/syllabary)=0.44; mixed (partial table)=0.70; code=1.32	nomenclator	3	alphabet substitution=0.10; homophonic=0.63; nomenclator=0.63; syllabary=0.68; mixed=0.70; code numbers=1.32	
verified	ciphers/jan-van-nassau-1572-75/key_1572.tsv	ciphers/jan-van-nassau-1572-75/ciphertext_5551.tsv	32	letter-for-letter	4	not above null	multi-sign (homophonic/nomenclator/syllabary)=1.92; mixed (partial table)=3.41; code=3.57; letter-for-letter=3.67	alphabet substitution	6	syllabary=2.16; nomenclator=2.49; homophonic=2.87; mixed=3.41; code numbers=3.57; alphabet substitution=3.67	
verified	ciphers/espagnol142-mercy-1648/key.tsv	ciphers/espagnol142-mercy-1648/ciphertext.tsv	522	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.22; letter-for-letter=0.42; mixed (partial table)=0.83; code=1.39	homophonic	3	nomenclator=0.29; syllabary=0.33; homophonic=0.37; alphabet substitution=0.42; mixed=0.83; code numbers=1.39	
verified	ciphers/antt-linhares-chave/key.tsv	ciphers/antt-linhares-chave/ciphertext.tsv	26	code				code numbers			short: 26 tokens < 30, no statistics
verified	ciphers/vanbeuningen-dewitt-1657/key.tsv	ciphers/vanbeuningen-dewitt-1657/ciphertext.tsv	862	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=1.32; code=1.61; letter-for-letter=2.23; mixed (partial table)=3.36	nomenclator	3	homophonic=1.32; code numbers=1.61; nomenclator=1.79; syllabary=2.08; alphabet substitution=2.23; mixed=3.36	
verified	ciphers/huntington-blathwayt-madrid-1728/key.tsv	ciphers/huntington-blathwayt-madrid-1728/ciphertext_targets.tsv	172	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.46; letter-for-letter=1.64; code=1.96; mixed (partial table)=2.09	syllabary	3	homophonic=0.67; nomenclator=0.74; syllabary=1.06; alphabet substitution=1.64; code numbers=1.96; mixed=2.09	
verified	ciphers/oxenstierna-gustav-adolf-1632/key.tsv	ciphers/oxenstierna-gustav-adolf-1632/ciphertext_key.tsv	771	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.53; code=0.68; letter-for-letter=1.36; mixed (partial table)=1.63	homophonic	4	nomenclator=0.53; code numbers=0.68; syllabary=0.70; homophonic=0.81; alphabet substitution=1.36; mixed=1.63	
