key_path	office	correspondents	years	language	archive	shelfmark	folios_used	notes_source
ciphers/antt-linhares-chave/key.tsv	Condes de Linhares household/secretariat (maço 86, likely Rodrigo de Sousa Coutinho's Rio de Janeiro secretariat, inferred not confirmed)	Joao Paulo Bezerra de Seixas; 1st/2nd conde and 1a condessa de Linhares; D. Mariana de Sousa Coutinho; Principal de Sousa	1796-1817 (maco 86 span); worked example implies c.1811-12	Portuguese (dictionary/nomenclator cipher)	Arquivo Nacional da Torre do Tombo (ANTT)	PT/TT/CLNH/0086/11	m0002 (2 of 6 images)	ciphers/antt-linhares-chave/NOTES.md
ciphers/antt-linhares-chave/key_example.tsv	same as above (worked example only, not a key table)	same as above	same	Portuguese	ANTT	PT/TT/CLNH/0086/11	m0002	ciphers/antt-linhares-chave/NOTES.md
ciphers/august-van-saksen-1561-64/key.tsv	Ernestine Saxon court (August, Elector of Saxony) <-> William of Orange	August van Saksen (Sachsen); Willem van Oranje	1561-1564	German/Dutch	Saechsisches Hauptstaatsarchiv Dresden, Geheimer Rat (Geheimes Archiv)	Locat 9941/3 (ff.53, 57)	ff.53, 57 (+f.74, f.98 variants)	ciphers/august-van-saksen-1561-64/NOTES.md
ciphers/august-van-saksen-1561-64/key_53.tsv	same office (f.53 reconstruction)	same	1561-1564	German/Dutch	Saechsisches HStA Dresden, Geheimer Rat	Locat 9941/3 f.53	f.53	ciphers/august-van-saksen-1561-64/NOTES.md
ciphers/august-van-saksen-1561-64/key_74.tsv	same office (f.74 reconstruction)	same	1561-1564	German/Dutch	Saechsisches HStA Dresden, Geheimer Rat	Locat 9941/3 f.74	f.74	ciphers/august-van-saksen-1561-64/NOTES.md
ciphers/august-van-saksen-1561-64/key_98.tsv	same office (f.98 reconstruction)	same	1561-1564	German/Dutch	Saechsisches HStA Dresden, Geheimer Rat	Locat 9941/3 f.98	f.98	ciphers/august-van-saksen-1561-64/NOTES.md
ciphers/bowes-walsingham-1583/key.tsv	Elizabethan resident ambassador to Scotland reporting to the Principal Secretary	Robert Bowes; Sir Francis Walsingham	1580-1583	English	British Library, Cotton MSS	Cotton Caligula C VII, Caligula B VIII	various (7 Apr and 31 Jul 1583 + short 1580-83 passages)	ciphers/bowes-walsingham-1583/NOTES.md
ciphers/clair1067-brienne-poland-1646/key_1646.tsv	French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere)	Henri-Auguste de Lomenie, comte de Brienne; Queen of Poland (Marie Louise Gonzaga)	1646	French	Bibliotheque nationale de France	Clairambault 1067	19 May 1646 letter	ciphers/clair1067-brienne-poland-1646/NOTES.md
ciphers/clair1067-brienne-poland-1646/key_brienne_1647.tsv	same office, Brienne's own cipher one year later	Brienne (pere/fils)	1647	French	BnF	Clairambault 1067 (cipher reused; see also fr5160)	n/a	ciphers/clair1067-brienne-poland-1646/NOTES.md
ciphers/clair1067-brienne-poland-1646/key_brienne_1651.tsv	same office, Brienne's own cipher, later	Brienne (pere/fils)	1651	French	BnF	Clairambault 1067 (cipher reused; see also fr5160)	n/a	ciphers/clair1067-brienne-poland-1646/NOTES.md
ciphers/clair1108-duvergier/key_1696.tsv	Saint-Cyran/Jansenist-adjacent correspondence, collected in Clairambault's genealogical series	"Du Vergier" (identified in NOTES.md discussion with Jean du Vergier de Hauranne, abbe de Saint-Cyran, 1581-1643, but this key's own letter A is dated 1696, after his death -- office/identity of the 1696 correspondent not fully resolved)	Letter A: 26 Mar 1696; Letter B: fol.261v-262r, undated in extract	French	BnF	Clairambault 1108	Letter A, Letter B (fol.261v-262r)	ciphers/clair1108-duvergier/NOTES.md
ciphers/decode-2754-bnf-baluze156-1636/key_sabran_1631.tsv	Abel Servien's Italian mission (envoye to Savoie/Italy) secretariat	[Melchior de Sabran?]; "Mr de ch. g^r"; Abel Servien (Baluze 155-156 series)	1631 (key), letter itself 9 Feb 1636	French	BnF, fonds Baluze	Baluze 156, f.157-158 (key from Baluze 155/156 series, 1629-1637 span)	f.157-158	ciphers/decode-2754-bnf-baluze156-1636/NOTES.md
ciphers/decode-2754-bnf-baluze156-1636/key_sabran_1631_letters.tsv	same office	same	1631-1636	French	BnF, fonds Baluze	Baluze 155-156	various	ciphers/decode-2754-bnf-baluze156-1636/NOTES.md
ciphers/dupuy452-carpi-1520/key.tsv	French embassy to Rome (Francois Ier's diplomatic correspondence re Carpi affair)	Nicolas Raince, secretaire de l'ambassade de France a Rome; correspondent(s) of 22/25/31 Oct 1525 letters; earlier Carpi-period letters 1520-1525	1520-1528 (fonds span); named letters 22 and 25 Oct 1525	French	BnF	Dupuy 452	f.28 and neighbouring ff. (9 "en chiffres" letters per QUEUE, 2-3 per finding aid)	ciphers/dupuy452-carpi-1520/NOTES.md
ciphers/dupuy468-anhalt/key.tsv	Anhalt-Zerbst princely chancery <-> French crown	Ernest and Joachim of Anhalt-Zerbst; Francis I of France	dated in-text 24 Jan (year read as 1520 in one gloss; folder name says Anhalt, undated precisely -- see notes_source)	Latin	BnF	Dupuy 468	main letter	ciphers/dupuy468-anhalt/NOTES.md
ciphers/dupuy468-anhalt/key_from_gloss.tsv	same office (key rebuilt from a contemporary marginal gloss/translation)	same, cf. BnF fr.3897 f.146 translation	same	Latin	BnF	Dupuy 468 (cf. fr.3897 f.146)	main letter	ciphers/dupuy468-anhalt/NOTES.md
ciphers/fr20140-danzay-1557/key.tsv	French resident ambassador to Denmark	Charles de Danzay; Henri II / Cardinal of Lorraine	January 1557	French	BnF (Gallica ark btv1b52521512h, alt. btv1b10782904z)	fr.20140	Jan 1557 letter	ciphers/fr20140-danzay-1557/NOTES.md
ciphers/fr2751-dediou-mayenne/key_mayenne_1592-93_polyphonic.tsv	Catholic League military/political correspondence (duc de Mayenne's office)	Sieur de Diou (Commander de Diou); duc de Mayenne	1592-93	French	BnF	fr.2751 (cf. fr.3984 f.7, fr.3995 no.55 f.98)	f.98 area (per Tomokiyo's genealogy-of-ciphers volume fr.3995)	ciphers/fr2751-dediou-mayenne/NOTES.md
ciphers/fr2751-dediou-mayenne/key_mayenne_1593_homophonic.tsv	same office, homophonic variant, one year later	Mayenne to Commander de Diou	13 May 1593	French	BnF	fr.3984 f.7 (key), fr.2751 (target)	f.7	ciphers/fr2751-dediou-mayenne/NOTES.md
ciphers/fr2980-gramont/key.tsv	Francois Ier's diplomatic corps (Rome/Italian embassy)	Gabriel de Gramont, bishop of Tarbes (cardinal from 8 Jun 1530)	c.1526-1530 (undated leaves, bracketed by his episcopate and cardinalate)	French	BnF	fr.2980, ff.29-30	ff.29-30	ciphers/fr2980-gramont/NOTES.md
ciphers/fr2980-gramont/key_extension_f30.tsv	same office, f.30 extension	same	same	French	BnF	fr.2980, f.30	f.30	ciphers/fr2980-gramont/NOTES.md
ciphers/fr3985-nevers-revol-1593/key.tsv	Duke of Nevers' Rome embassy (seeking Henri IV's papal absolution)	Louis de Gonzague, duc de Nevers; Louis Revol	Aug-Sep 1593 (letters); key itself Tomokiyo cipher no.60 rebuilt from fr.3995 ff.109-111	French	BnF	fr.3985 (key source fr.3995 ff.109-111)	21 Aug, 2 Sept 1593 letters	ciphers/fr3985-nevers-revol-1593/NOTES.md
ciphers/fr3986-nevers-revol-1593/key.tsv	same office (Nevers Rome embassy), same cipher no.60	Nevers; Revol	23 Oct 1593	French	BnF	fr.3986 f.198 (key source fr.3995 ff.109-111)	f.198	ciphers/fr3986-nevers-revol-1593/NOTES.md
ciphers/fr3987-nevers-revol-1593/key.tsv	same office (Nevers Rome embassy), same cipher no.60	Nevers; Revol	10 Nov 1593	French	BnF	fr.3987 f.66 (key source fr.3995 ff.109-111)	f.66	ciphers/fr3987-nevers-revol-1593/NOTES.md
ciphers/fr5160-letellier-1653/key_1659.tsv	French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere et fils)	Lomenie de Brienne (pere et fils); Abel Servien (Turin/Savoy embassy 1659)	1653-1661 (volume span); key dated 1659	French	BnF	fr.5160	various	ciphers/fr5160-letellier-1653/NOTES.md
ciphers/fr5160-letellier-1653/key_brienne_1647.tsv	same office, Brienne's own cipher (shared with clair1067)	Brienne	1647	French	BnF	fr.5160 (cipher shared with Clairambault 1067)	n/a	ciphers/fr5160-letellier-1653/NOTES.md
ciphers/fr5160-letellier-1653/key_brienne_1651.tsv	same office, Brienne's own cipher (shared with clair1067)	Brienne	1651	French	BnF	fr.5160 (cipher shared with Clairambault 1067)	n/a	ciphers/fr5160-letellier-1653/NOTES.md
ciphers/fr5761-election-1519/key.tsv	Francois Ier's 1519 imperial-election embassy	unnamed embassy secretary/agent (1519 election of Charles V)	1519	French	BnF	fr.5761, no.3	no.3	ciphers/fr5761-election-1519/NOTES.md
ciphers/gunther-van-schwarzburg-1561/key.tsv	William of Orange's chancery <-> Schwarzburg count	Willem van Oranje; Gunther van Schwarzburg	2 May 1561	German/Dutch	Staatsarchiv Sondershausen (letter sent from Brussels)	matches archive stamp on the imaged letter	2 May 1561 letter	ciphers/gunther-van-schwarzburg-1561/NOTES.md
ciphers/huntington-blathwayt-madrid-1728/key.tsv	English diplomatic-intelligence network at Madrid/Port Ste Marie	unnamed English agents/correspondents (Blathwayt Papers Addenda)	1725-1729	English	Huntington Library	mssBLA 176-195	various	ciphers/huntington-blathwayt-madrid-1728/NOTES.md
ciphers/huntington-luzerne-destouches-1781/key.tsv	French crown's American-theatre naval/diplomatic correspondence (American War of Independence)	Anne-Cesar, chevalier de La Luzerne (French minister to the US); Charles Rene Dominique Sochet Destouches (French navy)	16 and 31 Jan 1781	French	Huntington Library	mssDE 68 / mssDE 108(A) (Destouches papers, mssDE 1-120, bulk 1780-1781)	16, 31 Jan 1781 letters	ciphers/huntington-luzerne-destouches-1781/NOTES.md
ciphers/huntington-luzerne-destouches-1781/key_tomokiyo.tsv	same office (Tomokiyo's independent key)	same	same	French	Huntington Library	mssDE 68 / mssDE 108(A)	same	ciphers/huntington-luzerne-destouches-1781/NOTES.md
ciphers/jan-van-nassau-1572-75/key_1572.tsv	Nassau-Orange chancery (Jan van Nassau <-> William of Orange)	Jan van Nassau; Willem van Oranje	1572-1575 (seven letters); this key 1572	Dutch/German	WVO project (resources.huygens.knaw.nl/wvo); original mss at Dutch/German archives per WVO record, not re-confirmed this pass	briefnr per WVO record	1572 letter(s)	ciphers/jan-van-nassau-1572-75/NOTES.md
ciphers/jan-van-nassau-1572-75/key_5549.tsv	same office, briefnr 5549	Jan van Nassau; Willem van Oranje	within 1572-1575 span	Dutch/German	WVO project	briefnr 5549	briefnr 5549 letter	ciphers/jan-van-nassau-1572-75/NOTES.md
ciphers/lodewijk-van-nassau-1573-74/key.tsv	Nassau-Orange chancery (Lodewijk van Nassau <-> William of Orange)	Lodewijk (Louis) van Nassau; Willem van Oranje	1573-1574 (four letters incl. siblings briefnr 4613, 4615, and two more 25 Mar/7 Apr)	Dutch/German	WVO project (resources.huygens.knaw.nl/wvo)	briefnr 4613, 4615 + two more, same shelfmark/run	various	ciphers/lodewijk-van-nassau-1573-74/NOTES.md
ciphers/orange-nassau-1572/key_nepveu.tsv	William of Orange's secretariat, "Nepveu" cipher	Willem van Oranje's circle (Nepveu, secretary); 1572	1572	French/Dutch	printed edition only this pass: Groen van Prinsterer, Archives ou correspondance inedite de la maison d'Orange-Nassau (IA archivesoucorre04housgoog); original ms archive not re-confirmed	n/a (from printed edition)	1572	ciphers/orange-nassau-1572/NOTES.md
ciphers/oxenstierna-gustav-adolf-1632/key.tsv	Swedish crown <-> Chancellor (Thirty Years' War field correspondence)	Gustav II Adolf; Axel Oxenstierna	23 July 1632 (Nurnberg)	German/Swedish	Riksarkivet (Swedish National Archives)	SE/RA/1112.1/B/176 (Riksregistraturet)	23 Jul 1632 letter	ciphers/oxenstierna-gustav-adolf-1632/NOTES.md
ciphers/rah-canada-1869/key.tsv	Spanish colonial/diplomatic correspondence (Conde de la Canada)	Conde de la Canada; recipient not established this pass	1869	Spanish	Real Academia de la Historia (RAH)	Sig. 9/6958	single item	ciphers/rah-canada-1869/NOTES.md
ciphers/sforza-maino-1446/key.tsv	Milanese ducal chancery (Sforza) <-> Venetian/allied correspondents	Francesco Sforza; Zorzo (Giorgio) del Maino; Vincenzo Amidani	4 May 1446	Italian	BnF (imaged also inside DECODE R7898/R7899)	italien 1583, f.68 and f.70	f.68, f.70	ciphers/sforza-maino-1446/NOTES.md
ciphers/thurloe-printed/key_blake.tsv	Cromwellian Secretary of State's intelligence network (John Thurloe's office) -- agent in The Hague	unnamed agent ("Agent in The Hague"), Robert Blake correspondence	1650s	English	printed: Birch 1742, A Collection of the State Papers of John Thurloe, vols 2/3/5/7	Thurloe vol.2/3	various passages	ciphers/thurloe-printed/NOTES.md
ciphers/thurloe-printed/key_butler.tsv	same office, Butler's own cipher (P3)	correspondent per Tomokiyo thurloe.htm	1650s	English	printed: Birch 1742	Thurloe vol.2	P3	ciphers/thurloe-printed/NOTES.md
ciphers/thurloe-printed/key_downing.tsv	same office, George Downing's own cipher	George Downing (1658-1660)	1658-1660	English	printed: Birch 1742	Thurloe vols 5/7	various	ciphers/thurloe-printed/NOTES.md
ciphers/thurloe-printed/key_fauconberg.tsv	same office, Lord Fauconberg's own cipher	Lord Fauconberg to Henry Cromwell	1658	English	printed: Birch 1742	Thurloe vol.7, P16-P24	P16-P24	ciphers/thurloe-printed/NOTES.md
ciphers/thurloe-printed/key_montagu.tsv	same office, Edward Montagu's own cipher	Edward Montagu (Mountagu)	1650s	English	printed: Birch 1742	Thurloe vol.5, P11-P15	P11-P15	ciphers/thurloe-printed/NOTES.md
ciphers/thurloe-printed/key_steele.tsv	same office, misnamed (actually P8's key, per handoff note)	correspondent per P8	1650s	English	printed: Birch 1742	Thurloe vol.3, P8	P8	ciphers/thurloe-printed/NOTES.md
