# KEY-DESIGN.tsv -- built by tools/key_design.py (do not edit by hand; rerun it). One row per key file key_crossmatch finds; usable=no rows give the reason. Family thresholds: see the tool docstring.
key_path	usable	reason	duplicate_of	office	correspondents	years	decade	language	design_family	n_codes	valued	distinct_letters	homophones_mean	homophones_max	nomenclator_words	nomenclator_names	short_values	syllable_grid	nulls_declared	empty_values	numeral_min	numeral_max	digit_lengths	sign_inventory	own_ciphertexts	ct_tokens	ct_distinct	ct_singleton_share	ct_top_share	ct_ioc
ciphers/antt-fcc-costacabral-1865/key.tsv	yes			(folder) antt-fcc-costacabral-1865		1865	1860s	pt	code numbers	54	54	1	1.00	1	53	0	51	no	0	0	11	2111	2:6,3:39,4:9	digits	ciphers/antt-fcc-costacabral-1865/ciphertext.tsv	84	56	0.679	0.095	0.0155
ciphers/antt-linhares-chave/key.tsv	yes			Condes de Linhares household/secretariat (maço 86, likely Rodrigo de Sousa Coutinho's Rio de Janeiro secretariat, inferred not confirmed)	Joao Paulo Bezerra de Seixas; 1st/2nd conde and 1a condessa de Linhares; D. Mariana de Sousa Coutinho; Principal de Sousa	1796-1817 (maco 86 span); worked example implies c.1811-12	1790s	pt	code numbers	26	25	2	2.00	3	21	0	9	no	1	0	260118	3350320	6:19,7:7	digits	ciphers/antt-linhares-chave/ciphertext.tsv	26	26	1.000	0.038	0.0000
ciphers/antt-linhares-chave/key_example.tsv	no	worked example (2 rows), not a key table		Condes de Linhares household/secretariat (maço 86, likely Rodrigo de Sousa Coutinho's Rio de Janeiro secretariat, inferred not confirmed)	Joao Paulo Bezerra de Seixas; 1st/2nd conde and 1a condessa de Linhares; D. Mariana de Sousa Coutinho; Principal de Sousa	1796-1817 (maco 86 span); worked example implies c.1811-12	1790s	pt																						
ciphers/antt-msliv0638-brochado-1712/align/key_mask_16.tsv	no	excluded by key_crossmatch name filter: align																												
ciphers/antt-msliv0638-brochado-1712/align/key_mask_9.tsv	no	excluded by key_crossmatch name filter: align																												
ciphers/antt-msliv0638-brochado-1712/align/key_mask_d.tsv	no	excluded by key_crossmatch name filter: align																												
ciphers/antt-msliv0638-brochado-1712/align/key_mask_f.tsv	no	excluded by key_crossmatch name filter: align																												
ciphers/antt-msliv0638-brochado-1712/align/key_mask_x.tsv	no	excluded by key_crossmatch name filter: align																												
ciphers/antt-msliv0638-brochado-1712/align/key_mask_z.tsv	no	excluded by key_crossmatch name filter: align																												
ciphers/antt-msliv0638-brochado-1712/key.tsv	yes			(folder) antt-msliv0638-brochado-1712		1712	1710s	pt	homophonic	40	40	19	2.11	4	0	0	0	no	0	0	2	58	1:7,2:20	mixed	ciphers/antt-msliv0638-brochado-1712/ciphertext_appendix.tsv	1702	55	0.182	0.085	0.0428
ciphers/august-van-saksen-1561-64/key.tsv	yes			Ernestine Saxon court (August, Elector of Saxony) <-> William of Orange	August van Saksen (Sachsen); Willem van Oranje	1561-1564	1560s	de	nomenclator	61	60	22	1.73	3	13	9	12	no	0	0	0	9	1:9	mixed						
ciphers/august-van-saksen-1561-64/key_53.tsv	yes			Ernestine Saxon court (August, Elector of Saxony) <-> William of Orange	August van Saksen (Sachsen); Willem van Oranje	1561-1564	1560s	de	alphabet substitution	20	20	19	1.05	2	0	0	0	no	0	0	0	8	1:8	mixed	ciphers/august-van-saksen-1561-64/ciphertext_53.tsv	364	21	0.000	0.165	0.0763
ciphers/august-van-saksen-1561-64/key_74.tsv	yes			Ernestine Saxon court (August, Elector of Saxony) <-> William of Orange	August van Saksen (Sachsen); Willem van Oranje	1561-1564	1560s	de	nomenclator	38	38	22	1.09	2	5	9	5	no	0	0	0	9	1:9	mixed	ciphers/august-van-saksen-1561-64/ciphertext_57.tsv	300	28	0.143	0.183	0.0761
ciphers/august-van-saksen-1561-64/key_98.tsv	yes			Ernestine Saxon court (August, Elector of Saxony) <-> William of Orange	August van Saksen (Sachsen); Willem van Oranje	1561-1564	1560s	de	nomenclator	33	32	22	1.09	2	8	0	7	no	0	0	0	9	1:7	mixed	ciphers/august-van-saksen-1561-64/ciphertext_126.tsv	240	27	0.111	0.167	0.0715
ciphers/august-van-saksen-1561-64/key_conflicts.tsv	no	excluded by key_crossmatch name filter: conflicts																												
ciphers/bowes-walsingham-1583/key.tsv	yes			Elizabethan resident ambassador to Scotland reporting to the Principal Secretary	Robert Bowes; Sir Francis Walsingham	1580-1583	1580s	en	alphabet substitution	25	19	16	1.19	2	0	0	0	no	0	6	2	28	2:25	digits	ciphers/bowes-walsingham-1583/ciphertext.txt	101	25	0.320	0.109	0.0541
ciphers/castelcicala-1816/key.tsv	yes			(folder) castelcicala-1816		1816	1810s	it	syllabary	166	162	8	1.75	3	136	12	96	yes	1	0	15	2460	2:5,3:19,4:141	digits						
ciphers/clair1067-brienne-poland-1646/key_1646.tsv	yes			French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere)	Henri-Auguste de Lomenie, comte de Brienne; Queen of Poland (Marie Louise Gonzaga)	1646	1640s	fr	syllabary	84	82	18	1.44	3	56	0	52	yes	0	0	5	103	1:2,2:44,3:2	mixed	ciphers/clair1067-brienne-poland-1646/ciphertext.txt	338	84	0.381	0.068	0.0249
ciphers/clair1067-brienne-poland-1646/key_brienne_1647.tsv	yes			French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere)	Brienne (pere/fils)	1647	1640s	fr	syllabary	102	102	15	1.40	2	81	0	80	yes	0	0	5	94	1:3,2:25	mixed						
ciphers/clair1067-brienne-poland-1646/key_brienne_1651.tsv	yes			French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere)	Brienne (pere/fils)	1651	1650s	fr	syllabary	115	115	21	1.57	2	82	0	80	yes	0	0	3	64	1:2,2:38	mixed						
ciphers/clair1108-duvergier/key_1696.tsv	yes			Saint-Cyran/Jansenist-adjacent correspondence, collected in Clairambault's genealogical series	"Du Vergier" (identified in NOTES.md discussion with Jean du Vergier de Hauranne, abbe de Saint-Cyran, 1581-1643, but this key's own letter A is dated 1696, after his death -- office/identity of the 1696 correspondent not fully resolved)	Letter A: 26 Mar 1696; Letter B: fol.261v-262r, undated in extract	1690s	fr	syllabary	129	126	20	1.85	4	86	3	70	yes	0	0	8	725	1:1,2:30,3:98	digits						
ciphers/clair349-este-guise-1556/key_alpha.tsv	yes			(folder) clair349-este-guise-1556		1556	1550s	fr	homophonic	59	36	20	1.80	3	0	0	0	no	10	0	3	106	1:4,2:23,3:3	mixed						
ciphers/clair349-este-guise-1556/key_decode.tsv	yes			(folder) clair349-este-guise-1556		1556	1550s	fr	nomenclator	111	97	22	1.68	3	47	13	21	no	10	0	3	106	1:4,2:24,3:3	mixed	ciphers/clair349-este-guise-1556/ciphertext.tsv	1020	81	0.296	0.080	0.0348
ciphers/clair349-este-guise-1556/key_nomen.tsv	yes			(folder) clair349-este-guise-1556		1556	1550s	fr	code numbers	56	53	0	0.00	0	39	14	12	no	0	0	22	99	2:2	mixed						
