target	jstor_row	query	host	hits	date
ciphers/fr2980-gramont	2	Gramont Villandry	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr2980-gramont	2	Gramont Villandry	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/fr2980-gramont	2	Gramont Villandry	api.crossref.org	noise only: Villandry (Oxford Art Online architecture entry, 2003); A. de Gramont de Lesparre mycology paper 1902; Carlos Vegh Gramont IMF working-paper series (surname collision, economist unrelated to Gabriel de Gramont) -- none about the target letter	2026-09-24
ciphers/fr2980-gramont	2	Gramont Villandry	www.persee.fr	noise only (top 8): DEFOUGERES de VILLANDRY Paul (biographical note); chateau de Villandry (Indre-et-Loire) architecture/archaeology articles x4; none mention Gabriel de Gramont or the 1530 letter	2026-09-24
ciphers/fr2980-gramont	2	Gramont Villandry	api.archives-ouvertes.fr	0 hits (numFound=0 for combined query; single-term 'Gramont' alone returns 469 unrelated hits, mostly the modern philosopher Jerome de Gramont)	2026-09-24
ciphers/fr2980-gramont	2	Gramont Villandry	Google Scholar (via WebSearch)	BnF catalogue description of fr.2980 paraphrased (items 21-22, cipher letters of 20 May 1530) -- matches AUDIT.md verbatim, not new. Also surfaced a 'double du deschiffrement' of a Gramont letter dated 28 March and one of 30 March -- these match the ALREADY-KNOWN Le Grand pp.454-457 Boulogne letters of 23/28 March 1530 that AUDIT.md's second audit already read page-by-page and ruled out as our target (different date, different recipient Montmorency not Villandry). No new source for the 20 May Rome letter to Villandry	2026-09-24
ciphers/fr2980-gramont	3	"""evêque de Tarbes"" AND 1530 AND chiffre"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr2980-gramont	3	"""evêque de Tarbes"" AND 1530 AND chiffre"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/fr2980-gramont	3	"""evêque de Tarbes"" AND 1530 AND chiffre"	api.crossref.org	Cedric Michon, 'Gabriel de Gramont (1486-1534)', in Les conseillers de Francois Ier (2011), https://doi.org/10.4000/books.pur.120012 -- ALREADY CITED in AUDIT.md section (b); no new hits otherwise (noise: unrelated 'lettre chiffree' business-management article, unrelated 17th-c Tarbes bishop Mallier du Houssay letters to Colbert)	2026-09-24
ciphers/fr2980-gramont	3	"""evêque de Tarbes"" AND 1530 AND chiffre"	www.persee.fr	noise only: 17th-c bishop of Tarbes (Mallier du Houssay) letters to Colbert 1663-64; Tarbes college history; unrelated 1788-1802 Bordeaux bishop -- none touch Gabriel de Gramont or 1530	2026-09-24
ciphers/fr2980-gramont	3	"""evêque de Tarbes"" AND 1530 AND chiffre"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/fr2980-gramont	3	"""evêque de Tarbes"" AND 1530 AND chiffre"	Google Scholar (via WebSearch)	Confirms (already known, not new) Gramont's other ciphered letters from Rome dated 27 Aug and 5 Oct 1529 and the 28 March Boulogne letter -- all pre-date or are separate from the 20 May 1530 target and are covered in AUDIT.md's Le Grand/Clairambault searches. No hit locating a print or decipherment of the 20 May letter itself	2026-09-24
ciphers/fr2980-gramont	4	"""fr. 2980"""	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr2980-gramont	4	"""fr. 2980"""	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/fr2980-gramont	4	"""fr. 2980"""	api.crossref.org	noise only: unrelated BnF fr. mss editions (fr.24406, fr.837, fr.1588 -- a different edition series, Philippe de Remi poems)	2026-09-24
ciphers/fr2980-gramont	4	"""fr. 2980"""	www.persee.fr	noise only: unrelated numismatic-society bulletins (bulmi_*) whose issue/page numbers happen to contain '2980'; Conde correspondence 1648-59 article -- no BnF fr.2980 manuscript hit	2026-09-24
ciphers/fr2980-gramont	4	"""fr. 2980"""	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/fr2980-gramont	4	"""fr. 2980"""	Google Scholar (via WebSearch)	Surfaced only BnF's own archivesetmanuscrits.bnf.fr notices and IIIF manifest pages for fr.2980/fr.2977/fr.3019/fr.3020, all already used as primary sources in NOTES.md/AUDIT.md; the summary paraphrases the same catalogue text already quoted verbatim in AUDIT.md section 2. No third-party scholarly citation of fr.2980 items 21-22 found	2026-09-24
ciphers/fr2980-gramont	5	"""Gabriel de Gramont"" AND (Rome OR Clement) AND 1530"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr2980-gramont	5	"""Gabriel de Gramont"" AND (Rome OR Clement) AND 1530"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/fr2980-gramont	5	"""Gabriel de Gramont"" AND (Rome OR Clement) AND 1530"	api.crossref.org	Michon 2011 'Gabriel de Gramont (1486-1534)' (already cited, see row 3); Judith Hook, The Sack of Rome ch.'Clement VII and Rome' (2004); Gouwens/Reiss, The Pontificate of Clement VII (2017), two chapters -- general context on Clement VII's Rome, no mention of Gramont's 20 May letter located (titles/abstracts only checked, not fetched)	2026-09-24
ciphers/fr2980-gramont	5	"""Gabriel de Gramont"" AND (Rome OR Clement) AND 1530"	www.persee.fr	One topically-adjacent hit checked and ruled out: J. Fraikin, 'La nonciature de France de la delivrance de Clement VII a sa mort' (MEFR 26, 1906), https://www.persee.fr/doc/mefr_0223-4874_1906_num_26_1_6936 -- fetched the page (200 OK); no full text embedded (Persee article pages carry metadata/abstract only, full text is a separate PDF not fetched this pass); by subject this is the PAPAL NUNCIO'S mission TO France, the opposite diplomatic direction from Gramont's French embassy TO Rome, so unlikely to cover this letter -- flagged as unread, not a confirmed hit. Other 7 results are noise (chateau de Bidache, doyens of Bordeaux chapter, unrelated 1849/1869-70 Roman-question articles)	2026-09-24
ciphers/fr2980-gramont	5	"""Gabriel de Gramont"" AND (Rome OR Clement) AND 1530"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/fr2980-gramont	5	"""Gabriel de Gramont"" AND (Rome OR Clement) AND 1530"	Google Scholar (via WebSearch)	Same as row 2/3 results, no new source	2026-09-24
ciphers/fr2980-gramont	6	Gramont's cipher	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr2980-gramont	6	Gramont's cipher	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/fr2980-gramont	6	Gramont's cipher	api.crossref.org	noise only: repeated 'Carlos Vegh Gramont' IMF working papers (surname collision, modern economist) and an 1902 mycology paper by 'A. de Gramont de Lesparre' -- no cipher/cryptology hit for Gabriel de Gramont	2026-09-24
ciphers/fr2980-gramont	6	Gramont's cipher	www.persee.fr	noise only (ambassade query variant): Gramont society tribute 1917, unrelated Spain-1660s and Roumiantsev-1668 embassy articles -- nothing on the 1530 cipher	2026-09-24
ciphers/fr2980-gramont	6	Gramont's cipher	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/fr2980-gramont	6	Gramont's cipher	Google Scholar (via WebSearch)	Found (already known per AUDIT.md's second audit of dbourdeau/cyphersolver head 5dcd5c3) that Bourdeau's gramont1529/ folder reads fr.3091 no.23 (11 Oct 1529, 171 lines) and fr.3071 no.7 (21 July 1530, read '~85%') using Lasry's 2023 key -- BOTH ARE DIFFERENT ITEMS from our fr.2980 f.29-30 target, confirming AUDIT.md's finding that fr.2980 itself is catalogued but not yet read in that repository. Not a new result; flagged only as a reminder that a future check-solved sweep should re-clone Bourdeau's repo in case fr.2980 itself gets solved there before ours is finished	2026-09-24
ciphers/fr2980-gramont	7	"Lasry AND (Gramont OR ""Francis I"") in Cryptologia 2022-2026"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr2980-gramont	7	"Lasry AND (Gramont OR ""Francis I"") in Cryptologia 2022-2026"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
