group	letters	years	shelfmarks_arks	estimated_signs	known_key	copy_free_share	read_by	source_files
oxenstierna gustav to axel oxenstierna	1	1632-1632	oxenstierna-gustav-adolf-1632	34177	key table p	1/1	Aymeloglu, Bourdeau, us	ciphers/oxenstierna-gustav-adolf-1632/NOTES.md
orange nassau	1	1572-1572	orange-nassau-1572	18132	keyword	0/1	Tomokiyo, us	ciphers/orange-nassau-1572/NOTES.md
bnf 4687 to louis gonzague	1	1562-1564	fr4687-paleologue-nevers	14253	keys and correspondence as ambassador/courtier (fr	1/1	Aymeloglu, Tomokiyo, us	ciphers/fr4687-paleologue-nevers/NOTES.md
dupuy452 carpi	1	1520-1520	dupuy452-carpi-1520	13236	key	1/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/dupuy452-carpi-1520/NOTES.md
eckert 1864	1	1864-1864	eckert-1864	8223	key-no2	1/1	Bourdeau, Tomokiyo, us	ciphers/eckert-1864/NOTES.md
ernest joachim to francis	1	1520-2026	dupuy468-anhalt	7829	key (21 letter signs, 5 word signs)	1/1	Aymeloglu, Bourdeau, us	ciphers/dupuy468-anhalt/NOTES.md
bnf 20140 to henri lorraine	1	1557-2014	fr20140-danzay-1557	7001	key read, 24 Sept 2026)	1/1	Tomokiyo, us	ciphers/fr20140-danzay-1557/NOTES.md
loménie brienne to poland	1	1646-1646	clair1067-brienne-poland-1646	6698	Key and reading are grade C (307 C, 31 M,	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/clair1067-brienne-poland-1646/NOTES.md
wellington to lieut frederick	1	1812-1812	wellington-maitland-1812	6133	key were already published by Patrick	0/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/wellington-maitland-1812/NOTES.md
eckert 1862	1	1862-1862	eckert-1862	5431	key)	0/1	Bourdeau, Tomokiyo, us	ciphers/eckert-1862/NOTES.md
sp53	2	1585-1585	sp53-16-78; sp53-16-79	3937	key with no; keys are published there; try them first)	0/2	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/sp53-16-78/NOTES.md; ciphers/sp53-16-79/NOTES.md
thomas randolph to thomas radcliffe	1	1570-1570	randolph-sussex-1569	3424	key record QUEUE names)	1/1	Bourdeau, Tomokiyo, us	ciphers/randolph-sussex-1569/NOTES.md
fr2980 gramont	1	1530-1530	fr2980-gramont	1532	key or gloss on the leaf itself:**	1/1	Bourdeau, Lasry, Tomokiyo, us	ciphers/fr2980-gramont/NOTES.md
sforza reply to zorzo	1	1446-1583	sforza-maino-1446	1496	keys from ASMi Sforzesco busta 1591 and 1597-1598, same busta numbers	1/1	Aymeloglu, Bourdeau, us	ciphers/sforza-maino-1446/NOTES.md
charles to hamilton	2	1650-1650	hamilton-1650; see page	1392 (partial: only 1/2 letters transcribed)	catalogued key; key is located in the archive and catalogued as open; nothing more can be	0/2	Aymeloglu, Bourdeau, Tomokiyo, us	CATALOG.md; ciphers/hamilton-1650/NOTES.md
admiral estaing to gérard	1	1779-1779	destaing-gerard-1779	1244	key material	0/1	Bourdeau, us	ciphers/destaing-gerard-1779/NOTES.md
robert bowes to walsingham	2	1580-1583	bowes-walsingham-1583; see page	1124 (partial: only 1/2 letters transcribed)	key set here)	1/2	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	CATALOG.md; ciphers/bowes-walsingham-1583/NOTES.md
berthier to napoleon	1	1812-1812	berthier-napoleon-1812	1040	none found	0/1	Bourdeau, us	ciphers/berthier-napoleon-1812/NOTES.md
