# XMATCH-CAL gate: max(z_ngram, z_valuefreq) vs 20 class-shuffled-value keys >= 3.292 for ciphertexts with >= 100 tokens and coverage >= 0.5. Admits 13 of 13 verified pairs in that stratum; shuffled-value null draws passing: 3 of 260 (rate 0.0115, null p99 3.498, margin -0.206). Admit-all gate (every verified pair, any length): >= -0.582, null pass 336 of 360 (rate 0.9333). Print-tier admitted 6 of 7. Token-order-shuffled own decodes passing 50 of 65 (see KEY-CROSSMATCH.md).
tier	why	key_path	ciphertext_path	lang	coverage	n_tokens	N_letters	score	z_ng	z_vf	stat	lang_pos	in_stratum	admitted	null_max	null_pass	order_pass
verified	N4 two audits (f.29r)	ciphers/fr2980-gramont/key.tsv	ciphers/fr2980-gramont/ciphertext.txt	fr	1.000	568	619	-1.342	13.574	4.362	13.574	0.535	True	True	2.971	0	4
verified	N4 two audits (f.30)	ciphers/fr2980-gramont/key_extension_f30.tsv	ciphers/fr2980-gramont/ciphertext_f30.tsv	fr	0.102	1969	200	-2.040	1.433	2.365	2.365	-0.214	False	False	2.412	0	0
verified	N3/N4 two audits	ciphers/fr20140-danzay-1557/key.tsv	ciphers/fr20140-danzay-1557/ciphertext.txt	fr	0.890	638	896	-1.198	4.592	2.044	4.592	0.678	True	True	3.286	0	1
verified	N3/N4 two audits	ciphers/fr20140-danzay-1557/key.tsv	ciphers/fr20140-danzay-1557/ciphertext_f36.tsv	fr	0.940	67	94	-1.453	2.529	0.411	2.529	0.352	False	False	1.848	0	0
verified	N3/N4 two audits	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4610.tsv	fr	0.819	1545	1350	-1.203	25.224	7.150	25.224	0.677	True	True	3.696	1	5
verified	N3/N4 two audits	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4611.tsv	fr	0.839	1393	1218	-1.340	14.936	7.081	14.936	0.544	True	True	2.355	0	5
verified	N3/N4 two audits	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4612.tsv	fr	0.961	813	802	-2.045	2.911	3.292	3.292	-0.171	True	True	3.498	1	5
verified	N3/N4 two audits	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_4616.tsv	fr	0.900	261	259	-1.347	8.370	5.668	8.370	0.521	True	True	2.786	0	5
verified	N4 two audits (5797)	ciphers/lodewijk-van-nassau-1573-74/key.tsv	ciphers/lodewijk-van-nassau-1573-74/ciphertext_5797.tsv	fr	0.589	73	58	-1.356	3.286	2.782	3.286	0.497	False	False	2.648	0	5
verified	N4 two audits	ciphers/august-van-saksen-1561-64/key_53.tsv	ciphers/august-van-saksen-1561-64/ciphertext_53.tsv	de	0.995	364	362	-1.342	6.855	3.150	6.855	0.255	True	True	1.603	0	3
