folder	status	blocker	cost_band	near_row	last_touched	next_step
antt-linhares-chave	partial	runnable	S	n	25 Sep	This group was already M, not H, so the brief's downgrade rule does not apply to it; recorded here for the record, not resolved further -- a third count of this specific column, independent of both L…
antt-msliv0638-brochado-1712	partial	runnable	M	n	26 Sep	Leaf images are on disk (`images/full_PT-TT-MSLIV-0638_m0289/90/91.jpg.jpg`); named here as the concrete next step, same as AX2-BRO4 left it, now with the added caveat that `x` and `f` may have the s…
armstrong-madison-1808	open	runnable	S	n	26 Sep	Item (d) of this brief (remaining pages of the still-page-1-only 2-/3-page items) was not attempted -- not in the priced-per-unit budget, left for a successor if the lane wants it.
arsenal-dallion-lanmary-1744	blocked	runnable	S	n		a Recueil des instructions volume for Sweden, was not run -- budget-limited, flagged as the next step for whoever returns to this row).
arsenal-ms6829-1708	blocked	runnable	S	n		
arsenal6314-hanau-1635	blocked	runnable	S	n		
arsenal6334-longueville-1650-59	blocked	runnable	S	n		
august-van-saksen-1561-64	partial	runnable	S	n	24 Sep	Follow-ups: Dresden inquiry f.268-269; Namèche 1884 wedding pages; von Weber, Archiv f.
baluze103-letellier-marca-1644	blocked	runnable	S	n	25 Sep	
belmesseri-napoli-1627	open	runnable	S	n		
berthier-napoleon-1812	open	runnable	S	n	25 Sep	This worker did not attempt to read Vilcoq's actual page images beyond the search-hit level (Persée serves them as page-image + OCR-overlay, not a plain text/PDF export found in the time available) -…
birago-nevers-1571	open	runnable	S	n	25 Sep	
bl-farnese-cipher	open	runnable	S	n		
bl-gualterio-1700	open	runnable	S	n	25 Sep	
bl-james-1669	open	runnable	M	n	25 Sep	If both come back negative, the ff.1-8 pairing (1669 letters plus their own partial name-key, in the same volume) is the cheapest solve in the volume per the QUEUE row's own assessment — a reading-ro…
bl-portugal-bombay-1661	open	runnable	S	n		
bl-sacchetti-nunzio-1623	open	runnable	S	n	25 Sep	
blitz-ciphers	open	runnable	S	n	26 Sep	**Next step** (not run, per brief -- do not run test 2): the spec's own test 2, fetching and blind-transcribing the six untranscribed pages, would raise N well past 581 and let the periodic scan and…
bne20211-ferdinand-1478	blocked	runnable	S	n		
borssele-heinsius-1714	open	runnable	M	n	25 Sep	**The very next step on this target, before any solver work, must be to view the actual leaf (H.A.
bowes-walsingham-1583	partial	runnable	S	n		Next step when a solver runs again: collate the numerical codes across both letters with the Letter-Book and calendar contexts (870 appears with Cobham twice, 189 is Montrose) and attempt identificat…
bullet-tuscany-1944	partial	runnable	S	n	25 Sep	
castelcicala-1816	partial	runnable	S	n	26 Sep	A control that would actually test coherence would need a language-model judge scoring the decoded *word sequence* in original order against the same sequence shuffled; not run here (no it16-era corp…
catokwacopa-1875	partial	runnable	S	n	25 Sep	**Community lists.** Klaus Schmeh's Cipherbrain (scienceblogs.de/klausis-krypto-kolumne) is the primary source and is where this item's whole public history lives: the original 2015 post asking reade…
censorship-manual-stego	open	runnable	M	n	25 Sep	## Next step (suggestion only, not run this pass)
clair1161-avis-flandre-1688	open	runnable	S	n		
clair571-estrades-1645	open	needs-image	S	n		The cheapest next step is a single BnF reproduction request (REQUEST.md, or a reading-room visit) naming both leaves together (Clair 574 p.4-5 and Clair 575 p.1209), since both are needed for the sam…
clairambault1225-paget-1714	partial	needs-image	S	n	25 Sep	**This is a REQUEST.md-class next step**: a future access worker or the person would need to identify the exact article number (from the physical inventory volumes, or from the AN's own online catalo…
clairambault296-paget-1713	open	runnable	S	n		A full sweep of all 316 canvases (or of whatever block turns out to hold the Pontchartrain 1713 diplomatic correspondence specifically, which the manifest title calls out as if a distinct component o…
clairambault528-bouillon-1713	blocked	needs-edition	S	n		edition) were not full-text searched -- budget-limited, flagged as the next step.
clerville-francia-1648	open	runnable	S	n		
colbert26-lathuillerie-1644	open	runnable	S	n	25 Sep	### Not done this job (successor's queue, cheapest/highest-value first)
