line	col	value	source
5	20	74	f30_dup_align_H
5	21	93	f30_dup_align_H
5	26	42	f30_dup_align_H
6	7	71	f30_dup_align_H
6	19	48	f30_dup_align_H
6	22	36	f30_dup_align_H
7	5	10	f30_dup_align_H
7	6	48	f30_dup_align_H
7	11	16	f30_dup_align_H
7	16	56	f30_dup_align_H
7	24	71	f30_dup_align_H
8	11	22	f30_dup_align_H
8	17	16	f30_dup_align_H
8	44	71	f30_dup_align_H
8	45	72	f30_dup_align_H
8	48	44	f30_dup_align_H
9	6	n	f30_dup_align_H
9	7	273	f30_dup_align_H
9	23	72	f30_dup_align_H
9	46	60	f30_dup_align_H
9	47	37	f30_dup_align_H
10	9	38	f30_dup_align_H
10	26	E	f30_dup_align_H
10	29	23	f30_dup_align_H
10	35	40	f30_dup_align_H
11	2	55	f30_dup_align_H
11	10	16	f30_dup_align_H
11	12	31	f30_dup_align_H
11	14	L	f30_dup_align_H
11	26	48	f30_dup_align_H
11	34	31	f30_dup_align_H
11	49	44	f30_dup_align_H
12	8	16	f30_dup_align_H
12	13	16	f30_dup_align_H
12	47	84	f30_dup_align_H
12	48	72	f30_dup_align_H
13	8	84	f30_dup_align_H
13	16	72	f30_dup_align_H
13	43	G	f30_dup_align_H
14	2	60	f30_dup_align_H
14	15	61	f30_dup_align_H
14	19	200	f30_dup_align_H
14	21	73	f30_dup_align_H
14	22	31	f30_dup_align_H
14	45	61	f30_dup_align_H
