line	sign
1	e
1	n'
1	i
1	f
1	v
1	n
1	d'
1	t'
1	ö
1	h
1	n'
1	f
1	d
1	ê
1	e
1	l
1	h
1	x
1	i
1	k
1	i
1	x
1	a
1	c
1	e
1	l
1	e
1	t
1	ê
1	d
1	e
1	l
1	u
1	w
1	x
1	s
2	u
2	x
2	e
2	d
2	g
2	a
2	n
2	u
2	n
2	t
2	l
2	n
2	e
2	n
2	ê
2	n'
2	l
2	f
2	x
2	s
2	f
2	d
2	f
2	x
2	u
2	u
2	s
2	t
2	x
2	d'
2	e
2	a
2	s
2	t
2	f
3	u
3	e
3	s
3	x
3	c
3	f
3	e
3	f
3	d
3	x
3	x
3	h
3	e
3	l
3	c
3	n
3	u
3	n
3	d
3	e
3	u
3	w
3	s
3	e
3	s
3	d
3	d
3	a
3	n
3	u
3	n
3	h
3	h
3	s
3	c
3	f
4	d'
4	e
4	n
4	a
4	c
4	s'
4	e
4	a
4	x
4	a
4	e
4	f
4	n
4	x
4	u
4	h
4	n
4	c
4	f
4	a
4	i
4	w
4	m'
4	a
4	m'
4	m
4	t
4	f
4	t
4	f
4	w
4	m
4	e
4	t'
4	t'
4	c
4	e
4	f
5	d
5	l
5	u
5	d
5	n
5	h
5	x
5	o
5	a
5	u
5	l
5	l
5	e
5	l
5	n
5	e
5	n
5	e
5	t'
5	s
5	e
5	e
5	m
5	n
5	h
5	m
5	w
5	i
5	e
5	e
5	i
5	i
5	e
5	i
5	a
5	e
5	l'
5	e
5	s
6	e
6	s
6	m
6	d
6	e
6	s
6	x
6	n
6	t
6	x
6	n
6	o
6	x
6	u
6	n
6	t
6	e
6	x
6	x
6	e
6	l
6	f
6	d
6	x
6	l
6	b
6	s
6	c
6	i
6	h
6	s
6	s
6	n
6	e
6	i
6	n'
6	n
6	w
6	h
6	t
6	o
6	u
6	k
7	s
7	a
7	n
7	s
7	e
7	i
7	g
7	h
7	c
7	i
7	n
7	m
7	ö
7	w
7	i
7	d
7	g
7	n
7	l
7	w
7	i
7	x
7	e
7	ö
7	x
7	b
7	n
7	s'
7	n
7	h
7	x
7	a
7	n'
7	ê
7	u
7	w
7	e
7	s
7	g
7	n
7	e
7	n'
7	n
8	e
8	i
8	s
8	ê
8	k
8	d
8	l
8	o
8	e
8	x'
8	n'
8	u
8	a
8	z
8	n'
8	e
8	l'
8	e
8	t'
8	f
8	f
8	s
8	n
8	c
8	l
8	n
8	e
8	e
8	e
8	x
8	a
8	d
8	n
8	w
8	u
8	e
9	ê
9	f
9	h
9	t'
9	i
9	e
9	s
9	n'
9	n'
9	f
9	w
9	x
9	d
9	i
9	h
9	s
9	z
9	ê
9	u
9	s
9	x
9	s
9	x
9	f'
9	u
9	a
9	f'
9	n
9	p
9	i
9	h
9	x
9	d
9	ö
9	d'
9	e
9	s
9	x
9	u
9	n
9	x
9	c
9	a
10	e
10	w
10	e
10	h
10	s
10	n
10	h
10	d
10	n
10	m
10	n
10	e
10	f
10	u
10	o
10	e
10	n
10	i
10	n'
10	f
10	i
10	f
10	t
10	t
10	k
10	t'
10	t'
10	s
10	e
10	t
10	w
10	x'
10	s
10	f
10	u
10	e
10	e
10	d
10	e
10	ê
11	u
11	e
11	e
11	x'
11	x
11	n
11	d
11	d
11	e
11	e
11	s
11	h
11	s
11	e
11	i
11	a
11	n'
11	e
11	x'
11	e
11	n
11	u
11	n
11	w
11	t
11	m
11	n
11	i
11	s
11	e
11	n'
11	t
11	m
11	i
11	a
11	b
11	d
11	h
11	h
11	n
11	c
11	s
12	x
12	l
12	n
12	f
12	n
12	e
12	e
12	z
12	t
12	x
12	a
12	n
12	d
12	e
12	h
12	e
12	h
12	x
12	t'
12	w
12	x
12	h
12	e
12	e
12	h
12	f
12	s
12	m
12	i
12	d'
12	a
12	u
12	e
12	i
12	n
12	l
12	g
13	f
13	t'
13	e
13	a
13	v
13	e
13	i
13	d
13	n
13	t'
13	o
13	a
13	i
13	u
13	e
13	g
13	n
13	n
13	z'
13	w
13	n
13	g
13	w
13	s
13	a
13	e
13	t
13	m
13	e
13	l
13	e
13	l
13	h
13	u
13	l
13	x
13	e
13	t
13	n'
13	h
14	d
14	i
14	e
14	n
14	i
14	n
14	e
14	l
14	c
14	t
14	e
14	w
14	e
14	a
14	s
14	h
14	l
14	e
14	n'
14	s
14	x
14	w
14	i
14	ê
14	ê
14	e
14	i
14	s
14	x'
14	e
14	e
14	o
14	m
14	n'
14	f
15	g
15	l
15	n
15	i
15	f
15	t
15	h
15	a
15	u
15	s
15	x
15	u
15	a
15	l
15	h
15	s
15	e
15	e
15	n
15	e
15	d'
15	i
15	x
15	t'
15	n'
15	l
15	t'
15	n
15	i
15	f
15	n'
15	t
15	n
15	s
15	m
15	w
15	a
15	l
15	l
15	s
15	s
15	n
15	d
15	s
15	z
16	d'
16	x
16	e
16	p
16	c
16	x'
16	l'
16	i
16	w
16	t
16	s
16	x
16	e
16	h
16	u
16	i
16	i
16	i
16	u
16	f
16	i
16	e
16	e
16	i
16	h
16	n
16	x
16	l
16	n'
16	e
16	c
16	n
16	n
16	h
16	i
16	u
16	e
16	n
16	ê
16	n
16	f
16	i
17	s
17	e
17	n
17	g
17	n
17	e
17	t'
17	s
17	n
17	x
17	h
17	g
17	ê
17	n
17	w
17	w
17	h
17	n'
17	e
17	i
17	n
17	ü
17	d
17	n
17	a
17	l
17	g
17	s
17	e
17	a
17	m
17	d
17	e
17	m
17	n
17	l
17	b
17	a
17	w
17	o
17	f'
17	u
18	i
18	m
18	u
18	d'
18	n
18	x'
18	n
18	u
18	a
18	h
18	t
18	s
18	ê
18	a
18	s'
18	g
18	n
18	n
18	b
18	z
18	e
18	x
18	e
18	e
18	n
18	n
18	f'
18	e
18	x
18	x
18	d
18	i
18	e
18	g
18	t
18	n
18	e
18	i
18	n
19	e
19	x
19	d
19	s
19	z'
19	i
19	i
19	s
19	x'
19	s
19	n'
19	n
19	n'
19	h
19	e
19	e
19	x
19	ê
19	t
19	i
19	ö
19	e
19	d
19	h
19	i
19	e
19	w
19	g
19	w
19	t'
19	m
19	k
19	n
19	t
19	d
19	m
19	z
19	e
20	i
20	e
20	i
20	x
20	f
20	n
20	ö
20	x'
20	e
20	s
20	e
20	e
20	o
20	n
20	f
20	e
20	x
20	i
20	s
20	e
20	n'
20	l
20	c
20	x'
20	t
20	h
20	x
20	h
20	u
20	l'
20	n
20	h
20	u
20	e
20	w
20	t
21	ö
21	f
21	e
21	n
