pos	sign
0	s61
1	s18
2	s3
3	s40
4	s45
5	s62
6	s7
7	s24
8	s56
9	s11
10	s23
11	s21
12	s7
13	s62
14	s30
15	s65
16	s56
17	s23
18	s5
19	s46
20	s77
21	s10
22	s16
23	s41
24	s8
25	s37
26	s49
27	s53
28	s68
29	s41
30	s8
31	s71
32	s73
33	s74
34	s54
35	s37
36	s8
37	s16
38	s55
39	s0
40	s17
41	s45
42	s33
43	s17
44	s45
45	s35
46	s28
47	s57
48	s49
49	s78
50	s12
51	s16
52	s69
53	s2
54	s46
55	s17
56	s2
57	s77
58	s24
59	s33
60	s11
61	s39
62	s7
63	s26
64	s5
65	s33
66	s19
67	s40
68	s42
69	s63
70	s56
71	s50
72	s71
73	s58
74	s46
75	s3
76	s1
77	s20
78	s55
79	s81
80	s74
81	s50
82	s15
83	s62
84	s0
85	s20
86	s32
87	s13
88	s39
89	s38
90	s48
91	s24
92	s51
93	s35
94	s30
95	s8
96	s62
97	s36
98	s13
99	s38
100	s40
101	s9
102	s26
103	s61
104	s50
105	s19
106	s55
107	s75
108	s4
109	s14
110	s31
111	s49
112	s65
113	s58
114	s0
115	s13
116	s76
117	s32
118	s30
119	s52
120	s47
121	s15
122	s38
123	s55
124	s69
125	s44
126	s52
127	s74
128	s23
129	s4
130	s34
131	s37
132	s10
133	s14
134	s35
135	s4
136	s25
137	s18
138	s66
139	s70
140	s69
141	s11
142	s19
143	s80
144	s66
145	s15
146	s20
147	s1
148	s19
149	s60
150	s68
151	s54
152	s54
153	s38
154	s5
155	s69
156	s47
157	s71
158	s70
159	s10
160	s64
161	s57
162	s53
163	s43
164	s61
165	s1
166	s16
167	s73
168	s33
169	s21
170	s39
171	s46
172	s12
173	s78
174	s42
175	s28
176	s75
177	s56
178	s6
179	s23
180	s66
181	s32
182	s77
183	s6
184	s22
185	s69
186	s8
187	s16
188	s29
189	s64
190	s59
191	s72
192	s43
193	s63
194	s59
195	s9
196	s75
197	s33
198	s32
199	s10
200	s24
201	s31
202	s45
203	s65
204	s56
205	s53
206	s34
207	s44
208	s3
209	s72
210	s73
211	s48
212	s71
213	s52
214	s43
215	s60
216	s0
217	s9
218	s24
219	s76
220	s6
221	s45
222	s60
223	s54
224	s9
225	s61
226	s23
227	s68
228	s29
229	s76
230	s12
231	s61
232	s17
233	s47
234	s41
235	s35
236	s18
237	s37
238	s79
239	s34
240	s18
241	s40
242	s11
243	s24
244	s20
245	s45
246	s69
247	s70
248	s11
249	s25
250	s62
251	s19
252	s35
253	s64
254	s80
255	s27
256	s50
257	s70
258	s36
259	s66
260	s71
261	s19
262	s38
263	s51
264	s19
265	s65
266	s80
267	s7
268	s18
269	s79
270	s44
271	s2
272	s5
273	s31
274	s40
275	s44
276	s10
277	s27
278	s4
279	s25
280	s67
281	s25
282	s52
283	s52
284	s70
285	s43
286	s54
287	s54
288	s34
289	s15
290	s27
291	s76
292	s36
293	s14
294	s40
295	s50
296	s71
297	s72
298	s10
299	s17
300	s28
301	s51
302	s65
303	s58
304	s5
305	s19
306	s61
307	s1
308	s29
309	s64
310	s59
311	s47
312	s74
313	s73
314	s9
315	s18
316	s38
317	s49
318	s31
319	s79
320	s11
321	s23
322	s37
323	s10
324	s15
325	s2
326	s60
327	s34
328	s16
329	s28
330	s12
331	s21
332	s27
333	s34
334	s5
335	s23
336	s59
337	s66
338	s73
339	s74
340	s5
341	s15
342	s31
343	s30
344	s9
345	s46
346	s52
347	s59
348	s8
349	s24
350	s68
351	s47
352	s33
353	s31
354	s75
355	s33
356	s16
357	s30
358	s10
359	s25
360	s17
361	s30
362	s65
363	s59
364	s24
365	s10
366	s43
367	s77
368	s0
369	s13
370	s34
371	s67
372	s16
373	s37
374	s7
375	s69
376	s77
377	s68
378	s54
379	s52
380	s9
381	s72
382	s42
383	s10
384	s25
385	s7
386	s23
387	s34
388	s13
389	s41
390	s37
391	s50
392	s55
393	s9
394	s19
395	s68
396	s59
397	s51
398	s77
399	s5
400	s13
401	s35
402	s9
403	s22
404	s29
405	s54
406	s48
407	s17
408	s40
409	s10
410	s13
411	s38
412	s50
413	s29
414	s4
415	s61
416	s79
417	s45
418	s23
419	s27
420	s66
421	s71
422	s50
423	s15
424	s61
425	s27
426	s48
427	s69
428	s27
429	s64
430	s56
431	s23
432	s8
433	s42
434	s77
435	s0
436	s20
437	s61
438	s5
439	s28
440	s65
441	s59
442	s43
443	s65
444	s56
445	s52
446	s74
447	s35
448	s25
449	s79
450	s48
451	s57
452	s21
453	s13
454	s46
455	s64
456	s58
457	s52
458	s49
459	s35
460	s29
461	s75
462	s34
463	s1
464	s22
465	s62
466	s9
467	s29
468	s75
469	s68
470	s39
471	s6
472	s23
473	s33
474	s19
475	s49
476	s63
477	s59
478	s52
479	s30
480	s51
481	s70
482	s80
483	s1
484	s46
485	s55
486	s29
487	s66
488	s14
489	s39
490	s12
491	s26
492	s20
493	s34
494	s67
495	s18
496	s79
497	s10
498	s61
499	s1
500	s20
501	s33
502	s43
503	s5
504	s71
505	s4
506	s29
507	s32
508	s0
509	s25
510	s22
511	s2
512	s45
513	s28
514	s11
515	s13
516	s30
517	s34
518	s17
519	s37
520	s70
521	s48
522	s14
523	s63
524	s58
525	s73
526	s48
527	s71
528	s55
529	s44
530	s60
531	s6
532	s25
533	s61
534	s4
535	s28
536	s64
537	s58
538	s9
539	s74
