a1t1l1	L GAM E G K R V Q
a1t1l2	Y P Z H N R L B D
a1t1l3	M GAM TRI N V D REVC
a1t1l4	N A P V J H M TRI
a1t1l5	L GAM N TRI REVC B K P
a1t2l1	N C L X B P D W
a1t2l2	R N REVC C H Z R P
a1t2l3	M D X R TRI P L N
a1t2l4	H GAM TRI L D N X W
a1t2l5	E N L V N D TRI P N
a2t1l1	J N L K B GAM P R
a2t1l2	V M G H W H REVC
a2t1l3	Q L S B N GAM TRI P
a2t1l4	M G REVC K H V R
a2t1l5	A L R N GAM S X V
a2t2l1	P GAM V B L P M R
a2t2l2	R A REVC G K T D
a2t2l3	B N D GAM J V R W
a2t2l4	L V B GAM P N I D
a2t2l5	C REVC T R A Q M
