code	value	grade	evidence	occurrences	other_values	note
8	0	C	2	2		
10	a	C	25	26	cerlarm:1	minor conflict
11	i	C	16	16		
12	b	C	4	4		
13	l	C	5	6	tr:1	minor conflict
14	c	C	7	8	ttehon:1	minor conflict
15	m	C	2	2		
16	d	C	8	8		
17	n	C	23	23		
18	e	C	16	16		
19	e	C	1	1		single attestation
20	f	C	1	1		single attestation
21	g	C	1	1		single attestation
24	p	C	10	10		
25	p	C	4	4		
28	r	C	17	20	on:1,u:1,raa:1	minor conflict
29	r	C	18	18		
30	s	C	39	39		
32	t	C	12	14	0:2	minor conflict
33	t	C	4	7	it:2,cee:1	conflict
34	u	C	13	14	chedece:1	minor conflict
35	u	C	13	13		
36	x	C	1	1		single attestation
37	x	C	1	1		single attestation
38	y	C	11	11		
42	k	C	3	3		
44	i	C	4	4		
46	l	C	3	3		
48	m	C	2	2		
50	n	C	13	14	0:1	minor conflict
52	o	C	3	3		
104	rme	C	2	2		
105	Angleterre	C	2	2		
107	ba	C	3	3		
110	bo	C	1	1		single attestation
112	ien	C	1	1		single attestation
113	bon	C	1	1		single attestation
116	ca	C	2	2		
117	ce	C	12	12		
118	cy	C	2	2		
119	co	C	5	6	o:1	minor conflict
120	cu	C	2	2		
122	ondance	C	1	1		single attestation
125	corres	C	1	1		single attestation
132	da	C	2	2		
133	de	C	21	28	des:5,p:1,nsort:1	minor conflict
134	di	C	2	2		
135	do	C	2	2		
136	du	C	4	4		
137	dans	C	4	4		
142	est	C	4	5	na:1	minor conflict
143	et	C	6	6		
145	e	C	1	1		single attestation
150	eux	C	3	3		
151	eu	C	1	1		single attestation
152	f	C	1	1		single attestation
154	fi	C	1	1		single attestation
155	fo	C	2	2		
161	faire	C	4	4		
165	g	C	1	1		single attestation
166	gi	C	1	1		single attestation
168	u	C	1	1		single attestation
175	ha	C	2	2		
176	he	C	3	4	nestete:1	minor conflict
183	holl	C	1	1		single attestation
185	a	C	1	1		single attestation
186	ie	C	4	4		
188	io	C	2	2		
191	il	C	5	5		
192	est	C	1	1		single attestation
195	la	C	11	12	les:1	minor conflict
196	le	C	10	10		
197	li	C	5	6	ly:1	minor conflict
198	lo	C	2	2		
199	le	C	1	1		single attestation
200	uy	C	2	2		
205	ma	C	2	2		
206	me	C	4	6	e:2	conflict
207	mi	C	1	1		single attestation
208	mo	C	4	4		
210	m	C	3	3		
211	ment	C	5	5		
221	me	C	2	2		
223	na	C	2	2		
224	ne	C	10	10		
225	nymes	C	1	3	leny:1,andeny:1	conflict
228	nt	C	2	2		
232	nouue	C	1	1		single attestation
235	ordre	C	1	1		single attestation
237	ou	C	4	4		
238	on	C	2	3	e:1	conflict
244	pa	C	5	5		
245	pe	C	5	5		
247	po	C	2	2		
249	plus	C	2	2		
250	pas	C	1	2	ue:1	conflict
251	pour	C	5	6	n:1	minor conflict
259	que	C	12	15	ke:3	minor conflict
260	qui	C	2	2		
266	ra	C	4	4		
267	re	C	15	15		
268	ri	C	2	2		
269	ro	C	5	5		
270	ru	C	1	1		single attestation
275	ro	C	3	3		
277	en	C	2	4	sa:1,la:1	conflict
278	se	C	6	6		
279	si	C	3	3		
280	so	C	4	4		
281	su	C	5	5		
282	sont	C	1	1		single attestation
285	sans	C	1	1		single attestation
288	sta	C	1	1		single attestation
289	te	C	10	10		
290	ti	C	5	6	c:1	minor conflict
291	to	C	5	5		
292	rl	C	1	1		single attestation
294	troup	C	1	1		single attestation
298	tres	C	1	1		single attestation
300	ua	C	3	4	uostre:1	minor conflict
301	ue	C	6	7	fe:1	minor conflict
302	ui	C	3	3		
303	uo	C	2	3	rro:1	conflict
601	0	C	1	1		single attestation
610	m	C	1	1		single attestation
700	angloi	C	1	1		single attestation
720	Roy d'Angleterre	C	1	1		single attestation
722	Milord Myddleton	C	3	3		
725	le&	C	1	1		single attestation
