leaf	line	pos	token	conf	note
f253L	L01	1	Milord	L	clear, own crop shows only clipped ascender tips (crop misaligned/too high); reading cross-checked against context row visible at top of L02 crop
f253L	L01	2	Myddleton	L	clear, name, same caveat as pos1
f253L	L01	3	et	L	clear, same caveat
f253L	L01	4	Jay	L	clear, "j'ay" written run-on as "Jay", same caveat
f253L	L01	5	eu	L	clear, same caveat
f253L	L01	6	vne	L	clear, ambiguous ending (une), same caveat
f253L	L02	1	l'ay	L	clear, initial letter ambiguous j/l, could be "j'ay"
f253L	L02	2	veu	M	clear
f253L	L02	3	ce	H	clear
f253L	L02	4	matin	H	clear
f253L	L02	5	722	H	cipher
f253L	L02	6	148	M	cipher, digit ambiguous 143/148
f253L	L02	7	185	M	cipher
f253L	L02	8	38	H	cipher
f253L	L02	9	151	M	cipher
f253L	L02	10	34	H	cipher
f253L	L02	11	224	H	cipher
f253L	L03	1	longue	M	clear, first letter cut/ambiguous at left edge of crop
f253L	L03	2	conference	H	clear, old spelling "confevence"-looking but reads conference
f253L	L03	3	auec	H	clear, old spelling of avec
f253L	L03	4	luy.	H	clear, with period
f253L	L04	1	198	H	cipher
f253L	L04	2	17	H	cipher
f253L	L04	3	168	H	cipher
f253L	L04	4	18	H	cipher
f253L	L04	5	119	H	cipher
f253L	L04	6	50	H	cipher
f253L	L04	7	301	H	cipher
f253L	L04	8	28	H	cipher
f253L	L04	9	277	H	cipher
f253L	L04	10	290	H	cipher
f253L	L04	11	238	H	cipher
f253L	L04	12	10	H	cipher
f253L	L04	13	301	H	cipher
f253L	L04	14	14	H	cipher
f253L	L04	15	200.	H	cipher, with trailing period
f253L	L05	1	presque	H	clear, main/target row (middle of 3 visible rows; rows above/below appear clipped context)
f253L	L05	2	impraticable	H	clear
f253L	L05	3	sur	H	clear
f253L	L05	4	la	H	clear
f253L	L05	5	Coste	H	clear, old spelling of coste/cote
f253L	L05	6	de	H	clear
f253L	L05	7	Kent	M	clear, place name, could be "Rent"
f253L	L06	1	Prince	M	clear, short target line (middle row); rows above/below show unrelated long cipher content, this may be a caption/gloss naming a referent
