# Reconciled physical rows, settled on the native page images (images/folio250_canvas253.jpg, images/folio262_canvas265.jpg) with passA/passB as the digit check.
# leaf	row	layer	text	conf	note
# layer: main = the letter's own line (clear words and numeral groups, one hand, one ink); gloss = interlinear decipherment written ABOVE that row's groups, smaller cursive second hand, ended by a trailing flourish.
# In 'text', a token ending in ? is conf M; =N forces a numeral to clear (dates); alternatives as 192|142 (first is preferred). Clear words are kept as written.
f253L	R00	main	[B]oulogne ce 26e mars =1696	M	faint dateline top left, partly lost; year from docket f.248v
f253L	R01	gloss	Milord Myddleton et Jay eu une	H	
f253L	R01	main	i'ay veu ce matin 722 143? 185 38 151 34 224	H	143: last digit overwritten (passA 148?)
f253L	R02	gloss	longue conference avec luy.	H	
f253L	R02	main	198 17 168 18 119 50 301 28 277 290 238 10 301 14 200.	H	
f253L	R03	gloss	plus empressé que de coustume	H	
f253L	R03	main	il m'a paru beaucoup 249 18 15 24 267 30 278 259	H	
f253L	R04	gloss	pour l'entreprise	H	
f253L	R04	main	133 119 35 292 206 251 13 145? 25 268 278. il m'a	H	145|146
f253L	R05	main	dit seulement qu'il croyoit, et ie trouve que c'est avec	H	
f253L	R06	gloss	l'affaire est a present	H	
f253L	R06	main	assez de raison, que 195 20 161 142 10 24 267 277?	H	last group blotted at page edge
f253L	R07	gloss	presque impraticable sur la Coste de Kent	H	
f253L	R07	main	50 32 25 267 30 259 11 48 24 266 290 116 12 196. 281 29	H	281 29 carry no gloss
f253L	R08	gloss	forces que le	H	written above 155 29 117 30 only; 195..32 before 'a cause des' carry no gloss
f253L	R08	main	195 119 30 289 133 42 18 50 32. a cause des 155 29 117 30	H	
f253L	R09	gloss	Prince d'Orange	H	
f253L	R09	main	259 725 a mises de ce costé la. et qu'il seroit a	H	725 = one group (7xx names)
f253L	R10	gloss	?enter le desbarquement dans les	M	first letter unclear (t|j): 'tenter'
f253L	R10	main	present necessaire de 289 17 289 28 196 133 107 28 259	H	
f253L	R11	gloss	Province d'York ou sont presque tous	H	
f253L	R11	main	211 137 195, 25 269 302 17 117 16 38 52 29 42 237 282	H	
f253L	R12	gloss	les haras d'Angleterre	H	
f253L	R12	main	24 267 30 259 291 35 30 196 30 175 266 30 16 105 et ou	H	
f253L	R13	gloss	on trouveroit les chevaux necessaires	H	
f253L	R13	main	par consequent 238 32 269 34 301 275 33 196 30 14 176	H	
f253L	R14	gloss	pour l'armée ou bien dans une des	H	
f253L	R14	main	300 35 37 224 117 30 277 44 267 30 251 46 104 18 237 112	H	
f253L	R15	gloss	Provinces de l'Ouest	H	
f253L	R15	main	137 34 224 133 30 24 269 302 17 117 30 133 13 237 192?.	H	192|142 last group
f253L	R16	gloss	y en a abondance ensorte que	H	
f253L	R16	main	parceque le pays 38 142 10 113 132 50 33 133 259 13 104	H	
