leaf	line	words	conf	note
f253L	R01	Milord Myddleton et Jay eu une	H	
f253L	R02	longue conference avec luy.	H	
f253L	R03	plus empressé que de coustume	H	
f253L	R04	pour l'entreprise	H	
f253L	R06	l'affaire est a present	H	
f253L	R07	presque impraticable sur la Coste de Kent	H	
f253L	R08	forces que le	H	written above 155 29 117 30 only; 195..32 before 'a cause des' carry no gloss
f253L	R09	Prince d'Orange	H	
f253L	R10	?enter le desbarquement dans les	M	first letter unclear (t|j): 'tenter'
f253L	R11	Province d'York ou sont presque tous	H	
f253L	R12	les haras d'Angleterre	H	
f253L	R13	on trouveroit les chevaux necessaires	H	
f253L	R14	pour l'armée ou bien dans une des	H	
f253L	R15	Provinces de l'Ouest	H	
f253L	R16	y en a abondance ensorte que	H	
f253L	R17	l'armée y subsisteroit aisement	H	
f253L	R18	faire la descente dans ces deux lieux la a la fois	H	
f253R	R01	de faire embarquer a Brest	H	written above 133..10, after 'et pour cela'
f253R	R02	Les Troupes destinées pour l'Ouest et a	H	
f253R	R03	Calais celles destinées pour York	H	
f253R	R04	son projet	H	above 280..32
f253R	R08	Il compte sur la fidelité de plusieurs	H	
f253R	R09	personnes dans ce pays la	H	
f253R	R12	d'intelligence ny mesme de	H	
f253R	R13	Correspondance car ils n'en recoivent aucune nouvelle	H	
f253R	R14	ny par la Hollande ny d'ailleurs	H	
f253R	R15	du chevalier	H	
f253R	R16	Giraudin Irlandois estably	M	'Giraudin' at row start above 166..17; 'Irlandois estably' above 44..288
f253R	R17	a Dunkerque	H	
f265L	R08	a mon despart un tour	M	'un|ou' tour
f265L	R09	qui n'a pas despleu au Roy d'Angleterre	H	
f265L	R10	Je luy ay	H	above 186..38
f265L	R11	fait entendre que me voyant icy inutile	H	
f265L	R12	pour son service	H	
f265L	R13	a M vostre Pere la	H	
f265L	R14	permission de m'en retourner a Dunkerque	H	
f265L	R15	pour y ayder a avancer l'armement	H	
f265L	R17	inutile a Boulogne Je pourrois	H	
f265L	R18	Le Roy	H	above 196..105
f265L	R19	d'Angleterre approuvast mon despart que comme	H	
f265L	R20	Il m'avoit {faict l'honneur} ... me mettre sous	M	'faict l'honneur' struck by the glosser; 'me mettre sous' above 206..206
f265L	R21	ses ordres	H	
f265L	R22	faire aucun mouvement sans son ordre exprés	H	
f265L	R23	Il m'a paru fort touché de cette honnesteté de	H	
f265R	R01	M de Pontchartrain et de	M	'et|le' de
f265R	R02	mon	H	above 14..50
f265R	R03	Il est tres persuadé	H	
f265R	R04	que l'armement de Dunkerque regarde	H	
f265R	R05	la descente et doit se joindre	H	
f265R	R06	a M	H	
f265R	R08	Je suis {parfaitement}	H	'parfaitement' struck by the glosser (it is clear text on the next row)
f265R	R09	avec Milord Myddleton et	H	
f265R	R10	avec tout ce qu'il y a icy d'Anglois un peu	H	
f265R	R11	Eux en coterie journaliere	H	
f265R	R12	de desbauche et de plaisir.	H	
f265R	R13	en Milord Myddleton.	H	
