line	pos	token	conf
f253L_R01	1	w:i'ay	H
f253L_R01	2	w:veu	H
f253L_R01	3	w:ce	H
f253L_R01	4	w:matin	H
f253L_R01	5	722	H
f253L_R01	6	143	M
f253L_R01	7	185	H
f253L_R01	8	38	H
f253L_R01	9	151	H
f253L_R01	10	34	H
f253L_R01	11	224	H
f253L_R02	1	198	H
f253L_R02	2	17	H
f253L_R02	3	168	H
f253L_R02	4	18	H
f253L_R02	5	119	H
f253L_R02	6	50	H
f253L_R02	7	301	H
f253L_R02	8	28	H
f253L_R02	9	277	H
f253L_R02	10	290	H
f253L_R02	11	238	H
f253L_R02	12	10	H
f253L_R02	13	301	H
f253L_R02	14	14	H
f253L_R02	15	200	H
f253L_R03	1	w:il	H
f253L_R03	2	w:m'a	H
f253L_R03	3	w:paru	H
f253L_R03	4	w:beaucoup	H
f253L_R03	5	249	H
f253L_R03	6	18	H
f253L_R03	7	15	H
f253L_R03	8	24	H
f253L_R03	9	267	H
f253L_R03	10	30	H
f253L_R03	11	278	H
f253L_R03	12	259	H
f253L_R04	1	133	H
f253L_R04	2	119	H
f253L_R04	3	35	H
f253L_R04	4	292	H
f253L_R04	5	206	H
f253L_R04	6	251	H
f253L_R04	7	13	H
f253L_R04	8	145	M
f253L_R04	9	25	H
f253L_R04	10	268	H
f253L_R04	11	278	H
f253L_R04	12	w:il	H
f253L_R04	13	w:m'a	H
f253L_R05	1	w:dit	H
f253L_R05	2	w:seulement	H
f253L_R05	3	w:qu'il	H
f253L_R05	4	w:croyoit	H
f253L_R05	5	w:et	H
f253L_R05	6	w:ie	H
f253L_R05	7	w:trouve	H
f253L_R05	8	w:que	H
f253L_R05	9	w:c'est	H
f253L_R05	10	w:avec	H
f253L_R06	1	w:assez	H
f253L_R06	2	w:de	H
f253L_R06	3	w:raison	H
f253L_R06	4	w:que	H
f253L_R06	5	195	H
f253L_R06	6	20	H
f253L_R06	7	161	H
f253L_R06	8	142	H
f253L_R06	9	10	H
f253L_R06	10	24	H
f253L_R06	11	267	H
f253L_R06	12	277	M
f253L_R07	1	50	H
f253L_R07	2	32	H
f253L_R07	3	25	H
f253L_R07	4	267	H
f253L_R07	5	30	H
f253L_R07	6	259	H
f253L_R07	7	11	H
f253L_R07	8	48	H
f253L_R07	9	24	H
f253L_R07	10	266	H
f253L_R07	11	290	H
f253L_R07	12	116	H
f253L_R07	13	12	H
f253L_R07	14	196	H
f253L_R07	15	281	H
f253L_R07	16	29	H
f253L_R08	1	195	H
f253L_R08	2	119	H
f253L_R08	3	30	H
f253L_R08	4	289	H
f253L_R08	5	133	H
