line	pos	group	plain	span
f253L_R01	5	722	Milord Myddleton	A01
f253L_R01	6	143	et	A01
f253L_R01	7	185	a	A01
f253L_R01	8	38	y	A01
f253L_R01	9	151	eu	A01
f253L_R01	10	34	u	A01
f253L_R01	11	224	ne	A01
f253L_R02	1	198	lo	A02
f253L_R02	2	17	n	A02
f253L_R02	3	168	u	A02
f253L_R02	4	18	e	A02
f253L_R02	5	119	co	A02
f253L_R02	6	50	n	A02
f253L_R02	7	301	fe	A02
f253L_R02	8	28	r	A02
f253L_R02	9	277	en	A02
f253L_R02	10	290	c	A02
f253L_R02	11	238	e	A02
f253L_R02	12	10	a	A02
f253L_R02	13	301	ue	A02
f253L_R02	14	14	c	A02
f253L_R02	15	200	uy	A02
f253L_R03	5	249	plus	A03
f253L_R03	6	18	e	A03
f253L_R03	7	15	m	A03
f253L_R03	8	24	p	A03
f253L_R03	9	267	re	A03
f253L_R03	10	30	s	A03
f253L_R03	11	278	se	A03
f253L_R03	12	259	que	A03
f253L_R04	1	133	p	A04
f253L_R04	2	119	o	A04
f253L_R04	3	35	u	A04
f253L_R04	4	292	rl	A04
f253L_R04	5	206	e	A04
f253L_R04	6	251	n	A04
f253L_R04	7	13	tr	A04
f253L_R04	8	145	e	A04
f253L_R04	9	25	p	A04
f253L_R04	10	268	ri	A04
f253L_R04	11	278	se	A04
f253L_R06	5	195	la	A05
f253L_R06	6	20	f	A05
f253L_R06	7	161	faire	A05
f253L_R06	8	142	est	A05
f253L_R06	9	10	a	A05
f253L_R06	10	24	p	A05
f253L_R06	11	267	re	A05
f253L_R06	12	277	en	A05
f253L_R07	1	50	0	A06
f253L_R07	2	32	0	A06
f253L_R07	3	25	p	A06
f253L_R07	4	267	re	A06
f253L_R07	5	30	s	A06
f253L_R07	6	259	que	A06
f253L_R07	7	11	i	A06
f253L_R07	8	48	m	A06
f253L_R07	9	24	p	A06
f253L_R07	10	266	ra	A06
f253L_R07	11	290	ti	A06
f253L_R07	12	116	ca	A06
f253L_R07	13	12	b	A06
f253L_R07	14	196	le	A06
f253L_R07	15	281	su	A06
f253L_R07	16	29	r	A06
f253L_R08	1	195	la	A06
f253L_R08	2	119	co	A06
f253L_R08	3	30	s	A06
f253L_R08	4	289	te	A06
f253L_R08	5	133	de	A06
f253L_R08	6	42	k	A06
f253L_R08	7	18	e	A06
f253L_R08	8	50	n	A06
f253L_R08	9	32	t	A06
f253L_R08	13	155	fo	A08
f253L_R08	14	29	r	A08
f253L_R08	15	117	ce	A08
f253L_R08	16	30	s	A08
f253L_R09	1	259	que	A08
f253L_R09	2	725	le&	A08
f253L_R10	4	289	te	A09
f253L_R10	5	17	n	A09
f253L_R10	6	289	te	A09
f253L_R10	7	28	r	A09
f253L_R10	8	196	le	A09
f253L_R10	9	133	des	A09
f253L_R10	10	107	ba	A09
f253L_R10	11	28	r	A09
f253L_R10	12	259	que	A09
f253L_R11	1	211	ment	A09
f253L_R11	2	137	dans	A09
f253L_R11	3	195	les	A09
f253L_R11	4	25	p	A09
f253L_R11	5	269	ro	A09
f253L_R11	6	302	ui	A09
f253L_R11	7	17	n	A09
f253L_R11	8	117	ce	A09
f253L_R11	9	16	d	A09
f253L_R11	10	38	y	A09
f253L_R11	11	52	o	A09
f253L_R11	12	29	r	A09
f253L_R11	13	42	k	A09
f253L_R11	14	237	ou	A09
f253L_R11	15	282	sont	A09
f253L_R12	1	24	p	A09
f253L_R12	2	267	re	A09
f253L_R12	3	30	s	A09
f253L_R12	4	259	que	A09
f253L_R12	5	291	to	A09
f253L_R12	6	35	u	A09
f253L_R12	7	30	s	A09
f253L_R12	8	196	le	A09
f253L_R12	9	30	s	A09
f253L_R12	10	175	ha	A09
f253L_R12	11	266	ra	A09
f253L_R12	12	30	s	A09
f253L_R12	13	16	d	A09
f253L_R12	14	105	Angleterre	A09
f253L_R13	3	238	on	A10
f253L_R13	4	32	t	A10
f253L_R13	5	269	ro	A10
f253L_R13	6	34	u	A10
f253L_R13	7	301	ue	A10
f253L_R13	8	275	ro	A10
f253L_R13	9	33	it	A10
f253L_R13	10	196	le	A10
f253L_R13	11	30	s	A10
f253L_R13	12	14	c	A10
f253L_R13	13	176	he	A10
f253L_R14	1	300	ua	A10
f253L_R14	2	35	u	A10
f253L_R14	3	37	x	A10
f253L_R14	4	224	ne	A10
f253L_R14	5	117	ce	A10
f253L_R14	6	30	s	A10
f253L_R14	7	277	sa	A10
f253L_R14	8	44	i	A10
f253L_R14	9	267	re	A10
f253L_R14	10	30	s	A10
f253L_R14	11	251	pour	A10
f253L_R14	12	46	l	A10
f253L_R14	13	104	rme	A10
f253L_R14	14	18	e	A10
f253L_R14	15	237	ou	A10
f253L_R14	16	112	ien	A10
f253L_R15	1	137	dans	A10
f253L_R15	2	34	u	A10
f253L_R15	3	224	ne	A10
f253L_R15	4	133	de	A10
f253L_R15	5	30	s	A10
f253L_R15	6	24	p	A10
f253L_R15	7	269	ro	A10
f253L_R15	8	302	ui	A10
f253L_R15	9	17	n	A10
f253L_R15	10	117	ce	A10
f253L_R15	11	30	s	A10
f253L_R15	12	133	de	A10
f253L_R15	13	13	l	A10
f253L_R15	14	237	ou	A10
f253L_R15	15	192	est	A10
f253L_R16	4	38	y	A11
f253L_R16	5	142	na	A11
f253L_R16	6	10	a	A11
f253L_R16	7	113	bon	A11
f253L_R16	8	132	da	A11
f253L_R16	9	50	n	A11
f253L_R16	10	33	cee	A11
f253L_R16	11	133	nsort	A11
f253L_R16	12	259	que	A11
f253L_R16	13	13	l	A11
f253L_R16	14	104	rme	A11
f253L_R17	1	18	e	A11
f253L_R17	2	38	y	A11
f253L_R17	3	281	su	A11
f253L_R17	4	12	b	A11
f253L_R17	5	279	si	A11
f253L_R17	6	30	s	A11
f253L_R17	7	289	te	A11
f253L_R17	8	275	ro	A11
f253L_R17	9	32	t	A11
f253L_R17	10	10	a	A11
f253L_R17	11	11	i	A11
f253L_R17	12	278	se	A11
f253L_R17	13	211	ment	A11
f253L_R18	2	161	faire	A12
f253L_R18	3	195	la	A12
f253L_R18	4	133	de	A12
f253L_R18	5	30	s	A12
f253L_R18	6	117	ce	A12
f253L_R18	7	17	n	A12
f253L_R18	8	33	t	A12
f253L_R18	9	137	dans	A12
f253L_R18	10	117	ce	A12
f253L_R18	11	30	s	A12
f253L_R18	12	16	d	A12
f253L_R18	13	150	eux	A12
f253L_R18	14	197	li	A12
f253L_R18	15	150	eux	A12
f253L_R18	16	10	a	A12
f253L_R18	17	195	la	A12
f253R_R01	7	133	de	A13
f253R_R01	8	161	faire	A13
f253R_R01	9	18	e	A13
f253R_R01	10	48	m	A13
f253R_R01	11	107	ba	A13
f253R_R01	12	29	r	A13
f253R_R01	13	259	que	A13
f253R_R01	14	28	r	A13
f253R_R01	15	10	a	A13
f253R_R02	1	12	b	A13
f253R_R02	2	29	r	A13
f253R_R02	3	142	est	A13
f253R_R02	4	196	le	A13
f253R_R02	5	30	s	A13
f253R_R02	6	294	troup	A13
f253R_R02	7	30	s	A13
f253R_R02	8	133	de	A13
f253R_R02	9	30	s	A13
f253R_R02	10	290	ti	A13
f253R_R02	11	224	ne	A13
f253R_R02	12	18	e	A13
f253R_R02	13	30	s	A13
f253R_R02	14	251	pour	A13
f253R_R02	15	46	l	A13
f253R_R02	16	237	ou	A13
f253R_R02	17	142	est	A13
f253R_R03	1	143	et	A13
f253R_R03	2	10	a	A13
f253R_R03	3	116	ca	A13
f253R_R03	4	195	la	A13
f253R_R03	5	11	i	A13
f253R_R03	6	30	s	A13
f253R_R03	7	117	ce	A13
f253R_R03	8	13	l	A13
f253R_R03	9	196	le	A13
f253R_R03	10	30	s	A13
f253R_R03	11	133	de	A13
f253R_R03	12	30	s	A13
f253R_R03	13	290	ti	A13
f253R_R03	14	224	ne	A13
f253R_R03	15	18	e	A13
f253R_R03	16	30	s	A13
f253R_R03	17	251	pour	A13
f253R_R04	1	38	y	A13
f253R_R04	2	52	o	A13
f253R_R04	3	29	r	A13
f253R_R04	4	42	k	A13
f253R_R04	7	280	so	A14
f253R_R04	8	17	n	A14
f253R_R04	9	24	p	A14
f253R_R04	10	269	ro	A14
f253R_R04	11	186	ie	A14
f253R_R04	12	32	t	A14
f253R_R08	2	191	il	A15
f253R_R08	3	119	co	A15
f253R_R08	4	15	m	A15
f253R_R08	5	24	p	A15
f253R_R08	6	289	te	A15
f253R_R08	7	281	su	A15
f253R_R08	8	29	r	A15
f253R_R08	9	195	la	A15
f253R_R08	10	154	fi	A15
f253R_R08	11	133	de	A15
f253R_R08	12	197	li	A15
f253R_R08	13	289	te	A15
f253R_R08	14	133	de	A15
f253R_R09	1	249	plus	A15
f253R_R09	2	44	i	A15
f253R_R09	3	18	e	A15
f253R_R09	4	35	u	A15
f253R_R09	5	28	r	A15
f253R_R09	6	30	s	A15
f253R_R09	7	245	pe	A15
f253R_R09	8	29	r	A15
f253R_R09	9	28	on	A15
f253R_R09	10	224	ne	A15
f253R_R09	11	30	s	A15
f253R_R09	12	137	dans	A15
f253R_R09	13	117	ce	A15
f253R_R09	14	244	pa	A15
f253R_R09	15	38	y	A15
f253R_R09	16	30	s	A15
f253R_R09	17	195	la	A15
f253R_R12	3	134	di	A16
f253R_R12	4	17	n	A16
f253R_R12	5	289	te	A16
f253R_R12	6	13	l	A16
f253R_R12	7	197	li	A16
f253R_R12	8	165	g	A16
f253R_R12	9	50	n	A16
f253R_R12	10	117	ce	A16
f253R_R12	11	225	nymes	A16
f253R_R12	12	221	me	A16
f253R_R12	13	133	de	A16
f253R_R12	14	125	corres	A16
f253R_R13	1	122	ondance	A16
f253R_R13	2	191	il	A16
f253R_R13	3	30	s	A16
f253R_R13	4	224	ne	A16
f253R_R13	5	50	n	A16
f253R_R13	6	267	re	A16
f253R_R13	7	119	co	A16
f253R_R13	8	11	i	A16
f253R_R13	9	301	ue	A16
f253R_R13	10	228	nt	A16
f253R_R13	11	10	a	A16
f253R_R13	12	35	u	A16
f253R_R13	13	120	cu	A16
f253R_R13	14	224	ne	A16
f253R_R13	15	232	nouue	A16
f253R_R14	1	225	leny	A16
f253R_R14	2	244	pa	A16
f253R_R14	3	28	r	A16
f253R_R14	4	195	la	A16
f253R_R14	5	183	holl	A16
f253R_R14	6	225	andeny	A16
f253R_R14	7	132	da	A16
f253R_R14	8	11	i	A16
f253R_R14	9	13	l	A16
f253R_R14	10	196	le	A16
f253R_R14	11	35	u	A16
f253R_R14	12	29	r	A16
f253R_R14	13	30	s	A16
f253R_R15	6	136	du	A17
f253R_R15	7	14	c	A17
f253R_R15	8	176	he	A17
f253R_R15	9	300	ua	A17
f253R_R15	10	197	li	A17
f253R_R15	11	18	e	A17
f253R_R15	12	29	r	A17
f253R_R16	1	166	gi	A17
f253R_R16	2	266	ra	A17
f253R_R16	3	28	u	A17
f253R_R16	4	134	di	A17
f253R_R16	5	17	n	A17
f253R_R16	9	44	i	A18
f253R_R16	10	29	r	A18
f253R_R16	11	195	la	A18
f253R_R16	12	17	n	A18
f253R_R16	13	135	do	A18
f253R_R16	14	11	i	A18
f253R_R16	15	30	s	A18
f253R_R16	16	18	e	A18
f253R_R16	17	288	sta	A18
f253R_R17	1	12	b	A18
f253R_R17	2	197	ly	A18
f253R_R17	3	10	a	A18
f253R_R17	4	136	du	A18
f253R_R17	5	17	n	A18
f253R_R17	6	259	ke	A18
f253R_R17	7	28	r	A18
f253R_R17	8	259	que	A18
f265L_R08	4	10	a	B01
f265L_R08	5	208	mo	B01
f265L_R08	6	17	n	B01
f265L_R08	7	133	des	B01
f265L_R08	8	244	pa	B01
f265L_R08	9	28	r	B01
f265L_R08	10	32	t	B01
f265L_R08	11	34	u	B01
f265L_R08	12	50	n	B01
f265L_R09	1	291	to	B01
f265L_R09	2	34	u	B01
f265L_R09	3	29	r	B01
f265L_R09	4	260	qui	B01
f265L_R09	5	223	na	B01
f265L_R09	6	250	pas	B01
