file	source	item_id	date	correspondents	route	class	note
bowdoin_1808-02-17_p1.jpg	loc.gov Thomas Jefferson Papers	mtjbib018255	1808-02-17	James Bowdoin to Thomas Jefferson	tile.loc.gov master jpg	clear_text	Bowdoin writing from London ("since my late arrival here"), encloses a copy of his letter to David Williams re British Cabinet contacts.
bowdoin_1808-02-17_p2_thumb.gif	loc.gov Thomas Jefferson Papers	mtjbib018255	1808-02-17	James Bowdoin to Thomas Jefferson	tile.loc.gov service-derivative gif (thumbnail)	clear_text	Continues p1: British trade/reciprocity policy discussion.
bowdoin_1808-02-17_p3_thumb.gif	loc.gov Thomas Jefferson Papers	mtjbib018255	1808-02-17	James Bowdoin to Thomas Jefferson	tile.loc.gov service-derivative gif (thumbnail)	clear_text	Closes and signs "James Bowdoin, London Feb 17 1808"; PS re a pamphlet by Alexander Baring. Confirms Bowdoin was in London, not Paris, by this date (leaving for Bath then the US).
bowdoin_1808-02-17_p4_thumb.gif	loc.gov Thomas Jefferson Papers	mtjbib018255	1808-02-17	James Bowdoin to Thomas Jefferson	tile.loc.gov service-derivative gif (thumbnail)	docket/address leaf	Endorsed "Bowdoin James, London Feb 17 08, recd Apr 8"; verso bleed-through only. Full 4-page letter screened, 0 numeral groups total.
skipwith_1808-03-08_p1.jpg	loc.gov Thomas Jefferson Papers	mtjbib018343	1808-03-08	Fulwar Skipwith to Thomas Jefferson	tile.loc.gov master jpg	clear_text	Names "Mr. Warden, the Secretary of Genl Armstrong" directly (p1) and opens a discussion of "the correspondence of Genl Armstrong with the Department of State" (p1 foot, continues p2) -- real-world corroboration of the Warden-Armstrong secretary relationship, no cipher content.
skipwith_1808-03-08_p2.jpg	loc.gov Thomas Jefferson Papers	mtjbib018343	1808-03-08	Fulwar Skipwith to Thomas Jefferson	tile.loc.gov master jpg	clear_text	Continues p1: Armstrong-Skipwith consular dispute (Exequatur withdrawal), Skipwith's resignation. Wholly clear, no numeral groups.
skipwith_1808-03-08_p3_thumb.gif	loc.gov Thomas Jefferson Papers	mtjbib018343	1808-03-08	Fulwar Skipwith to Thomas Jefferson	tile.loc.gov service-derivative gif (thumbnail, page continues clear)	clear_text	Consulate succession (Isaac Cox Barnet). Wholly clear, no numeral groups.
skipwith_1808-03-08_p4_thumb.gif	loc.gov Thomas Jefferson Papers	mtjbib018343	1808-03-08	Fulwar Skipwith to Thomas Jefferson	tile.loc.gov service-derivative gif (thumbnail)	clear_text	Closing/signature page, signed "Fulwar Skipwith", addressed "Mr Jefferson". Wholly clear, no numeral groups. 4-page letter fully screened, 0 numeral groups total.
barlow_1808-01-23_p1.jpg	loc.gov Thomas Jefferson Papers	mtjbib018139	1808-01-23	Joel Barlow to Thomas Jefferson	tile.loc.gov master jpg	clear_text	Single-page complete letter (gift of a Columbiad specimen). Wholly clear, no numeral groups, no mention of Armstrong.
warden_1808-04-08_p1.jpg	loc.gov Thomas Jefferson Papers	mtjbib015691	1808-04-08	David Bailie Warden to Thomas Jefferson	tile.loc.gov master jpg	clear_text	Single-page complete letter (book/plough transmittals via Lasteyrie, Humboldt). Wholly clear, no numeral groups, no mention of Armstrong or a cipher.
