line	col	A	B	flagged	crop
f27_L02	4	p	ꝑ	AB	
f27_L02	8	t	+	AB	
f27_L02	11	b	ß	AB	
f27_L02	13	-	z		
f27_L02	14	4	+	AB	
f27_L02	19	8	ſ	AB	
f27_L02	23	p	ꝑ	AB	
f27_L02	26	-	o	B	
f27_L02	27	∞	o	AB	
f27_L02	28	t	+	AB	
f27_L02	30	g	¢	A	
f27_L02	33	h	ɔ	AB	
f27_L02	36	-	m	B	
f27_L02	37	///	f	AB	
f27_L02	39	∂	-	A	
f27_L02	41	20	2	AB	
f27_L02	42	o	0	AB	
f27_L02	43	o	0	AB	
f27_L02	45	i	ι	A	
f27_L02	46	∂	ϑ	AB	
f27_L02	48	∂	-	A	
f27_L02	49	3	⌐	AB	
f27_L02	51	⊡	∞	AB	
f27_L02	56	E	e	A	
f27_L03	1	8	x	A	
f27_L03	6	4	+	AB	
f27_L03	8	p	f	AB	
f27_L03	9	^	ꝑ	AB	
f27_L03	13	-	v	B	
f27_L03	14	∂	ſ	AB	
f27_L03	15	∞	a	AB	
f27_L03	16	b	ß	AB	
f27_L03	18	-	π		
f27_L03	19	c	i	A	
f27_L03	20	r	z	A	
f27_L03	21	4	+	AB	
f27_L03	22	u	m	AB	
f27_L03	24	b	ß	AB	
f27_L03	25	p	ꝑ	AB	
f27_L03	27	//	///	AB	
f27_L03	28	∂	λ	A	
f27_L03	31	g	q	AB	
f27_L03	34	u	v	AB	
f27_L03	35	∂	ꝑ	AB	
f27_L03	37	p	-	A	
f27_L03	38	∂	ꝑ	AB	
f27_L03	39	3	r	A	
f27_L03	40	ſ	i	A	
f27_L03	41	^	2	A	
f27_L03	42	⊡	π	AB	
f27_L03	45	∂	ꝑ	AB	
f27_L03	48	b	ß	AB	
f27_L03	51	-	t	B	
f27_L03	52	T	i	A	
f27_L03	55	‡	f	AB	
f27_L03	56	//	///	AB	
f27_L03	57	v	r	A	
f27_L04	1	∂	g	AB	
f27_L04	2	c	w	A	
f27_L04	3	m	n	A	
f27_L04	6	v	+	AB	
f27_L04	11	-	z		
f27_L04	12	4	+	AB	
f27_L04	15	8	-	A	
f27_L04	16	f	-	A	
f27_L04	17	p	t	AB	
f27_L04	18	i	ꝑ	AB	
f27_L04	21	9	g	AB	
f27_L04	22	6	f	AB	
f27_L04	23	#	⊥	AB	
f27_L04	24	∂	ꝑ	AB	
f27_L04	28	√	ſ	AB	
f27_L04	31	u	m	AB	
f27_L04	34	//	///	AB	
f27_L04	36	r	z	A	
f27_L04	39	∂	w	A	
f27_L04	40	∞	a	AB	
f27_L04	41	b	ß	AB	
f27_L04	43	-	t	B	
f27_L04	46	-	m	B	
f27_L04	47	u	f	AB	
f27_L04	48	‡	x	A	
f27_L04	49	X	x	A	
f27_L04	51	s	ſ	AB	
f27_L04	55	-	z		
f27_L04	56	3	m	AB	
f27_L04	57	u	^	AB	
f27_L05	2	b	ß	AB	
f27_L05	5	T	t	AB	
f27_L05	7	∂	v	AB	
f27_L05	10	∂	-	A	
f27_L05	14	//	///	AB	
f27_L05	15	3	y	AB	
f27_L05	20	b	ß	A	
f27_L05	22	∂	-	A	
f27_L05	27	o	-	A	
f27_L05	32	X	x	AB	
f27_L05	37	u	⊥	A	
f27_L05	40	F	⊥	A	
f27_L05	43	//	///	AB	
f27_L05	46	-	1	B	
f27_L05	47	14	4	AB	
f27_L05	53	p	-	A	
f27_L05	54	∂	ꝑ	AB	
f27_L05	56	s	ſ	AB	
f27_L06	3	∂	r	A	
f27_L06	5	#	-	A	
f27_L06	6	s	x	A	
f27_L06	9	p	-	A	
f27_L06	10	i	ꝑ	AB	
f27_L06	14	#	x	A	
f27_L06	18	∂	g	AB	
f27_L06	24	///	m	AB	
f27_L06	31	∂	g	AB	
f27_L06	34	-	ß	B	
f27_L06	35	b	2	AB	
f27_L06	36	20	0	AB	
f27_L06	38	T	t	AB	
f27_L06	39	b	ß	AB	
f27_L06	42	-	x		
f27_L06	43	-	x		
f27_L06	44	-	u		
f27_L06	45	xxuj	j	AB	
f27_L06	46	∂	‡	A	
f27_L06	48	#	x	A	
f27_L06	49	∂	g	AB	
f27_L06	55	8	y	A	
f27_L07	1	⊡	⊥	A	
f27_L07	2	m	∞	AB	
f27_L07	4	-	9	B	
f27_L07	6	+	-	A	
f27_L07	7	p	ꝑ	AB	
f27_L07	8	∂	a	AB	
f27_L07	9	b	ß	AB	
f27_L07	12	b	ß	AB	
f27_L07	13	u	⊥	A	
f27_L07	15	o	0	AB	
f27_L07	18	#	2	A	
f27_L07	20	8	ſ	AB	
f27_L07	23	b	-	A	
f27_L07	24	^	ß	AB	
f27_L07	25	3	y	AB	
f27_L07	31	g	¢	A	
f27_L07	32	X	x	A	
f27_L07	35	^	-	A	
f27_L07	37	r	z	A	
f27_L07	40	p	ꝑ	AB	
f27_L07	42	4	z	A	
f27_L07	45	T	t	A	
f27_L07	48	4	z	A	
f27_L07	49	8	ß	AB	
f27_L08	2	+	⊥	A	
f27_L08	4	u	v	AB	
f27_L08	6	∂	ꝑ	AB	
f27_L08	7	g	q	AB	
f27_L08	10	r	-	A	
f27_L08	11	+	⊥	A	
f27_L08	13	+	-	A	
f27_L08	14	+	⊥	A	
f27_L08	15	b	ß	AB	
f27_L08	16	⊡	⊥	A	
f27_L08	17	b	g	AB	
f27_L08	19	8	ß	AB	
f27_L08	22	i	1	AB	
f27_L08	23	∂	o	AB	
f27_L08	24	p	ꝑ	AB	
f27_L08	29	E	z	A	
f27_L08	30	∂	q	A	
f27_L08	31	s	ſ	AB	
f27_L08	33	⊡	∞	AB	
f27_L08	34	m	∞	AB	
f27_L08	35	∂	¢	A	
f27_L08	37	l	-	A	
f27_L08	38	l	//	AB	
f27_L08	39	b	ß	AB	
f27_L08	40	X	x	AB	
f27_L08	41	v	z	A	
f27_L08	42	20	o	AB	
f27_L08	44	g	q	AB	
f27_L08	47	b	ß	AB	
f27_L08	48	p	ꝑ	AB	
