pos	sign
0	s15
1	s3
2	s17
3	s12
4	s0
5	s26
6	s2
7	s8
8	s12
9	s7
10	s15
11	s19
12	s18
13	s7
14	s11
15	s0
16	s24
17	s6
18	s13
19	s21
20	s8
21	s12
22	s13
23	s16
24	s7
25	s14
26	s4
27	s19
28	s20
29	s7
30	s22
31	s27
32	s3
33	s22
34	s8
35	s14
36	s9
37	s3
38	s21
39	s3
40	s23
41	s0
42	s10
43	s4
44	s15
45	s22
46	s6
47	s9
48	s3
49	s24
50	s0
51	s16
52	s8
53	s13
54	s28
55	s7
56	s17
57	s26
58	s5
59	s20
60	s8
61	s21
62	s3
63	s5
64	s17
65	s0
66	s12
67	s5
68	s18
69	s3
70	s5
71	s10
72	s10
73	s1
74	s23
75	s6
76	s10
77	s22
78	s8
79	s14
80	s1
81	s21
82	s5
83	s9
84	s10
85	s3
86	s19
87	s5
88	s13
89	s20
90	s4
91	s11
92	s0
93	s17
94	s19
95	s11
96	s11
97	s7
98	s15
99	s20
100	s18
101	s3
102	s6
103	s23
104	s3
105	s14
106	s22
107	s27
108	s3
109	s1
110	s13
111	s21
112	s6
113	s17
114	s13
115	s7
116	s4
117	s22
118	s8
119	s14
120	s9
121	s6
122	s23
123	s8
124	s22
125	s22
126	s6
127	s21
128	s3
129	s10
130	s9
131	s6
132	s16
133	s11
134	s0
135	s16
136	s22
137	s4
138	s17
139	s5
140	s19
141	s5
142	s16
143	s3
144	s18
145	s12
146	s2
147	s19
148	s11
149	s12
150	s1
151	s23
152	s6
153	s15
154	s22
155	s1
156	s8
157	s29
158	s12
159	s4
160	s9
161	s9
162	s3
163	s21
164	s2
165	s12
166	s1
167	s14
168	s3
169	s24
170	s6
171	s13
172	s1
173	s21
174	s1
175	s28
176	s7
177	s15
178	s16
179	s6
180	s24
181	s23
182	s18
183	s7
184	s14
185	s3
186	s5
187	s9
188	s9
189	s1
190	s11
191	s2
192	s9
193	s1
194	s21
195	s2
196	s24
197	s6
198	s25
199	s25
200	s2
201	s7
202	s24
203	s21
204	s30
205	s10
206	s21
207	s2
208	s12
209	s8
210	s15
211	s20
212	s18
213	s6
214	s16
215	s1
216	s25
217	s13
218	s7
219	s18
220	s0
221	s5
222	s15
223	s4
224	s18
225	s11
226	s0
227	s19
228	s7
229	s18
230	s3
231	s23
232	s6
233	s23
234	s20
235	s8
236	s10
237	s5
238	s24
239	s2
240	s7
241	s3
242	s25
243	s13
