line	groups
1	918 1045 1100 493 359 989 1105 73 710 432 118 718 544 810 1060 1135 1122 173 666
2	862 718 772 493 359 701 13 572 544 432 413 960 112 43 989 821
3	791 1030 811 999 1153 820 918 1045 1100 415 1048 623 236 559 854
4	946 851 168 854 1148 236 602 13 782 544 1238 356 69 823 800
5	741 536 280 669 1051 215 314 498 434 402 1193 238 1178 10 711 1100
6	1109 504 463 73 793 388 703 43 13 821 791 2 1135 1122 1087 566
7	476 982 853 354 289 13 741 536 1063 710 1388 889 410 443 994
8	1110 984 339 1184 752 707 370 13 1202 325 1038 1105 73 1187 168
9	828 601 968 152 1178 1196 1063 1060 693 1104 1016 246 1096
10	631 929 874 1015 2 1135 644 13 718 1003 235 215 498 921
11	909 402 1086 409 507 1140 10 866 869 192 1115 854 711 960 90
12	544 1111 633 718 669 69 918 215 972 426 142 745 1016 584 655
13	285 497 637 81 1074 949 635 875 212 450 918 1043 340 607
14	745 1045 803 919 380 838 918 86 752 29 507 1100 173 919 25 13
15	599 734 809 388 918 86 790 772 1087 306 893 745 655 379
16	683 498 320 318 331 1017 907 966 25 557 607 821 694 495
17	928 1074 140 122 229 833 10 918 29 713 1111 609 1003
18	192 822 875 168 854 1148 13 357 1104 1016 972 698 946 890
19	706 521 186 210 2 752 679 235 215 989 409 653 10 918 694 972
20	426 139 1188 1187 238 264 1096 586 1060 971 1066 1018 1111
21	69 862 891 637 670 1003 463 73 798 770 421 637 895 90
22	617 821 791 1198 497 749 322 168 923 971 131 463 73
