page	line	pos	code	uncertain	value	grade
f28r	12	1	K	0	-	H
f28r	12	2	q	0	d	H
f28r	12	3	v	0	u	H
f28r	12	4	th	1	b	M
f28r	12	5	z	0	o	H
f28r	12	6	f	0	n	H
f28r	12	7	l	0	t	H
f28r	12	8	sq	1	o	M
f28r	12	9	v	0	u	H
f28r	12	10	arr	0	r	H
f28r	12	11	Del	0	f	H
f28r	12	12	o	0	a	H
f28r	12	13	X	0	i	H
f28r	12	14	box	0	c	H
f28r	12	15	l	0	t	H
f28r	12	16	T	0	p	H
f28r	12	17	o	0	a	H
f28r	12	18	arr	0	r	H
f28r	12	19	lamL	1	-	M
f28r	12	20	Tbox	1	[marquis de Pesquère]	M
f28r	12	21	o	0	a	H
f28r	12	22	box	0	c	H
f28r	12	23	psi	0	e	H
f28r	12	24	v	0	u	H
f28r	12	25	rho	0	l	H
f28r	12	26	six	0	x	C
f28r	12	27	n	0	q	H
f28r	12	28	v	0	u	H
f28r	12	29	X	0	i	H
f28r	13	1	lam	0	s	H
f28r	13	2	psi	0	e	H
f28r	13	3	lam	0	s	H
f28r	13	4	z	0	o	H
f28r	13	5	f	0	n	H
f28r	13	6	l	0	t	H
f28r	13	7	l	0	t	H
f28r	13	8	arr	0	r	H
f28r	13	9	sq	1	o	M
f28r	13	10	T	1	p	M
f28r	13	11	Del	0	f	H
f28r	13	12	I	0	i	H
f28r	13	13	psi	0	e	H
f28r	13	14	w	0	z	H
f28r	13	15	q	0	d	H
f28r	13	16	psi	0	e	H
f28r	13	17	rho	0	l	H
f28r	13	18	v	0	u	H
f28r	13	19	E	0	y	H
f28r	13	20	7	0	e	H
f28r	13	21	l	0	t	H
f28r	13	22	n	0	q	H
f28r	13	23	v	0	u	H
f28r	13	24	X	0	i	H
f28r	13	25	rho	0	l	H
f28r	13	26	db	0	e	H
f28r	13	27	l	0	t	H
f28r	13	28	7	0	e	H
f28r	13	29	f	0	n	H
f28r	13	30	z	0	o	H
f28r	13	31	E	0	y	H
f28r	13	32	psi	0	e	H
f28r	13	33	f	0	n	H
f28r	13	34	l	0	t	H
f28r	13	35	T	0	p	H
f28r	13	36	z	0	o	H
f28r	13	37	v	0	u	H
f28r	13	38	arr	0	r	H
f28r	13	39	l	0	t	H
f28r	13	40	z	0	o	H
f28r	13	41	v	0	u	H
f28r	13	42	l	0	t	H
f28r	13	43	o	0	a	H
f28r	13	44	v	0	u	H
f28r	13	45	l	0	t	H
f28r	13	46	arr	0	r	H
f28r	13	47	db	0	e	H
f28r	13	48	n	0	q	H
f28r	13	49	v	0	u	H
f28r	13	50	X	0	i	H
f28r	13	51	rho	0	l	H
f28r	13	52	f	0	n	H
f28r	13	53	o	0	a	H
f28r	13	54	I	0	i	H
f28r	13	55	ankh	0	a	H
f28r	13	56	S	0	m	H
f28r	13	57	ankh	0	a	H
f28r	13	58	I	0	i	H
f28r	13	59	lam	0	s	H
f28r	13	60	psi	0	e	H
f28r	13	61	lam	0	s	H
f28r	13	62	l	0	t	H
f28r	13	63	db	0	e	H
f28r	14	1	7	0	e	H
f28r	14	2	l	0	t	H
f28r	14	3	lam	0	s	H
f28r	14	4	I	0	i	H
f28r	14	5	rho	0	l	H
f28r	14	6	f	0	n	H
f28r	14	7	psi	0	e	H
f28r	14	8	T	1	p	M
f28r	14	9	sq	1	o	M
f28r	14	10	arr	0	r	H
f28r	14	11	l	0	t	H
f28r	14	12	o	0	a	H
f28r	14	13	lam	0	s	H
f28r	14	14	l	0	t	H
f28r	14	15	T	0	p	H
f28r	14	16	arr	0	r	H
f28r	14	17	db	1	e	M
f28r	14	18	X	0	i	H
f28r	14	19	v	1	u	M
f28r	14	20	q	1	d	M
f28r	14	21	I	1	i	M
f28r	14	22	box	1	c	M
f28r	14	23	psi	0	e	H
f28r	14	24	o	0	a	H
f28r	14	25	ankh	0	a	H
f28r	14	26	v	0	u	H
f28r	14	27	l	0	t	H
f28r	14	28	arr	0	r	H
f28r	14	29	db	0	e	H
f28r	14	30	lam	0	s	H
f28r	14	31	n	0	q	H
f28r	14	32	v	0	u	H
f28r	14	33	psi	0	e	H
f28r	14	34	o	0	a	H
f28r	14	35	db	0	e	H
f28r	14	36	rho	0	l	H
f28r	14	37	v	0	u	H
f28r	14	38	w	0	z	H
f28r	14	39	X	0	i	H
f28r	14	40	rho	1	l	M
f28r	14	41	f	0	n	H
f28r	14	42	E	0	y	H
f28r	14	43	o	0	a	H
f28r	14	44	v	0	u	H
f28r	14	45	arr	1	r	M
f28r	14	46	z	0	o	H
f28r	14	47	I	0	i	H
f28r	14	48	l	0	t	H
f28r	14	49	T	0	p	H
f28r	14	50	o	0	a	H
f28r	14	51	lam	0	s	H
f28r	14	52	psi	0	e	H
f28r	14	53	v	0	u	H
