crop_file	line_no	token_no	token	note
f28r_L01_s1.jpg	1	1	?	ascender/loop mark in left margin near top of leaf, unclear if letter or flourish
f28r_L01_s1.jpg	1	2	[PLAIN: "R.."]	cursive flourish resembling capital R, isolated mark, no following text in this crop
f28r_L01_s2.jpg	1	1	?	small mark lower-left, resembles a letter or flourish, isolated
f28r_L01_s2.jpg	1	2	28	foliation number written in margin (folio 28), not body text
f28r_L02_s1.jpg	1	1	[PLAIN: "Madame, pour ce que par les depesches de mon seign-"]	rough reading; secretary cursive; word cut at right edge of crop, continues in s2
f28r_L02_s2.jpg	1	1	[PLAIN: "-eur le connestable vous entendrez de tous"]	continuation from s1 (overlap skipped); rough reading
f28r_L02_s2.jpg	1	2	7	tironian et-abbreviation mark (looks like numeral 7), standard scribal abbreviation for "et", not a cipher sign
f28r_L03_s1.jpg	1	1	[PLAIN: "Les affaires de par deca ordinairement se maintien-"]	rough reading, line 1 of band
f28r_L03_s1.jpg	2	1	[PLAIN: "de quelque temps en ca, vous en escripvez"]	rough reading, line 2 of band
f28r_L03_s2.jpg	1	1	[PLAIN: "-nent, ... suis ... jusques a ... autrement ..."]	continuation of line 1 from s1; several words unclear/abbreviated, rough reading only
f28r_L03_s2.jpg	2	1	[PLAIN: "... pour aussi que par les depesches"]	continuation of line 2 from s1, rough reading
f28r_L04_s1.jpg	1	1	[PLAIN: "... entierement, ... escript ... convient a monseigneur le tresor-"]	rough reading, line1
f28r_L04_s1.jpg	2	1	[PLAIN: "selon mon petit pouvoir je puis entendre, et cognoiss-"]	rough reading, line2
f28r_L04_s2.jpg	1	1	[PLAIN: "-ier Robertet du tout ne que ..."]	continuation line1 from s1
f28r_L04_s2.jpg	2	1	[PLAIN: "... entendre, et cognoistre, estre le bien du ... [word cut]"]	continuation line2 from s1
f28r_L05_s1.jpg	1	1	[PLAIN: "... du Roy et bien ... et quant a moy pour madame le c-"]	rough reading, line1 (band top partly cut, prior context from L04 tail)
f28r_L05_s1.jpg	2	1	[PLAIN: "-onte vous escripvez du xxvii vous entendrez de ce que"]	rough reading, line2
f28r_L05_s2.jpg	1	1	[PLAIN: "... pour madame le c[onte] que par ce que mon s[eigneur] le t-"]	continuation line1 from s1
f28r_L05_s2.jpg	2	1	[PLAIN: "... entendrez de ce que ... survenu depuis la depesche"]	continuation line2 from s1
f28r_L06_s1.jpg	1	1	[PLAIN: "-remierement envoyer par le chemin de Venise, je m-"]	rough reading, line1
f28r_L06_s1.jpg	2	1	[PLAIN: "... entierement, et aussi que comme je croy vous entendrez"]	rough reading, line2
