line	signs_A	signs_B	agree	columns	share
04614_p1_L01_a	12	15	8	15	0.533
04614_p1_L01_b	15	15	14	15	0.933
04614_p1_L01_c	17	17	11	17	0.647
04614_p1_L01_d	18	18	12	18	0.667
04614_p1_L02_a	21	21	21	21	1.000
04614_p1_L02_b	21	21	21	21	1.000
04614_p1_L02_c	23	23	23	23	1.000
04614_p1_L02_d	21	21	21	21	1.000
04614_p1_L02_e	21	21	21	21	1.000
04614_p1_L03_a	17	17	15	17	0.882
04614_p1_L03_b	20	20	18	20	0.900
04614_p1_L03_c	21	21	21	21	1.000
04614_p1_L03_d	23	23	23	23	1.000
04614_p1_L04_a	23	16	2	24	0.083
04614_p1_L04_b	22	23	3	25	0.120
04614_p1_L04_c	22	22	0	22	0.000
04614_p1_L04_d	8	22	1	22	0.045
04614_p1_L05_a	21	21	20	21	0.952
04614_p1_L05_b	21	21	21	21	1.000
04614_p1_L05_c	24	24	24	24	1.000
04614_p1_L05_d	11	0	0	11	0.000
04614_p1_L06_a	22	21	20	22	0.909
04614_p1_L06_b	19	13	13	19	0.684
04614_p1_L06_c	21	23	16	23	0.696
04614_p1_L06_d	11	12	11	12	0.917
04614_p1_L07_a	16	16	16	16	1.000
04614_p1_L07_b	21	21	21	21	1.000
04614_p1_L07_c	21	21	21	21	1.000
04614_p1_L07_d	15	16	15	16	0.938
04614_p1_L08_a	21	22	21	22	0.955
04614_p1_L08_b	20	20	20	20	1.000
04614_p1_L08_c	22	22	22	22	1.000
04614_p1_L08_d	20	21	20	21	0.952
04614_p1_L09_a	21	21	21	21	1.000
04614_p1_L09_b	21	21	21	21	1.000
04614_p1_L09_c	21	21	20	21	0.952
04614_p1_L09_d	23	23	23	23	1.000
04614_p1_L10_a	22	22	21	22	0.955
04614_p1_L10_b	19	18	17	19	0.895
04614_p1_L10_c	18	18	15	18	0.833
04614_p1_L10_d	23	23	23	23	1.000
04614_p1_L11_a	23	23	23	23	1.000
04614_p1_L11_b	22	22	16	22	0.727
04614_p1_L04_e	0	8	0	8	0.000
