# letters_trial.tsv -- regenerated by letters_trial.py (24 Sept 2026); French 5-gram bits/char, lower = more French
token_classes_mapped	29
dc8_tokens	137
dc8_letters_mapped	116
real_bpc	5.649
shuffle_draws	1000
shuffle_median_bpc	6.191
shuffle_best_bpc	5.100
real_share_of_shuffles_as_good_or_better	0.068
positive_control_letters	116
positive_control_bpc	3.066
positive_shuffle_median_bpc	5.926
positive_share_of_shuffles_as_good_or_better	0.000
real_vowel_share_AEIOVY	0.474
synthetic_vowel_share_AEIOVY	0.448
real_words_ge4_in_decode	(none)
real_decode_runs	X EF VAPGCAGOOM EROOELOAGVCM EFH GEOOG TPL M GEISGTE IIGSLALDC REAO EPEGRE G LSI I GG EIFD IAGVCE OE HIPOE XIEGGL ERETELO CHVEDOT L OELRODOD
verdict	does not read (negative, matched)
