line	col	A	B	flagged	crop
f54r_L02	1	+	-		glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	2	o^~	x:ornate-R^struck	A	glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	6	L	U	A	glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	8	Z	-		glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	9	f	Z^+		glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	11	o.	sq	A	glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	13	-	lam		glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	14	-	eps		glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	15	-	dh		glyphs/f54r_lines/f54r_L02.jpg
f54r_L02	16	a	x:flourish	AB	glyphs/f54r_lines/f54r_L02.jpg
f54r_L03	3	m	m^~		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	7	-	o.		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	8	S7^o	S7		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	9	lam^7	lam		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	10	eps^#	e^#		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	13	tee	-		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	15	phi	p		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	17	-	(		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	18	(^dot	v		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	19	dh^+	p^+		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	20	a^~	a		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	21	lam^~	lam		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	22	eps^#	e^#		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	24	-	f		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	25	h	K		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	26	K^14	lam		glyphs/f54r_lines/f54r_L03.jpg
f54r_L03	27	lam^#	#		glyphs/f54r_lines/f54r_L03.jpg
f54r_L04	1	phi^o	phi		glyphs/f54r_lines/f54r_L04.jpg
