line	signs_A	signs_B	agree	columns	share
f54r_L01	0	0	0	0	1.000
f54r_L02	13	14	6	16	0.375
f54r_L03	24	26	10	27	0.370
f54r_L04	14	14	1	14	0.071
f54r_L05	25	22	14	26	0.538
f54r_L06	12	13	9	13	0.692
f54r_L07	26	23	12	26	0.462
f54r_L08	25	26	11	27	0.407
f54r_L09	22	23	11	23	0.478
f54r_L10	6	5	3	6	0.500
f54r_L11	23	23	10	24	0.417
f54r_L12	20	21	12	23	0.522
f54r_L13	25	23	9	27	0.333
f54r_L14	18	20	8	21	0.381
f54r_L15	19	21	8	22	0.364
f54r_L16	6	5	0	6	0.000
f54r_L17	1	2	1	2	0.500
f54r_L18	17	16	4	17	0.235
f54r_L19	15	13	7	15	0.467
f54r_L20	10	10	9	10	0.900
